潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
エーテライトの形も、なんだか違うみたい！			エーテライトの形も、なんだか違うみたい！			クガネで待ち受ける者							
当たり前のことだけれど、行き交う人の服装も、エオルゼアとはまったく異なるようね……。			当たり前のことだけれど、行き交う人の服装も、エオルゼアとはまったく異なるようね……。			クガネで待ち受ける者							
むっ、あそこにあるのは茶屋でっすか……？何やら情報の匂いを感じまっす！			むっ、あそこにあるのは茶屋でっすか……？何やら情報の匂いを感じまっす！			クガネで待ち受ける者							
装飾も興味深いな……。			装飾も興味深いな……。			クガネで待ち受ける者							
ハ～イ、みなさん、ご注目！こちらが「転魂塔広場」デ～ス！			ハ～イ、みなさん、ご注目！こちらが「転魂塔広場」デ～ス！			クガネで待ち受ける者							
その名のとおり、転魂塔(てんこんとう)、すなわちエーテライトが据えられておりますネ。			その名のとおり、転魂塔(てんこんとう)、すなわちエーテライトが据えられておりますネ。			クガネで待ち受ける者							
どうやら、シャーレアン人が再現したものとは、また別の様式のように見えるが……我々も使えるのか？			どうやら、シャーレアン人が再現したものとは、また別の様式のように見えるが……我々も使えるのか？			クガネで待ち受ける者							
フ～ウ！さすが神童、お目が高い！			フ～ウ！さすが神童、お目が高い！			クガネで待ち受ける者							
こちらのエーテライトは、東方地域に古くから存在する、「鬼師衆(おにししゅう)」という職人集団が造ったもの。謎めいた彼らが、先祖伝来の秘術で製造、管理しているのだとか。			こちらのエーテライトは、東方地域に古くから存在する、「鬼師衆(おにししゅう)」という職人集団が造ったもの。謎めいた彼らが、先祖伝来の秘術で製造、管理しているのだとか。			クガネで待ち受ける者							
構造的にはエオルゼアのものと変わりありませんから、交感さえすれば、問題なく使えますよ！			構造的にはエオルゼアのものと変わりありませんから、交感さえすれば、問題なく使えますよ！			クガネで待ち受ける者							
いらっしゃいませ。東アルデナード商会の「ウルダハ商館」へ、ようこそ。商談のご予約はおありでしょうか？			いらっしゃいませ。東アルデナード商会の「ウルダハ商館」へ、ようこそ。商談のご予約はおありでしょうか？			クガネで待ち受ける者							
潮風亭のリセは、聞き込みの成果を報告しようとしているようだ。			潮風亭のリセは、聞き込みの成果を報告しようとしているようだ。			ギョドウ現る！							
東アルデナード商会のハンコックに出迎えられた冒険者たち。彼の助言もあり、船を探していたというユウギリとゴウセツの足跡を追ったが、めぼしい収穫はなかった。最後の候補である、潮風亭の「ギョドウ」と話そう。			東アルデナード商会のハンコックに出迎えられた冒険者たち。彼の助言もあり、船を探していたというユウギリとゴウセツの足跡を追ったが、めぼしい収穫はなかった。最後の候補である、潮風亭の「ギョドウ」と話そう。			ギョドウ現る！							
ギョドウから、ユウギリたちを大陸に渡したという話を聞いた。ウルダハ商館の応接室にいる「アルフィノ」と話そう。			ギョドウから、ユウギリたちを大陸に渡したという話を聞いた。ウルダハ商館の応接室にいる「アルフィノ」と話そう。			ギョドウ現る！							
アルフィノたちと報告をしあったが、ギョドウの話はどうにもおかしい。ウルダハ商館の応接室にいる「アリゼー」と話そう。			アルフィノたちと報告をしあったが、ギョドウの話はどうにもおかしい。ウルダハ商館の応接室にいる「アリゼー」と話そう。			ギョドウ現る！							
アリゼーたちと作戦を話し合った。クガネの黄昏橋にいる「アリゼー」と話そう。			アリゼーたちと作戦を話し合った。クガネの黄昏橋にいる「アリゼー」と話そう。			ギョドウ現る！							
アリゼーたちと合流し、ギョドウの誘いに乗ったが、やはり騙されていた。赤誠組に捕縛されないよう、クガネ内を逃げよう。			アリゼーたちと合流し、ギョドウの誘いに乗ったが、やはり騙されていた。赤誠組に捕縛されないよう、クガネ内を逃げよう。			ギョドウ現る！							
クガネ内を逃げていたところ、ソロバンに助けてもらった。ウルダハ商館の「リセ」と話そう。			クガネ内を逃げていたところ、ソロバンに助けてもらった。ウルダハ商館の「リセ」と話そう。			ギョドウ現る！							
リセに労われた。彼女は赤誠組との追いかけっこにうんざりした様子だったが、最悪の事態を避けることはできた。新たな出会いもあり、今度こそ次への一歩を踏み出すことができそうだ。			リセに労われた。彼女は赤誠組との追いかけっこにうんざりした様子だったが、最悪の事態を避けることはできた。新たな出会いもあり、今度こそ次への一歩を踏み出すことができそうだ。			ギョドウ現る！							
ギョドウと話す			ギョドウと話す			ギョドウ現る！							
ウルダハ商館応接室のアルフィノと話す			ウルダハ商館応接室のアルフィノと話す			ギョドウ現る！							
アリゼーと話す			アリゼーと話す			ギョドウ現る！							
黄昏橋のアリゼーと話す			黄昏橋のアリゼーと話す			ギョドウ現る！							
リセと話す			リセと話す			ギョドウ現る！							
それじゃ、アルフィノたちに合流しよっか……って、しまった！			それじゃ、アルフィノたちに合流しよっか……って、しまった！			ギョドウ現る！							
コトカゼさんの覚え書きに載ってた船主のことだけど、ひとりだけ、会いに行き忘れてたみたい。			コトカゼさんの覚え書きに載ってた船主のことだけど、ひとりだけ、会いに行き忘れてたみたい。			ギョドウ現る！							
なんだか、潮風亭の常連みたいだから、ウルダハ商館に帰る前に、店内をひととおり探してみよう。「ギョドウ」っていう、ナマズみたいな顔の漁師さんだってさ。			なんだか、潮風亭の常連みたいだから、ウルダハ商館に帰る前に、店内をひととおり探してみよう。「ギョドウ」っていう、ナマズみたいな顔の漁師さんだってさ。			ギョドウ現る！							
覚え書きには、ナマズみたいな顔って書いてあったけど……どっからどう見ても、ナマズそのものだよね？			覚え書きには、ナマズみたいな顔って書いてあったけど……どっからどう見ても、ナマズそのものだよね？			ギョドウ現る！							
うぺぺ？オレに何か用っぺか？			うぺぺ？オレに何か用っぺか？			ギョドウ現る！							
うわっ、本当にしゃべった……！			うわっ、本当にしゃべった……！			ギョドウ現る！							
失礼なヤツっぺな……。でも、オレは久しぶりに懐も温かくて上機嫌っぺよ。心優しく礼儀正しく、用件を聞いてやるっぺな。			失礼なヤツっぺな……。でも、オレは久しぶりに懐も温かくて上機嫌っぺよ。心優しく礼儀正しく、用件を聞いてやるっぺな。			ギョドウ現る！							
ごめん、君みたいな獣人を初めて見たからさ。あの……ギョドウさん……だよね？この人相書きのふたりを捜しているんだけど、見たことないかな？			ごめん、君みたいな獣人を初めて見たからさ。あの……ギョドウさん……だよね？この人相書きのふたりを捜しているんだけど、見たことないかな？			ギョドウ現る！							
ふんふん、はは～ん。見たことあるも何も、オレが助けてやったふたりっぺな。大陸に渡りたいって頼まれたっぺよ。			ふんふん、はは～ん。見たことあるも何も、オレが助けてやったふたりっぺな。大陸に渡りたいって頼まれたっぺよ。			ギョドウ現る！							
それって本当！？アタシたちも、船渡しをしてくれる人を探してるんだ！			それって本当！？アタシたちも、船渡しをしてくれる人を探してるんだ！			ギョドウ現る！							
ぺっぺっぺっ……だったら、オレに任せるといいっぺよ。そいつらに追いつけるように、急いで船を用意するっぺな。			ぺっぺっぺっ……だったら、オレに任せるといいっぺよ。そいつらに追いつけるように、急いで船を用意するっぺな。			ギョドウ現る！							
ただし、最近の紅玉海は危ないもんで、船賃はたんまり、弾んでもらうことになるっぺよ？			ただし、最近の紅玉海は危ないもんで、船賃はたんまり、弾んでもらうことになるっぺよ？			ギョドウ現る！							
あ、「暁」の活動資金から……タタルもきっと許してくれる……かな？			あ、「暁」の活動資金から……タタルもきっと許してくれる……かな？			ギョドウ現る！							
それと、ほかにも何人か乗せて欲しい仲間がいるから、一度戻って、相談してきてもいいかな？			それと、ほかにも何人か乗せて欲しい仲間がいるから、一度戻って、相談してきてもいいかな？			ギョドウ現る！							
……構わないけど、急ぐっぺよ。日の落ちきった後、目立たないように出港するっぺから、準備できたら、真夜中に「黄昏橋(たそがればし)」に来るっぺな。			……構わないけど、急ぐっぺよ。日の落ちきった後、目立たないように出港するっぺから、準備できたら、真夜中に「黄昏橋(たそがればし)」に来るっぺな。			ギョドウ現る！							
よっし、有力情報が手に入ったね！「ウルダハ商館」に戻って、「アルフィノ」たちと合流しよう。今後について、相談するんだ。			よっし、有力情報が手に入ったね！「ウルダハ商館」に戻って、「アルフィノ」たちと合流しよう。今後について、相談するんだ。			ギョドウ現る！							
お帰りなさい。こっちも、ついさっき戻ってきたところよ。			お帰りなさい。こっちも、ついさっき戻ってきたところよ。			ギョドウ現る！							
どうデス？尋ね人は見つかりましたか？			どうデス？尋ね人は見つかりましたか？			ギョドウ現る！							
仕入れのために街中を見てきまっしたが、東西の品がそろっていて、目移りしちゃいまっした。			仕入れのために街中を見てきまっしたが、東西の品がそろっていて、目移りしちゃいまっした。			ギョドウ現る！							
ふたりとも、おつかれさま。こちらは主にひんがしの国の商船が出入りするという、第一波止場の辺りで、聞き込みを行ってきたよ。			ふたりとも、おつかれさま。こちらは主にひんがしの国の商船が出入りするという、第一波止場の辺りで、聞き込みを行ってきたよ。			ギョドウ現る！							
ゴウセツ殿らしき侍が、大陸側に渡る船を探して、数人の船主に声をかけていたという情報は得られたが……残念ながら、ユウギリ殿に繋がる話はなくてね……。			ゴウセツ殿らしき侍が、大陸側に渡る船を探して、数人の船主に声をかけていたという情報は得られたが……残念ながら、ユウギリ殿に繋がる話はなくてね……。			ギョドウ現る！							
こっちは大当たり……！それがさ…………。			こっちは大当たり……！それがさ…………。			ギョドウ現る！							
……なるほど、そのギョドウという獣人が、ユウギリ殿とゴウセツ殿を、大陸に運んだというんだね？			……なるほど、そのギョドウという獣人が、ユウギリ殿とゴウセツ殿を、大陸に運んだというんだね？			ギョドウ現る！							
しかし、気になりますネ……。			しかし、気になりますネ……。			ギョドウ現る！							
気になりまっす。船賃は、しっかりばっちり値切り交渉すべきでっす。相手の言い値で話を決めるなんて、論外でっす！			気になりまっす。船賃は、しっかりばっちり値切り交渉すべきでっす。相手の言い値で話を決めるなんて、論外でっす！			ギョドウ現る！							
オォ～、そこも商人としては気になるところデスが……。実はギョドウという人物、方々で借金を抱えている小悪党として、商人の間では、悪い意味で知られる存在なのデス。			オォ～、そこも商人としては気になるところデスが……。実はギョドウという人物、方々で借金を抱えている小悪党として、商人の間では、悪い意味で知られる存在なのデス。			ギョドウ現る！							
……そう言われると、いろいろと怪しく思えてくるわね。私たちが集めた情報では、ゴウセツはひとりで船を探していた。でも、ギョドウは、ふたりが来たと言っている……。			……そう言われると、いろいろと怪しく思えてくるわね。私たちが集めた情報では、ゴウセツはひとりで船を探していた。でも、ギョドウは、ふたりが来たと言っている……。			ギョドウ現る！							
たまたま、船探しのときに別行動を取っていて、後から合流したとも考えられるけど……。			たまたま、船探しのときに別行動を取っていて、後から合流したとも考えられるけど……。			ギョドウ現る！							
ええ、もちろん、そう考えれば辻褄は合います。デスが、ここクガネは諜報戦の最前線……微妙な違和感であっても、注意するに越したことはありません。			ええ、もちろん、そう考えれば辻褄は合います。デスが、ここクガネは諜報戦の最前線……微妙な違和感であっても、注意するに越したことはありません。			ギョドウ現る！							
新任のドマの代理総督は、猜疑心の強い人物で、反乱分子狩りに、密告の類いを大いに活用しているのだとか……。我ながら考えすぎとも思えますが、あるいは……。			新任のドマの代理総督は、猜疑心の強い人物で、反乱分子狩りに、密告の類いを大いに活用しているのだとか……。我ながら考えすぎとも思えますが、あるいは……。			ギョドウ現る！							
でも、ギョドウがゴウセツたちを騙してたとしたら、それこそ、見過ごしておけないでしょ？帝国に売られたのなら、ふたりは捕まってるかもしれない……。			でも、ギョドウがゴウセツたちを騙してたとしたら、それこそ、見過ごしておけないでしょ？帝国に売られたのなら、ふたりは捕まってるかもしれない……。			ギョドウ現る！							
正直に船渡しをしてくれるなら問題なし。罠だったらギョドウをふん捕まえて、本当のことを聞き出せばいい。			正直に船渡しをしてくれるなら問題なし。罠だったらギョドウをふん捕まえて、本当のことを聞き出せばいい。			ギョドウ現る！							
リセって、本当に真っ直ぐよね。でも、私もそういうの嫌いじゃないわ。			リセって、本当に真っ直ぐよね。でも、私もそういうの嫌いじゃないわ。			ギョドウ現る！							
やれやれ、ならば荒事に備えて、タタルはここに残ってくれ。いざというときに備えて、私は君たち三人の背後を隠れて尾行し、罠だった場合に、いつでも支援できる態勢を整えておこう。			やれやれ、ならば荒事に備えて、タタルはここに残ってくれ。いざというときに備えて、私は君たち三人の背後を隠れて尾行し、罠だった場合に、いつでも支援できる態勢を整えておこう。			ギョドウ現る！							
しかし、帝国兵が現れても、なるべく戦闘は避けてくださいよ？クガネでの刃傷沙汰は御法度……赤誠組の侍に見つかろうものなら、逮捕は免れません。			しかし、帝国兵が現れても、なるべく戦闘は避けてくださいよ？クガネでの刃傷沙汰は御法度……赤誠組の侍に見つかろうものなら、逮捕は免れません。			ギョドウ現る！							
この前も、街中で乱闘騒ぎがあって、異国人が捕縛されたと、取引先に聞きました。緊急時には、すぐに逃げて商館に戻ってきてくださいネ？			この前も、街中で乱闘騒ぎがあって、異国人が捕縛されたと、取引先に聞きました。緊急時には、すぐに逃げて商館に戻ってきてくださいネ？			ギョドウ現る！							
私は、伏兵役として隠れておく。Forename、リセ、アリゼーの三人は、ギョドウとの待ち合わせ場所に向かってくれ。			私は、伏兵役として隠れておく。Forename、リセ、アリゼーの三人は、ギョドウとの待ち合わせ場所に向かってくれ。			ギョドウ現る！							
赤誠組の侍は、異国人だろうと容赦しません。逮捕されたら、役人に袖の下を突っ込まなければならず、余計な経費がかかってしまうのデス！			赤誠組の侍は、異国人だろうと容赦しません。逮捕されたら、役人に袖の下を突っ込まなければならず、余計な経費がかかってしまうのデス！			ギョドウ現る！							
ギョドウって、商人の間では有名な小悪党みたいだけど、心を入れ替えて、正直者になっていてくれないかな？それだったら、楽にいくのに……。			ギョドウって、商人の間では有名な小悪党みたいだけど、心を入れ替えて、正直者になっていてくれないかな？それだったら、楽にいくのに……。			ギョドウ現る！							
こんなこともあろうかと、アリゼーさんに特製の秘密兵器を渡しておきまっした！いざというときには、受け取って利用してくだっさい！			こんなこともあろうかと、アリゼーさんに特製の秘密兵器を渡しておきまっした！いざというときには、受け取って利用してくだっさい！			ギョドウ現る！							
あらためて、確認しておくわ。ギョドウとの待ち合わせ場所に向かうのは、私とリセ、Forenameの三人よ。			あらためて、確認しておくわ。ギョドウとの待ち合わせ場所に向かうのは、私とリセ、Forenameの三人よ。			ギョドウ現る！							
アルフィノは、身を潜めながら、私たちの後を尾行する。ギョドウが、帝国と通じていた場合に備えてね。			アルフィノは、身を潜めながら、私たちの後を尾行する。ギョドウが、帝国と通じていた場合に備えてね。			ギョドウ現る！							
もしもギョドウが怪しい動きを見せたら、リセ、あなたが力尽くで、相手の身柄を確保してちょうだい。そして、アルフィノの支援を受けながら、素早く脱出……。			もしもギョドウが怪しい動きを見せたら、リセ、あなたが力尽くで、相手の身柄を確保してちょうだい。そして、アルフィノの支援を受けながら、素早く脱出……。			ギョドウ現る！							
その後は、赤誠組の目を避けながら、どうにかして、ここウルダハ商館に戻ってくること。いいわね？			その後は、赤誠組の目を避けながら、どうにかして、ここウルダハ商館に戻ってくること。いいわね？			ギョドウ現る！							
相手が正直者ならいいのだけれど、小悪党なら油断は禁物……気を引き締めてかかりましょう。それじゃ、待ち合わせの「黄昏橋」に向かうわよ！			相手が正直者ならいいのだけれど、小悪党なら油断は禁物……気を引き締めてかかりましょう。それじゃ、待ち合わせの「黄昏橋」に向かうわよ！			ギョドウ現る！							
悪い予感が当たらないように祈っておこうっと。			悪い予感が当たらないように祈っておこうっと。			ギョドウ現る！							
待ち合わせ場所は、ここね……。有事に備えて、装備の確認を忘れずにね？……Forename、準備はいい？			待ち合わせ場所は、ここね……。有事に備えて、装備の確認を忘れずにね？……Forename、準備はいい？			ギョドウ現る！							
やれやれ、どうにか戻ってこれたね。ソロバンがいてくれて助かったよ。			やれやれ、どうにか戻ってこれたね。ソロバンがいてくれて助かったよ。			ギョドウ現る！							
コウジン族は海の民だからねぇ～、海産物を集めて売っては、人が作る品を買い求めるのさぁ～。東アルデナード商会と取引できれば、大助かりだよぉ～。			コウジン族は海の民だからねぇ～、海産物を集めて売っては、人が作る品を買い求めるのさぁ～。東アルデナード商会と取引できれば、大助かりだよぉ～。			ギョドウ現る！							
新規顧客まで連れ帰ってきてくれるなんて、私、感激デ～ス！			新規顧客まで連れ帰ってきてくれるなんて、私、感激デ～ス！			ギョドウ現る！							
それにしても、異国に来てまで、真夜中に追いかけっこをすることになるとはね……。			それにしても、異国に来てまで、真夜中に追いかけっこをすることになるとはね……。			ギョドウ現る！							
おつかれさま、Forename。騙されたのは、気分悪いけど、先回りして対策できたのは、よかったと思わない？			おつかれさま、Forename。騙されたのは、気分悪いけど、先回りして対策できたのは、よかったと思わない？			ギョドウ現る！							
まぁ、真夜中の追いかけっこなんて、当分やりたくはないけどね……。			まぁ、真夜中の追いかけっこなんて、当分やりたくはないけどね……。			ギョドウ現る！							
クガネを守る赤誠組が動き出したみたいね。交戦は厳禁……どうにか振り切って商館に戻りましょう。			クガネを守る赤誠組が動き出したみたいね。交戦は厳禁……どうにか振り切って商館に戻りましょう。			ギョドウ現る！							
捕縛されそうになったら、この煙玉を使ってちょうだい！			捕縛されそうになったら、この煙玉を使ってちょうだい！			ギョドウ現る！							
このバトル中、コンテンツアクション「煙玉」が使用できます。「捕縛」されそうになったら、利用してみましょう。なお、赤誠組の隊士を攻撃するとバトルは失敗となります。			このバトル中、コンテンツアクション「煙玉」が使用できます。「捕縛」されそうになったら、利用してみましょう。なお、赤誠組の隊士を攻撃するとバトルは失敗となります。			ギョドウ現る！							
ラールガーズリーチのコンラッドは、しみじみとした様子だ。			ラールガーズリーチのコンラッドは、しみじみとした様子だ。			その声に押されて							
ラウバーンと話す			ラウバーンと話す			その声に押されて							
カストルム・オリエンスのリセと話す			カストルム・オリエンスのリセと話す			その声に押されて							
アルフィノと話す			アルフィノと話す			その声に押されて							
今はとにかく、負傷者たちの無事を祈りましょう。			今はとにかく、負傷者たちの無事を祈りましょう。			その声に押されて							
コンラッド隊長……あまり、無理をなさらないでください。			コンラッド隊長……あまり、無理をなさらないでください。			その声に押されて							
仲間を多く助けてくれたらしいの。ありがとう……感謝するぞい。			仲間を多く助けてくれたらしいの。ありがとう……感謝するぞい。			その声に押されて							
……じゃが、今回の襲撃でワシの部隊は壊滅的被害を被った。ベロジナ大橋の奪還作戦どころではなくなったということじゃ。			……じゃが、今回の襲撃でワシの部隊は壊滅的被害を被った。ベロジナ大橋の奪還作戦どころではなくなったということじゃ。			その声に押されて							
ともかく、ワシは生き残った者たちに指示を与えてくる。その後、「カストルム・オリエンス」に向かうつもりじゃ。今後の方針については、そちらで相談させてもらいたい……。			ともかく、ワシは生き残った者たちに指示を与えてくる。その後、「カストルム・オリエンス」に向かうつもりじゃ。今後の方針については、そちらで相談させてもらいたい……。			その声に押されて							
了解です。では、私たちは「ラウバーン」局長に声をかけてきます。後ほどお会いしましょう。			了解です。では、私たちは「ラウバーン」局長に声をかけてきます。後ほどお会いしましょう。			その声に押されて							
この拠点を放棄するしかないのかしら。			この拠点を放棄するしかないのかしら。			その声に押されて							
それにしても、10年以上に渡って隠し通してきた拠点の在処が、なぜこのタイミングになって、発覚したのだろうか……。			それにしても、10年以上に渡って隠し通してきた拠点の在処が、なぜこのタイミングになって、発覚したのだろうか……。			その声に押されて							
どうやら、重傷者の搬出が終わったようだな。こちらも拠点内の見回りと、周辺地域の偵察が完了したところだ。			どうやら、重傷者の搬出が終わったようだな。こちらも拠点内の見回りと、周辺地域の偵察が完了したところだ。			その声に押されて							
密かに敵部隊を追跡させていた斥候からの報告によると、ゼノスらは「スペキュラ・インペラトリス」へと整然と帰還……。こちらを再攻撃してくるそぶりすらないそうだ。			密かに敵部隊を追跡させていた斥候からの報告によると、ゼノスらは「スペキュラ・インペラトリス」へと整然と帰還……。こちらを再攻撃してくるそぶりすらないそうだ。			その声に押されて							
あと一押しするだけで、解放軍の息の根を止められるというのに、なぜ、あえて見逃すようなことをしたのでしょう？敵将ゼノスの思惑はいったい……。			あと一押しするだけで、解放軍の息の根を止められるというのに、なぜ、あえて見逃すようなことをしたのでしょう？敵将ゼノスの思惑はいったい……。			その声に押されて							
叩けるときに叩くというのが、戦いの常道だ。それをせぬのは愚将でしかないが、ゼノスがそうとも思えぬ。とはいえ、考えてもわからんことに悩んでいる暇はない。			叩けるときに叩くというのが、戦いの常道だ。それをせぬのは愚将でしかないが、ゼノスがそうとも思えぬ。とはいえ、考えてもわからんことに悩んでいる暇はない。			その声に押されて							
貴様たちは、カストルム・オリエンスに赴き、負傷者の搬送に向かった「リセ」たち仲間と合流するといい。その後、コンラッド殿を交え、今後の方針について話し合おうぞ。			貴様たちは、カストルム・オリエンスに赴き、負傷者の搬送に向かった「リセ」たち仲間と合流するといい。その後、コンラッド殿を交え、今後の方針について話し合おうぞ。			その声に押されて							
まさかガレマール帝国軍に先手を打たれるとはな……。			まさかガレマール帝国軍に先手を打たれるとはな……。			その声に押されて							
我がグリダニアは幻術の本場……。腕利きの幻術士たちが、負傷者たちの治療に当たっています。			我がグリダニアは幻術の本場……。腕利きの幻術士たちが、負傷者たちの治療に当たっています。			その声に押されて							
おつかれさま。……ヤ・シュトラのことは、クルルが看てくれてる。まだ目を覚ましていないけど、容態は安定してるって……。			おつかれさま。……ヤ・シュトラのことは、クルルが看てくれてる。まだ目を覚ましていないけど、容態は安定してるって……。			その声に押されて							
安直によかったと言える状況ではないが、ひとまず命が助かってくれたのは、不幸中の幸いだろう。今は、快復を信じて待つしかなさそうだ……。			安直によかったと言える状況ではないが、ひとまず命が助かってくれたのは、不幸中の幸いだろう。今は、快復を信じて待つしかなさそうだ……。			その声に押されて							
……そうだね。犠牲になった人たちも多かったし……。			……そうだね。犠牲になった人たちも多かったし……。			その声に押されて							
コンラッド隊長から聞いたよ。メッフリッドが助からなかったってさ……。彼が髑髏連隊の女隊長に斬られるところ、アタシ見てたんだ……。			コンラッド隊長から聞いたよ。メッフリッドが助からなかったってさ……。彼が髑髏連隊の女隊長に斬られるところ、アタシ見てたんだ……。			その声に押されて							
あんなに強くアラミゴの解放を願っていた彼が、同じアラミゴ人に殺されるだなんて……悲しくて、悔しくて……。			あんなに強くアラミゴの解放を願っていた彼が、同じアラミゴ人に殺されるだなんて……悲しくて、悔しくて……。			その声に押されて							
でも、今は泣いてなんかいられないよね。行こう、ラウバーン局長たちが待ってる……。			でも、今は泣いてなんかいられないよね。行こう、ラウバーン局長たちが待ってる……。			その声に押されて							
…………リセ。			…………リセ。			その声に押されて							
戦いは続く。犠牲を増やしながら……。わかっているわ、安っぽい感傷に意味がないことはね。			戦いは続く。犠牲を増やしながら……。わかっているわ、安っぽい感傷に意味がないことはね。			その声に押されて							
敵将ゼノス、とどめを刺さずに退いた様からは、どこか戦いを愉しむような、傲慢さが感じられる。ならば、その油断を最大限に利用し、反撃の時に備えようぞ。			敵将ゼノス、とどめを刺さずに退いた様からは、どこか戦いを愉しむような、傲慢さが感じられる。ならば、その油断を最大限に利用し、反撃の時に備えようぞ。			その声に押されて							
ワシは、これからラールガーズリーチに戻り、ほかの部隊や関連組織に集合を呼びかけるつもりじゃ。			ワシは、これからラールガーズリーチに戻り、ほかの部隊や関連組織に集合を呼びかけるつもりじゃ。			その声に押されて							
帝国軍に在処が知られた以上、もはや隠れはせん。徹底的に防備を固めて、あの狭い谷を砦とする覚悟じゃ。			帝国軍に在処が知られた以上、もはや隠れはせん。徹底的に防備を固めて、あの狭い谷を砦とする覚悟じゃ。			その声に押されて							
厳しい戦いの旅になるだろうが、気を付けてな……。再会したときに、より強くなっていられるよう、私も精進しておくつもりさ。			厳しい戦いの旅になるだろうが、気を付けてな……。再会したときに、より強くなっていられるよう、私も精進しておくつもりさ。			その声に押されて							
このままギラバニアに残って、帝国軍と戦いたいって気持ちもある。でも、ナーゴにあんな覚悟を見せつけられたらさ、わがままなんて言ってられないよね。			このままギラバニアに残って、帝国軍と戦いたいって気持ちもある。でも、ナーゴにあんな覚悟を見せつけられたらさ、わがままなんて言ってられないよね。			その声に押されて							
まったく、無茶をして……。でも、あんなに熱い一面を出されたら、力になってあげたいって思っちゃうわよね。			まったく、無茶をして……。でも、あんなに熱い一面を出されたら、力になってあげたいって思っちゃうわよね。			その声に押されて							
……はぁはぁはぁ。今になって、痛みがぶり返してきました。			……はぁはぁはぁ。今になって、痛みがぶり返してきました。			その声に押されて							
「暁の血盟」の組織規模は小さく、戦争の勝敗を左右するほどの戦力はない。			「暁の血盟」の組織規模は小さく、戦争の勝敗を左右するほどの戦力はない。			その声に押されて							
もちろん、私たちが東方に行ったからとて、それだけでドマの反乱軍が、当地の帝国軍を倒せるわけではない。だが、それでもなお、私たちにはできることがあると思う。			もちろん、私たちが東方に行ったからとて、それだけでドマの反乱軍が、当地の帝国軍を倒せるわけではない。だが、それでもなお、私たちにはできることがあると思う。			その声に押されて							
かつて、ルイゾワお祖父様と救世詩盟の賢人たちは、たった12人で、エオルゼア諸国への働きかけを始めた。そして、第七霊災に立ち向かう大きなうねりを作りだしたんだ。			かつて、ルイゾワお祖父様と救世詩盟の賢人たちは、たった12人で、エオルゼア諸国への働きかけを始めた。そして、第七霊災に立ち向かう大きなうねりを作りだしたんだ。			その声に押されて							
その前例を見習い、私たちなりのやり方で、支配に抗い、自由を求める人たちを結びつけていこう。それが、帝国に対抗する最善の道だと思うんだ。			その前例を見習い、私たちなりのやり方で、支配に抗い、自由を求める人たちを結びつけていこう。それが、帝国に対抗する最善の道だと思うんだ。			その声に押されて							
レヴナンツトールのリセは、ドマについて知ったことを反芻しているようだ。			レヴナンツトールのリセは、ドマについて知ったことを反芻しているようだ。			大洋を征く							
「暁の血盟」は、反撃の望みをかけ、アラミゴと同じくゼノスの管轄下にあるドマの解放運動に手を貸すことになった。ドマは、はるか東の果て、東州オサード小大陸にある。渡航に際して、海賊カルヴァランや、レヴナンツトールにいるドマの民の協力を得ることができた。リムサ・ロミンサのフェリードックにいる「アルフィノ」と話そう。			「暁の血盟」は、反撃の望みをかけ、アラミゴと同じくゼノスの管轄下にあるドマの解放運動に手を貸すことになった。ドマは、はるか東の果て、東州オサード小大陸にある。渡航に際して、海賊カルヴァランや、レヴナンツトールにいるドマの民の協力を得ることができた。リムサ・ロミンサのフェリードックにいる「アルフィノ」と話そう。			大洋を征く							
アルフィノと話し、いよいよ東方に向けて出発することになった。フェリードックの「百鬼夜行の甲板員」と話し、ミゼリー号に乗船しよう。			アルフィノと話し、いよいよ東方に向けて出発することになった。フェリードックの「百鬼夜行の甲板員」と話し、ミゼリー号に乗船しよう。			大洋を征く							
ウリエンジェに見送られ、ミゼリー号に乗船して出航した。順調な船旅だったが、何か異変が起きたようだ。ミゼリー号の甲板にいる「カルヴァラン」と話そう。一度エオルゼアに帰還した場合は、リムサ・ロミンサのフェリードックにいる「百鬼夜行の甲板員」に話しかけると、再度乗船できるようだ。			ウリエンジェに見送られ、ミゼリー号に乗船して出航した。順調な船旅だったが、何か異変が起きたようだ。ミゼリー号の甲板にいる「カルヴァラン」と話そう。一度エオルゼアに帰還した場合は、リムサ・ロミンサのフェリードックにいる「百鬼夜行の甲板員」に話しかけると、再度乗船できるようだ。			大洋を征く							
カルヴァランから、船乗りに伝わる伝承について聞いた。事態を収拾し、東方への航路に戻るため、「漂流海域 セイレーン海」に乗り込もう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			カルヴァランから、船乗りに伝わる伝承について聞いた。事態を収拾し、東方への航路に戻るため、「漂流海域 セイレーン海」に乗り込もう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			大洋を征く							
