「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
ぐふふふふ……。ヒトは皆、ヒーヒーとカワイイ声で鳴く。5年前に殺した貴様の母親も……な！			ぐふふふふ……。ヒトは皆、ヒーヒーとカワイイ声で鳴く。5年前に殺した貴様の母親も……な！			反逆の焔							
ザゴズ・テェェェェェェェッ！！			ザゴズ・テェェェェェェェッ！！			反逆の焔							
ぐ……うっ！！ば、馬鹿なっ……その……ち、力は……！？			ぐ……うっ！！ば、馬鹿なっ……その……ち、力は……！？			反逆の焔							
ぐうっふっふっふ！　どうした灰の一党！至強を標榜したところで、所詮はその程度か！？イフリート様の加護を受けた、我が魔力は無敵ッ！			ぐうっふっふっふ！　どうした灰の一党！至強を標榜したところで、所詮はその程度か！？イフリート様の加護を受けた、我が魔力は無敵ッ！			反逆の焔							
戻り、ハムジ・ガーに伝えるべし！燃えつきた灰に価値などない。虚しくザンラクの熱風の前に、散りゆくがいい……と！			戻り、ハムジ・ガーに伝えるべし！燃えつきた灰に価値などない。虚しくザンラクの熱風の前に、散りゆくがいい……と！			反逆の焔							
はぁはぁはぁ……助太刀、痛み入る……ギシルベールト隊長に……報告せねば……。頼む……私の代わりに、報告してきてくれないか……。			はぁはぁはぁ……助太刀、痛み入る……ギシルベールト隊長に……報告せねば……。頼む……私の代わりに、報告してきてくれないか……。			反逆の焔							
聞いたぞ……！　なんてことだ！我ら不滅隊の中に、裏切り者……テンパードの情報網を敷いた犯人がいたとは……。			聞いたぞ……！　なんてことだ！我ら不滅隊の中に、裏切り者……テンパードの情報網を敷いた犯人がいたとは……。			反逆の焔							
小隊が全滅し、残りの隊員も連れ拐われてしまった。奴らの狙いは、最初から我々不滅隊だったのか……くっ、完全にしてやられた……。			小隊が全滅し、残りの隊員も連れ拐われてしまった。奴らの狙いは、最初から我々不滅隊だったのか……くっ、完全にしてやられた……。			反逆の焔							
恥を忍んで、お前に頼みがある……。拐われた部下たちを助けてほしい。私の部隊は、当分、動けそうもないからな……。			恥を忍んで、お前に頼みがある……。拐われた部下たちを助けてほしい。私の部隊は、当分、動けそうもないからな……。			反逆の焔							
話はしかと聞き及んだ！きゃつは「炎牙衆」の首魁、ザゴズ・テー！その目的は「焼かれし者」を生み出すことなり。			話はしかと聞き及んだ！きゃつは「炎牙衆」の首魁、ザゴズ・テー！その目的は「焼かれし者」を生み出すことなり。			反逆の焔							
祈る「焼かれし者」増えれば、自ずと蛮神は勢いを増し、神を拝する祭壇の炎は、ザンラクにいるアマルジャ族に特別なる加護をもたらす！			祈る「焼かれし者」増えれば、自ずと蛮神は勢いを増し、神を拝する祭壇の炎は、ザンラクにいるアマルジャ族に特別なる加護をもたらす！			反逆の焔							
きゃつらの野望の炎、速やかに消し去るべし！直ちに拐われた者を助けん！捕虜を囲いし牢の鍵は、脇本陣周辺の衛士が持たん！			きゃつらの野望の炎、速やかに消し去るべし！直ちに拐われた者を助けん！捕虜を囲いし牢の鍵は、脇本陣周辺の衛士が持たん！			反逆の焔							
見事なり！　強き者よ。死地と化したる「ザハラク戦陣」を踏み超え、任務を遂行せし貴君の姿、正に英俊豪傑なり！			見事なり！　強き者よ。死地と化したる「ザハラク戦陣」を踏み超え、任務を遂行せし貴君の姿、正に英俊豪傑なり！			反逆の焔							
(-？？？？-)戦士ルーン・ガー！しばし待たれよ！　どうするつもりだ！			(-？？？？-)戦士ルーン・ガー！しばし待たれよ！　どうするつもりだ！			反逆の焔							
決まってんだろうがっ！アイツの……ザゴズ・テーの息の根を止めてやんだよ！母さんに手をかけた……アイツだけは……ゼッテェにっ！！			決まってんだろうがっ！アイツの……ザゴズ・テーの息の根を止めてやんだよ！母さんに手をかけた……アイツだけは……ゼッテェにっ！！			反逆の焔							
戦士ルーン・ガー、己の器をわきまえるべし。今の貴様の力では、ザゴズ・テーを討ち勝つことあたわず。これすなわち蟷螂之斧、行かば犬死は必定なり。			戦士ルーン・ガー、己の器をわきまえるべし。今の貴様の力では、ザゴズ・テーを討ち勝つことあたわず。これすなわち蟷螂之斧、行かば犬死は必定なり。			反逆の焔							
教えてくれ、親父っ！それは……それは、俺がミコッテだからか……？ミコッテはどうやっても、アマルジャには勝てねぇってか！？			教えてくれ、親父っ！それは……それは、俺がミコッテだからか……？ミコッテはどうやっても、アマルジャには勝てねぇってか！？			反逆の焔							
愚問なり……！貴様は戦士として、まだまだ未熟。ただ、それだけのこと。			愚問なり……！貴様は戦士として、まだまだ未熟。ただ、それだけのこと。			反逆の焔							
ハムジ・ガー！　同胞の恥は己の恥！ルーン・ガーを援け、戦うことをお許し頂きたい。一党の全戦力を挙げ、今こそ「炎牙衆」に反撃の嚆矢を！			ハムジ・ガー！　同胞の恥は己の恥！ルーン・ガーを援け、戦うことをお許し頂きたい。一党の全戦力を挙げ、今こそ「炎牙衆」に反撃の嚆矢を！			反逆の焔							
それには及ばず、死して屍拾う者なし。これアマルジャ族の古の掟なり。			それには及ばず、死して屍拾う者なし。これアマルジャ族の古の掟なり。			反逆の焔							
ルーン・ガーよ。此は貴様の戦い……何人たりとも手出しはできぬ。貴様の敗北は、貴様自身の勝利によってのみ、雪がれる。			ルーン・ガーよ。此は貴様の戦い……何人たりとも手出しはできぬ。貴様の敗北は、貴様自身の勝利によってのみ、雪がれる。			反逆の焔							
泣く暇あれば、強くなれ。強さのみが唯一、貴様を生かす縁(よすが)ぞ。			泣く暇あれば、強くなれ。強さのみが唯一、貴様を生かす縁(よすが)ぞ。			反逆の焔							
ぐっ……。ち……ちきしょおおおおおおおっ……！！			ぐっ……。ち……ちきしょおおおおおおおっ……！！			反逆の焔							
獅子は我が子を千尋の谷に落とすと聞く。我等も同様……子々孫々、綿々と継がれる、アマルジャ族の戦士の流儀ぞ。			獅子は我が子を千尋の谷に落とすと聞く。我等も同様……子々孫々、綿々と継がれる、アマルジャ族の戦士の流儀ぞ。			反逆の焔							
敵の気配を感じた！！			敵の気配を感じた！！			反逆の焔							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			反逆の焔							
(-囚われた不滅隊士-)ううう……助かった……。もう駄目かと思ったよ、ありがとう……。			(-囚われた不滅隊士-)ううう……助かった……。もう駄目かと思ったよ、ありがとう……。			反逆の焔							
(-囚われた商人-)助かった……相手が不滅隊だったから、すっかり信用しちまったよ。まさか、ヒトに裏切り者がいたなんてな……。			(-囚われた商人-)助かった……相手が不滅隊だったから、すっかり信用しちまったよ。まさか、ヒトに裏切り者がいたなんてな……。			反逆の焔							
(-囚われた市民-)祖国を追われたうえに、こんなとこで蛮族に囚われて……。俺ってなんて不幸な男……。ううううっ。			(-囚われた市民-)祖国を追われたうえに、こんなとこで蛮族に囚われて……。俺ってなんて不幸な男……。ううううっ。			反逆の焔							
(-囚われた冒険者-)寝ているところを、いきなり拐われちまって……気づいたら檻の中さ。……ところでリトルアラミゴはどっちだ！？			(-囚われた冒険者-)寝ているところを、いきなり拐われちまって……気づいたら檻の中さ。……ところでリトルアラミゴはどっちだ！？			反逆の焔							
「アマルジャ族：灰の一党」との友好関係が「友好」になりました。彼らは冒険者を頼もしい戦友と思っているようです。			「アマルジャ族：灰の一党」との友好関係が「友好」になりました。彼らは冒険者を頼もしい戦友と思っているようです。			反逆の焔							
これ以降、灰の陣営にいる「ヤドヴ・ガー」より、新たな「友好部族デイリークエスト」を受注することができます。			これ以降、灰の陣営にいる「ヤドヴ・ガー」より、新たな「友好部族デイリークエスト」を受注することができます。			反逆の焔							
また、「アマルジャ族のよろず屋」より、「友好関係：友好」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「アマルジャ族のよろず屋」より、「友好関係：友好」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			反逆の焔							
シルフの仮宿のオルムシオは、冒険者に聞いてほしいことがあるようだ。			シルフの仮宿のオルムシオは、冒険者に聞いてほしいことがあるようだ。			悪い子シルフの意趣返し							
前回までの冒険録：「シルフの仮宿」に「伝説の御子」に関する有益な情報がもたらされた。伝説の御子は、現在「ゆりかご」の状態となって、シルフ領の「悪い子シルフ」たちに保護されているらしい。もし、彼らよって伝説の御子が「羽化」してしまったら、世界の脅威となってしまう。冒険者はシルフ領に潜入し、伝説の御子のゆりかごを奪取する。これで一件落着か……と胸をなでおろす仮宿のシルフ族たち。しかし悪い子シルフたちは、密かに反撃の機会を狙っているのだった……。　　　　　　　　　　　　*　*　*オルムシオは、暇そうなヴォイスに雑用をさせているらしい。シルフの仮宿の「ナトハシオ」と話して、サボっていないか確認しよう。			前回までの冒険録：「シルフの仮宿」に「伝説の御子」に関する有益な情報がもたらされた。伝説の御子は、現在「ゆりかご」の状態となって、シルフ領の「悪い子シルフ」たちに保護されているらしい。もし、彼らよって伝説の御子が「羽化」してしまったら、世界の脅威となってしまう。冒険者はシルフ領に潜入し、伝説の御子のゆりかごを奪取する。これで一件落着か……と胸をなでおろす仮宿のシルフ族たち。しかし悪い子シルフたちは、密かに反撃の機会を狙っているのだった……。　　　　　　　　　　　　*　*　*オルムシオは、暇そうなヴォイスに雑用をさせているらしい。シルフの仮宿の「ナトハシオ」と話して、サボっていないか確認しよう。			悪い子シルフの意趣返し							
ヴォイスは、大宿り木の葉を採るために森の中へ行かされたようだ。シルフ領の入口へ向かい「ヴォイス」を救助しよう。			ヴォイスは、大宿り木の葉を採るために森の中へ行かされたようだ。シルフ領の入口へ向かい「ヴォイス」を救助しよう。			悪い子シルフの意趣返し							
ヴォイスは間一髪、無事だったようだ。シルフの仮宿に戻り、「オルムシオ」に報告しよう。			ヴォイスは間一髪、無事だったようだ。シルフの仮宿に戻り、「オルムシオ」に報告しよう。			悪い子シルフの意趣返し							
ヴォイスを探していたはずの時間に、オルムシオはシルフの仮宿で冒険者の姿を見たらしい。急いで、シルフの仮宿の「フリクシオ」に話そう。			ヴォイスを探していたはずの時間に、オルムシオはシルフの仮宿で冒険者の姿を見たらしい。急いで、シルフの仮宿の「フリクシオ」に話そう。			悪い子シルフの意趣返し							
冒険者に化けたディルシオ率いる悪い子シルフの手によって、御子ちゃまのゆりかごは奪い返されてしまった。シルフの仮宿の「オルムシオ」に報告しよう。			冒険者に化けたディルシオ率いる悪い子シルフの手によって、御子ちゃまのゆりかごは奪い返されてしまった。シルフの仮宿の「オルムシオ」に報告しよう。			悪い子シルフの意趣返し							
オルムシオたちは、伝説の御子を取り戻すつもりのようだ。彼らを助けるため、シルフの仮宿の依頼をひきうけていこう。			オルムシオたちは、伝説の御子を取り戻すつもりのようだ。彼らを助けるため、シルフの仮宿の依頼をひきうけていこう。			悪い子シルフの意趣返し							
ナトハシオと話す			ナトハシオと話す			悪い子シルフの意趣返し							
シルフ領の入口のヴォイスを救助			シルフ領の入口のヴォイスを救助			悪い子シルフの意趣返し							
シルフの仮宿のオルムシオと話す			シルフの仮宿のオルムシオと話す			悪い子シルフの意趣返し							
フリクシオと話す			フリクシオと話す			悪い子シルフの意趣返し							
オルムシオに報告			オルムシオに報告			悪い子シルフの意趣返し							
アナタ、こんにちは～なのでふっち。ちょっと聞いてほしいのでふっち。			アナタ、こんにちは～なのでふっち。ちょっと聞いてほしいのでふっち。			悪い子シルフの意趣返し							
例のヘッポコ学者のことでふっち。いつも暇そうにちているから、ためしに、お裁縫の手伝いをさせたのでふっち。			例のヘッポコ学者のことでふっち。いつも暇そうにちているから、ためしに、お裁縫の手伝いをさせたのでふっち。			悪い子シルフの意趣返し							
……でも、全然ダメなのでふっち！いきなり針で指を刺ちて、半泣きでふっち。驚くほどヘッポコでふっち。			……でも、全然ダメなのでふっち！いきなり針で指を刺ちて、半泣きでふっち。驚くほどヘッポコでふっち。			悪い子シルフの意趣返し							
あまりにヘッポコだから、雑用をさせているのでふっち。仮宿の「ナトハシオ」にカントクちてもらってるから、サボってないか見てきてほしいでふっち。			あまりにヘッポコだから、雑用をさせているのでふっち。仮宿の「ナトハシオ」にカントクちてもらってるから、サボってないか見てきてほしいでふっち。			悪い子シルフの意趣返し							
……おやや、ヘッポコ学者をお探ちでふっち？アイツなら、棲家を直す「大宿り木の葉」を「シルフ領」の入口まで採りに行かせたでふっち。			……おやや、ヘッポコ学者をお探ちでふっち？アイツなら、棲家を直す「大宿り木の葉」を「シルフ領」の入口まで採りに行かせたでふっち。			悪い子シルフの意趣返し							
だってアイツ、何やってもダメなのでふっち。ホントにヘッポコでふっち！だからツカイパシリにさせたでふっち、げひひ。			だってアイツ、何やってもダメなのでふっち。ホントにヘッポコでふっち！だからツカイパシリにさせたでふっち、げひひ。			悪い子シルフの意趣返し							
でも、ずいぶんと帰ってくるのが遅いでふっち。もちかして、かけてやった「隠れ身のおまぢない」が切れたのかもでふっち……。			でも、ずいぶんと帰ってくるのが遅いでふっち。もちかして、かけてやった「隠れ身のおまぢない」が切れたのかもでふっち……。			悪い子シルフの意趣返し							
……さすがに心配になってきたでふっち。ヘッポコだから、魔物に食べられちゃうかもちれないでふっち。ちょっと森へ行って、探ちてきてほぴいでふっち。			……さすがに心配になってきたでふっち。ヘッポコだから、魔物に食べられちゃうかもちれないでふっち。ちょっと森へ行って、探ちてきてほぴいでふっち。			悪い子シルフの意趣返し							
はぁ……助かった……。冒険者さん、また助けられちゃいましたね。何度も何度もすみません……。			はぁ……助かった……。冒険者さん、また助けられちゃいましたね。何度も何度もすみません……。			悪い子シルフの意趣返し							
ここに来る前に、シルフさんから「隠れ身のおまぢない」をかけてもらったのですが……もたついていたら、あっという間に効果がきれてしまって……。			ここに来る前に、シルフさんから「隠れ身のおまぢない」をかけてもらったのですが……もたついていたら、あっという間に効果がきれてしまって……。			悪い子シルフの意趣返し							
う～ん、ボク、やっぱりヘッポコなのかなぁ。なんだか自信なくなってきました……帰りましょう……。			う～ん、ボク、やっぱりヘッポコなのかなぁ。なんだか自信なくなってきました……帰りましょう……。			悪い子シルフの意趣返し							
あらアナタ、さっき会ったばかりなのに、何か用でふっち？……ええっ？　ヘッポコ学者を助けるために、今まで森に行っていたのでふっち？			あらアナタ、さっき会ったばかりなのに、何か用でふっち？……ええっ？　ヘッポコ学者を助けるために、今まで森に行っていたのでふっち？			悪い子シルフの意趣返し							
またまた～、ジョーダンでふっち？ついさっきまで仮宿をウロウロしていたでふっち。……それって、アナタがふたりいたってことでふっち？			またまた～、ジョーダンでふっち？ついさっきまで仮宿をウロウロしていたでふっち。……それって、アナタがふたりいたってことでふっち？			悪い子シルフの意趣返し							
………………。アナタがふたり……？も、も、もちかして……。			………………。アナタがふたり……？も、も、もちかして……。			悪い子シルフの意趣返し							
ふっちっち！嫌な予感がするでふっち！今すぐ、長ちゃまの所へ行くでふっち！			ふっちっち！嫌な予感がするでふっち！今すぐ、長ちゃまの所へ行くでふっち！			悪い子シルフの意趣返し							
うわわわわわ、大変でぶっち！緊急事態でぶっち！			うわわわわわ、大変でぶっち！緊急事態でぶっち！			悪い子シルフの意趣返し							
天幕の中に、大事に大事に寝かせておいた、「御子ちゃまのゆりかご」が、なくなっているのでぶっち！！			天幕の中に、大事に大事に寝かせておいた、「御子ちゃまのゆりかご」が、なくなっているのでぶっち！！			悪い子シルフの意趣返し							
ぼ、冒険者どの！？お前さんが持ち出したでぶっち！？何のためにでぶっち！？			ぼ、冒険者どの！？お前さんが持ち出したでぶっち！？何のためにでぶっち！？			悪い子シルフの意趣返し							
(-？？？？-)ふあーっはっはっはっはぁでふっち！			(-？？？？-)ふあーっはっはっはっはぁでふっち！			悪い子シルフの意趣返し							
ぼ、冒険者さんが、ふたり……！？			ぼ、冒険者さんが、ふたり……！？			悪い子シルフの意趣返し							
(-？？？？-)ふふふ、バカめでふっち！もちろん、このオレちゃまでふっち！			(-？？？？-)ふふふ、バカめでふっち！もちろん、このオレちゃまでふっち！			悪い子シルフの意趣返し							
御子ちゃまっ！			御子ちゃまっ！			悪い子シルフの意趣返し							
御子ちゃまのゆりかごは、返ちてもらったでふっち！このオレちゃまを出し抜くなんて、千年早いでふっち！			御子ちゃまのゆりかごは、返ちてもらったでふっち！このオレちゃまを出し抜くなんて、千年早いでふっち！			悪い子シルフの意趣返し							
……むっ！？			……むっ！？			悪い子シルフの意趣返し							
おおっ！　この胎動はっ！ふふふふ、御子ちゃま誕生のときは間近でふっち！			おおっ！　この胎動はっ！ふふふふ、御子ちゃま誕生のときは間近でふっち！			悪い子シルフの意趣返し							
御子ちゃま誕生のあかつきには、このオレちゃまが育ての親となって、たっぷりと教育をしてやるでふっち！			御子ちゃま誕生のあかつきには、このオレちゃまが育ての親となって、たっぷりと教育をしてやるでふっち！			悪い子シルフの意趣返し							
御子ちゃまとラムウちゃまの力が合わされば、お前らと「テイコク」……。両方まとめて根絶やしにすることも可能でふっち！			御子ちゃまとラムウちゃまの力が合わされば、お前らと「テイコク」……。両方まとめて根絶やしにすることも可能でふっち！			悪い子シルフの意趣返し							
ふぁーっはっはっはっはぁでふーっち！！			ふぁーっはっはっはっはぁでふーっち！！			悪い子シルフの意趣返し							
た、大変でふっち……。ディルシオたちを探し出して、もう一度、御子ちゃまを取り戻さなくてはいけないでふっち！			た、大変でふっち……。ディルシオたちを探し出して、もう一度、御子ちゃまを取り戻さなくてはいけないでふっち！			悪い子シルフの意趣返し							
……でも「ジョーホー」がフソクしてるでふっち。御子ちゃまとディルシオの行方は、あたぴらとヘッポコ学者で調べてみるでふっち。			……でも「ジョーホー」がフソクしてるでふっち。御子ちゃまとディルシオの行方は、あたぴらとヘッポコ学者で調べてみるでふっち。			悪い子シルフの意趣返し							
アナタはそれまで、いままでどおり、悪い子シルフの反撃に警戒しといてほしいでふっち！よろしくお願いするでふっち！			アナタはそれまで、いままでどおり、悪い子シルフの反撃に警戒しといてほしいでふっち！よろしくお願いするでふっち！			悪い子シルフの意趣返し							
敵の気配を感じた！！			敵の気配を感じた！！			悪い子シルフの意趣返し							
た……大変でぶっち……。えらいことになったでぶっち……！！			た……大変でぶっち……。えらいことになったでぶっち……！！			悪い子シルフの意趣返し							
ああ、冒険者さん、お帰りなさい。何度も命を救われ、なんとお礼を言っていいか……。……ん？　なんだか仮宿が騒がしいですね。			ああ、冒険者さん、お帰りなさい。何度も命を救われ、なんとお礼を言っていいか……。……ん？　なんだか仮宿が騒がしいですね。			悪い子シルフの意趣返し							
み、御子ちゃまが……。ボクのせいだ……ボクがシルフ領に行かなければ、こんなことには……うう、ごめんなさい……。			み、御子ちゃまが……。ボクのせいだ……ボクがシルフ領に行かなければ、こんなことには……うう、ごめんなさい……。			悪い子シルフの意趣返し							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			悪い子シルフの意趣返し							
「シルフ族：仮宿のシルフ」との友好関係が「友好」になりました。冒険者は大切な「おともだち」として迎えられているようです。			「シルフ族：仮宿のシルフ」との友好関係が「友好」になりました。冒険者は大切な「おともだち」として迎えられているようです。			悪い子シルフの意趣返し							
これ以降、シルフの仮宿にいる「モキシア」より、新たな「友好部族デイリークエスト」を受注することができます。			これ以降、シルフの仮宿にいる「モキシア」より、新たな「友好部族デイリークエスト」を受注することができます。			悪い子シルフの意趣返し							
また、「シルフ族のよろず屋」より、「友好関係：友好」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「シルフ族のよろず屋」より、「友好関係：友好」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			悪い子シルフの意趣返し							
第789洞穴団の採掘地のスケートスィス少甲士は、冒険者に折り入って話があるらしい。			第789洞穴団の採掘地のスケートスィス少甲士は、冒険者に折り入って話があるらしい。			鉱山に咲く花							
前回までの冒険録：ひょんなことから、コボルド族の社会の最底辺集団「第789洞穴団」の復讐（という名の嫌がらせに）加担することとなった冒険者。嫌がらせは意外にも順調に進み、憎き復讐相手である「フューグルマン13 ゾ・ガ」が企んでいた「新型錬金釜」の活動を停止させることにも成功した。しかし、フューグルマン13 ゾ・ガからの報復は必至。第789洞穴団を仕切る「ピックマン789 ギ・グ」は、その身を案じた幼馴染の女の子「アルケミスト175 ビ・ビ」に諭されたものの、もはや後戻りはできない。第789洞穴団と冒険者は、復讐（という名の、やっぱり嫌がらせ）を続けていくのであった。　　　　　　　　　　　　*　*　*スケートスィス少甲士によると、ウ・ガマロ武装鉱山のコボルド族が企てている「計画」について、黒渦団も何かしらの考えがあるようだ。外地ラノシアのキャンプ・オーバールックにいる「ブルーエイディン少甲佐」に話を聞こう。			前回までの冒険録：ひょんなことから、コボルド族の社会の最底辺集団「第789洞穴団」の復讐（という名の嫌がらせに）加担することとなった冒険者。嫌がらせは意外にも順調に進み、憎き復讐相手である「フューグルマン13 ゾ・ガ」が企んでいた「新型錬金釜」の活動を停止させることにも成功した。しかし、フューグルマン13 ゾ・ガからの報復は必至。第789洞穴団を仕切る「ピックマン789 ギ・グ」は、その身を案じた幼馴染の女の子「アルケミスト175 ビ・ビ」に諭されたものの、もはや後戻りはできない。第789洞穴団と冒険者は、復讐（という名の、やっぱり嫌がらせ）を続けていくのであった。　　　　　　　　　　　　*　*　*スケートスィス少甲士によると、ウ・ガマロ武装鉱山のコボルド族が企てている「計画」について、黒渦団も何かしらの考えがあるようだ。外地ラノシアのキャンプ・オーバールックにいる「ブルーエイディン少甲佐」に話を聞こう。			鉱山に咲く花							
ブルーエイディン少甲佐から、引き続き嫌がらせを続け、時間稼ぎをしてほしいと頼まれた。第789洞穴団の採掘地に戻り「スケートスィス少甲士」に報告しよう。			ブルーエイディン少甲佐から、引き続き嫌がらせを続け、時間稼ぎをしてほしいと頼まれた。第789洞穴団の採掘地に戻り「スケートスィス少甲士」に報告しよう。			鉱山に咲く花							
スケートスィス少甲士に報告をしていると、ピックマン789 ギ・グが冒険者に慌てた様子で相談をしてきた。どうやら幼馴染のアルケミスト175 ビ・ビが行方不明らしい。外地ラノシアの「コボルド軍試掘地」に行き、彼女を捜索しよう。			スケートスィス少甲士に報告をしていると、ピックマン789 ギ・グが冒険者に慌てた様子で相談をしてきた。どうやら幼馴染のアルケミスト175 ビ・ビが行方不明らしい。外地ラノシアの「コボルド軍試掘地」に行き、彼女を捜索しよう。			鉱山に咲く花							
アルケミスト175 ビ・ビは、コボルド軍試掘地で乱暴なコボルド族に絡まれていた。彼らを退治し「アルケミスト175 ビ・ビ」に話しかけよう。			アルケミスト175 ビ・ビは、コボルド軍試掘地で乱暴なコボルド族に絡まれていた。彼らを退治し「アルケミスト175 ビ・ビ」に話しかけよう。			鉱山に咲く花							
アルケミスト175 ビ・ビは大事な改良設計図をどこかに落としてしまったらしい。外地ラノシアの「コボルド軍試掘地」一帯を探し、「改良設計図」を見つけよう。			アルケミスト175 ビ・ビは大事な改良設計図をどこかに落としてしまったらしい。外地ラノシアの「コボルド軍試掘地」一帯を探し、「改良設計図」を見つけよう。			鉱山に咲く花							
改良設計図を見つけた。「コボルド軍試掘地」にいるアルケミスト175 ビ・ビに渡そう。			改良設計図を見つけた。「コボルド軍試掘地」にいるアルケミスト175 ビ・ビに渡そう。			鉱山に咲く花							
アルケミスト175 ビ・ビは冒険者に感謝すると、ピックマン789 ギ・グに対する想いを語り、冒険者にギ・グ宛ての手紙を託した。第789洞穴団の採掘地の「ピックマン789 ギ・グ」に「ギ・グ宛ての手紙」を渡そう。			アルケミスト175 ビ・ビは冒険者に感謝すると、ピックマン789 ギ・グに対する想いを語り、冒険者にギ・グ宛ての手紙を託した。第789洞穴団の採掘地の「ピックマン789 ギ・グ」に「ギ・グ宛ての手紙」を渡そう。			鉱山に咲く花							
ギ・グ宛ての手紙は、フューグルマン13 ゾ・ガが計画する新型錬金釜の構造図だった。第789洞穴団の採掘地の「スケートスィス少甲士」に報告しよう。			ギ・グ宛ての手紙は、フューグルマン13 ゾ・ガが計画する新型錬金釜の構造図だった。第789洞穴団の採掘地の「スケートスィス少甲士」に報告しよう。			鉱山に咲く花							
スケートスィス少甲士は、ゾ・ガの野望を挫く手掛かりを得たことで、とても張りきっていた。これからもウ・ガマロ武装鉱山のコボルド族に、全力で嫌がらせをしていこう。			スケートスィス少甲士は、ゾ・ガの野望を挫く手掛かりを得たことで、とても張りきっていた。これからもウ・ガマロ武装鉱山のコボルド族に、全力で嫌がらせをしていこう。			鉱山に咲く花							
キャンプ・オーバールックのブルーエイディン少甲佐と話す			キャンプ・オーバールックのブルーエイディン少甲佐と話す			鉱山に咲く花							
第789洞穴団の採掘地のスケートスィス少甲士と話す			第789洞穴団の採掘地のスケートスィス少甲士と話す			鉱山に咲く花							
コボルド軍試掘地でアルケミスト175 ビ・ビを探す			コボルド軍試掘地でアルケミスト175 ビ・ビを探す			鉱山に咲く花							
アルケミスト175 ビ・ビを救助する			アルケミスト175 ビ・ビを救助する			鉱山に咲く花							
コボルド軍試掘地で改良設計図を探す			コボルド軍試掘地で改良設計図を探す			鉱山に咲く花							
コボルド軍試掘地のアルケミスト175 ビ・ビに改良設計図を渡す			コボルド軍試掘地のアルケミスト175 ビ・ビに改良設計図を渡す			鉱山に咲く花							
第789洞穴団の採掘地のピックマン789 ギ・グにギ・グ宛ての手紙を渡す			第789洞穴団の採掘地のピックマン789 ギ・グにギ・グ宛ての手紙を渡す			鉱山に咲く花							
スケートスィス少甲士と話す			スケートスィス少甲士と話す			鉱山に咲く花							
Forenameさん、聞いてくれます？今までアタシたちが嫌がらせしてきた、ウ・ガマロ武装鉱山のコボルド族なんですけど……。			Forenameさん、聞いてくれます？今までアタシたちが嫌がらせしてきた、ウ・ガマロ武装鉱山のコボルド族なんですけど……。			鉱山に咲く花							
どうやら思った以上に、話が大きくなってるみたい……。「第789洞穴団」の復讐しようとしているゾ・ガが、とんでもない「計画」を立ててるみたいなんです。			どうやら思った以上に、話が大きくなってるみたい……。「第789洞穴団」の復讐しようとしているゾ・ガが、とんでもない「計画」を立ててるみたいなんです。			鉱山に咲く花							
その件について、ついさっき、キャンプ・オーバールックのブルーエイディン少甲佐から、話があるって召集命令を受けたんだけど……。			その件について、ついさっき、キャンプ・オーバールックのブルーエイディン少甲佐から、話があるって召集命令を受けたんだけど……。			鉱山に咲く花							
Forenameさんも、もはや当事者……。すみませんが、キャンプ・オーバールックに行って、彼の話を聞いてきてくれませんか？			Forenameさんも、もはや当事者……。すみませんが、キャンプ・オーバールックに行って、彼の話を聞いてきてくれませんか？			鉱山に咲く花							
キャンプ・オーバールックへ行って、ブルーエイディン少甲佐の話を聞いてきてください。きっと怒られたりはしないと思いますよ……多分。			キャンプ・オーバールックへ行って、ブルーエイディン少甲佐の話を聞いてきてください。きっと怒られたりはしないと思いますよ……多分。			鉱山に咲く花							
おお、良く来たなぁ！　まったく……スケートスィスめ。アイツはきっぷが良くて、頼もしい奴なんだが、ついつい暴走しちまうのが玉に瑕だよなぁ。			おお、良く来たなぁ！　まったく……スケートスィスめ。アイツはきっぷが良くて、頼もしい奴なんだが、ついつい暴走しちまうのが玉に瑕だよなぁ。			鉱山に咲く花							
実は、お前たちがここに来る少し前から、俺たち「紅燕陸戦隊」は、ウ・ガマロ武装鉱山に妙な動きがあることを察知していたんだ。			実は、お前たちがここに来る少し前から、俺たち「紅燕陸戦隊」は、ウ・ガマロ武装鉱山に妙な動きがあることを察知していたんだ。			鉱山に咲く花							
どうやら、武装鉱山内で権力闘争があり、一部の洞穴団が左遷されたようでな。つまり、武装鉱山のコボルド族の勢力図が変わったってことだ。			どうやら、武装鉱山内で権力闘争があり、一部の洞穴団が左遷されたようでな。つまり、武装鉱山のコボルド族の勢力図が変わったってことだ。			鉱山に咲く花							
結果的に権力を握ったのが……「ゾ・ガ」といったか？そう、お前たちが「第789洞穴団」のコボルド族どもと、ちょっかいを出している相手だよ。			結果的に権力を握ったのが……「ゾ・ガ」といったか？そう、お前たちが「第789洞穴団」のコボルド族どもと、ちょっかいを出している相手だよ。			鉱山に咲く花							
