エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
ロウェナさんご自身が接客されたんですね。詳しい話を聞かせてもらえますか？			ロウェナさんご自身が接客されたんですね。詳しい話を聞かせてもらえますか？			ココロツヨキオンナ							
……ロウェナさんの話で、盗品を持ち込んだ犯人がわかったよ！そいつ、ここらじゃ有名なコソ泥だ！ただ、とても錬金術なんか使いそうもない小物だけど……。			……ロウェナさんの話で、盗品を持ち込んだ犯人がわかったよ！そいつ、ここらじゃ有名なコソ泥だ！ただ、とても錬金術なんか使いそうもない小物だけど……。			ココロツヨキオンナ							
犯人は、錬金術を使う連中ってことだったわね？ひょっとして、そいつが別の泥棒から盗んだのかもしれないわよ。……あら、お客さんだわ。			犯人は、錬金術を使う連中ってことだったわね？ひょっとして、そいつが別の泥棒から盗んだのかもしれないわよ。……あら、お客さんだわ。			ココロツヨキオンナ							
(-？？？？-)失礼……ロウェナ商会とやらは此処か？「アラグの錫杖」が入荷したとの噂を耳にし、買い求めに参った……。			(-？？？？-)失礼……ロウェナ商会とやらは此処か？「アラグの錫杖」が入荷したとの噂を耳にし、買い求めに参った……。			ココロツヨキオンナ							
悪いわね、たったいま売れたところよ。			悪いわね、たったいま売れたところよ。			ココロツヨキオンナ							
(-？？？？-)そうか……では、ほかの品を試すか。……邪魔をした。			(-？？？？-)そうか……では、ほかの品を試すか。……邪魔をした。			ココロツヨキオンナ							
あいつ、このあいだ犯行現場にいた怪しい老人だよ！私は跡を追うから、すぐにウィルトウェークに知らせて！			あいつ、このあいだ犯行現場にいた怪しい老人だよ！私は跡を追うから、すぐにウィルトウェークに知らせて！			ココロツヨキオンナ							
ウィルトウェークとかいう人に、急いで知らせたほうがいいんじゃない？			ウィルトウェークとかいう人に、急いで知らせたほうがいいんじゃない？			ココロツヨキオンナ							
……なんだって！？例の老人が、証拠品の「アラグの錫杖」を買い取りにきた？チャネネがひとりで追ってるんだな！？			……なんだって！？例の老人が、証拠品の「アラグの錫杖」を買い取りにきた？チャネネがひとりで追ってるんだな！？			ココロツヨキオンナ							
……チャネネだな、大丈夫か！？なに……老人を見失った？いや、無事ならいい！　深追いせずに戻るんだ！			……チャネネだな、大丈夫か！？なに……老人を見失った？いや、無事ならいい！　深追いせずに戻るんだ！			ココロツヨキオンナ							
……チャネネは、視界を覆われて老人を見失ったようだ。おそらく、闇を招くとかいう錬金薬を使われたのだろう。その老人、いよいよ怪しいぞ？			……チャネネは、視界を覆われて老人を見失ったようだ。おそらく、闇を招くとかいう錬金薬を使われたのだろう。その老人、いよいよ怪しいぞ？			ココロツヨキオンナ							
しかし、闇雲に老人を探すのは効率が悪いか……。まずは、証拠品である錫杖の用途と、それが店に持ち込まれた経緯を探ろう。			しかし、闇雲に老人を探すのは効率が悪いか……。まずは、証拠品である錫杖の用途と、それが店に持ち込まれた経緯を探ろう。			ココロツヨキオンナ							
「アラグの錫杖」は、君の手許にあるな？そいつを、錬金術師ギルドの「セヴェリアン」に見せてくれ。錬金術師が欲しがる品かどうかを調べるんだ。			「アラグの錫杖」は、君の手許にあるな？そいつを、錬金術師ギルドの「セヴェリアン」に見せてくれ。錬金術師が欲しがる品かどうかを調べるんだ。			ココロツヨキオンナ							
「アラグの錫杖」は、君の手許にあるな？そいつを、錬金術師ギルドの「セヴェリアン」に見せてくれ。錬金術師が欲しがる品かどうかを調べるんだ。			「アラグの錫杖」は、君の手許にあるな？そいつを、錬金術師ギルドの「セヴェリアン」に見せてくれ。錬金術師が欲しがる品かどうかを調べるんだ。			ココロツヨキオンナ							
おお、達者にしていたか、我が助手よ。なに、ウィルトウェークに「アラグの錫杖」の鑑定を頼まれた？気乗りがしない話だが……どれ、見せてみろ。			おお、達者にしていたか、我が助手よ。なに、ウィルトウェークに「アラグの錫杖」の鑑定を頼まれた？気乗りがしない話だが……どれ、見せてみろ。			ココロツヨキオンナ							
……ふん、古いだけがとりえの骨董品と言いたいところだが……この錫杖は、ある種の錬金術師にとって、計り知れぬ価値を持つ。魔力の結節点として、特殊な結晶が用いられているのだ。			……ふん、古いだけがとりえの骨董品と言いたいところだが……この錫杖は、ある種の錬金術師にとって、計り知れぬ価値を持つ。魔力の結節点として、特殊な結晶が用いられているのだ。			ココロツヨキオンナ							
古の錬金術師らは、この結晶を、「人造生命体」の心核として用いたと伝えられている……。法を侵し、人を殺めてでも、これを欲する錬金術師はいるだろう。			古の錬金術師らは、この結晶を、「人造生命体」の心核として用いたと伝えられている……。法を侵し、人を殺めてでも、これを欲する錬金術師はいるだろう。			ココロツヨキオンナ							
ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ココロツヨキオンナ							
生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			ココロツヨキオンナ							
ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ふふ……ウィルトウェークには、こう伝えるがいい。敵は手段を選ばず、秘法を究めんとする錬金術師に違いないと！			ココロツヨキオンナ							
生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			生命の神秘を解せんとするは、錬金術師のサガ……。だが不用意に馬脚を現し、俗人を敵にまわすは二流の輩。ふふふ……私なら誰にも悟られぬよう、もっと巧くやるものを。			ココロツヨキオンナ							
おかえり！君が留守してるあいだに、捜査にもだいぶ進展があったよ！			おかえり！君が留守してるあいだに、捜査にもだいぶ進展があったよ！			ココロツヨキオンナ							
帰ってきたか！……その顔、何かつかんできたようだな。			帰ってきたか！……その顔、何かつかんできたようだな。			ココロツヨキオンナ							
……これが証拠品か、たしかに受け取ったぞ。すぐにでもセヴェリアンの意見を聞きたいところだが、まずは、チャネネの報告を聞いてほしい。			……これが証拠品か、たしかに受け取ったぞ。すぐにでもセヴェリアンの意見を聞きたいところだが、まずは、チャネネの報告を聞いてほしい。			ココロツヨキオンナ							
君が留守してるあいだに、捜査にもだいぶ進展があったよ！ロウェナ商会に、その錫杖を売ったコソ泥をつかまえたの！供述によると、偶然潜り込んだ、湖畔の洞窟から盗んだ品だって。			君が留守してるあいだに、捜査にもだいぶ進展があったよ！ロウェナ商会に、その錫杖を売ったコソ泥をつかまえたの！供述によると、偶然潜り込んだ、湖畔の洞窟から盗んだ品だって。			ココロツヨキオンナ							
コソ泥は、盗掘者の隠れ家だと思ってたみたいだけど、実はそこが、問題の犯罪集団のアジトだったってわけ！私たちも、すぐに踏み込んだんだけど……。			コソ泥は、盗掘者の隠れ家だと思ってたみたいだけど、実はそこが、問題の犯罪集団のアジトだったってわけ！私たちも、すぐに踏み込んだんだけど……。			ココロツヨキオンナ							
……すでに犯人の姿はなく、引き払われたあとだった。かわりに見つかったのは、おびただしい量の血痕……！おそらくは失踪した人々を使って行った、人体実験の痕跡だ……。			……すでに犯人の姿はなく、引き払われたあとだった。かわりに見つかったのは、おびただしい量の血痕……！おそらくは失踪した人々を使って行った、人体実験の痕跡だ……。			ココロツヨキオンナ							
現時点で、これだけは言える。連中は、金銭めあての窃盗団などでは断じてない！……この点について、セヴェリアンは何か言っていたか？			現時点で、これだけは言える。連中は、金銭めあての窃盗団などでは断じてない！……この点について、セヴェリアンは何か言っていたか？			ココロツヨキオンナ							
……なるほど、この錫杖は、ある種の錬金術師が欲する品。「人造生命体」の心核を形成しうる、古代文明の遺物か……。これで、犯人像が絞り込めたな！			……なるほど、この錫杖は、ある種の錬金術師が欲する品。「人造生命体」の心核を形成しうる、古代文明の遺物か……。これで、犯人像が絞り込めたな！			ココロツヨキオンナ							
犯人は、秘法探究のために殺しも厭わぬ、外法な錬金術師！このあたりは古代の遺跡も近く、よそ者も潜り込みやすい……おぞましい実験には、うってつけの場所だったわけだ！			犯人は、秘法探究のために殺しも厭わぬ、外法な錬金術師！このあたりは古代の遺跡も近く、よそ者も潜り込みやすい……おぞましい実験には、うってつけの場所だったわけだ！			ココロツヨキオンナ							
危険な犯人はまだ、この近くに潜伏してる……。これまで以上に慎重に、捜査を進める必要がありそうだね。			危険な犯人はまだ、この近くに潜伏してる……。これまで以上に慎重に、捜査を進める必要がありそうだね。			ココロツヨキオンナ							
イシュガルドのアヴェリルは、作ってほしい品があるようだ。			イシュガルドのアヴェリルは、作ってほしい品があるようだ。			娘の固い決意							
アヴェリルは、茶会で初恋の男と再会し、騎兵となった男を助けるために、幻術士となることを決意したようだ。幻術士向けの装束がいるが、グレンダにバレては止められてしまう。街の流行りに見える幻術士の帽子を探るため、イシュガルドの上層にいる「街角の洒落者」たちから情報を集めよう。			アヴェリルは、茶会で初恋の男と再会し、騎兵となった男を助けるために、幻術士となることを決意したようだ。幻術士向けの装束がいるが、グレンダにバレては止められてしまう。街の流行りに見える幻術士の帽子を探るため、イシュガルドの上層にいる「街角の洒落者」たちから情報を集めよう。			娘の固い決意							
街角の洒落者たちと話した。どうやら、キャバリエハットが流行らしい。尊者の凱旋門の「アヴェリル」に報告しよう。			街角の洒落者たちと話した。どうやら、キャバリエハットが流行らしい。尊者の凱旋門の「アヴェリル」に報告しよう。			娘の固い決意							
アヴェリルに報告した。今度は、幻術士向けとしての品質を探るため、ウルダハの裁縫師ギルドにいる「レドレント・ローズ」と話そう。			アヴェリルに報告した。今度は、幻術士向けとしての品質を探るため、ウルダハの裁縫師ギルドにいる「レドレント・ローズ」と話そう。			娘の固い決意							
レドレント・ローズと話した。どうやら、聖虹布を使用して製作すればいいらしい。「ホーリーレインボー・ヒーラーハット」を製作し、尊者の凱旋門の「アヴェリル」に納品しよう。			レドレント・ローズと話した。どうやら、聖虹布を使用して製作すればいいらしい。「ホーリーレインボー・ヒーラーハット」を製作し、尊者の凱旋門の「アヴェリル」に納品しよう。			娘の固い決意							
ホーリーレインボー・ヒーラーハットをアヴェリルに納品した。やりたいことに邁進し始めた、アヴェリルを応援しつつ、冒険者も負けじと、裁縫の腕に更なる磨きをかけよう。※裁縫師のレベルが58以上になると、尊者の凱旋門のアヴェリルから次の裁縫師クエストを受注することができます。			ホーリーレインボー・ヒーラーハットをアヴェリルに納品した。やりたいことに邁進し始めた、アヴェリルを応援しつつ、冒険者も負けじと、裁縫の腕に更なる磨きをかけよう。※裁縫師のレベルが58以上になると、尊者の凱旋門のアヴェリルから次の裁縫師クエストを受注することができます。			娘の固い決意							
街角で情報を集める			街角で情報を集める			娘の固い決意							
アヴェリルに報告			アヴェリルに報告			娘の固い決意							
裁縫師ギルドのレドレント・ローズと話す			裁縫師ギルドのレドレント・ローズと話す			娘の固い決意							
ホーリーレインボー・ヒーラーハットを製作イシュガルドのアヴェリルにホーリーレインボー・ヒーラーハットを納品			ホーリーレインボー・ヒーラーハットを製作イシュガルドのアヴェリルにホーリーレインボー・ヒーラーハットを納品			娘の固い決意							
裁縫師さん、聞いてください！あなたのおかげで、初恋の人と再会できましたよ！彼ったら、相変わらずドジで頼りなくて、あの頃のままでした！			裁縫師さん、聞いてください！あなたのおかげで、初恋の人と再会できましたよ！彼ったら、相変わらずドジで頼りなくて、あの頃のままでした！			娘の固い決意							
……ただ、彼には幻術の才能がなかったようで、その道を諦め、デュランデル家の騎兵になってしまったんです。			……ただ、彼には幻術の才能がなかったようで、その道を諦め、デュランデル家の騎兵になってしまったんです。			娘の固い決意							
生活のためには仕方ないのですが、だからって騎兵なんて、彼には絶対に向いてない……きっと、すぐに死んでしまう！			生活のためには仕方ないのですが、だからって騎兵なんて、彼には絶対に向いてない……きっと、すぐに死んでしまう！			娘の固い決意							
今度、初陣に出るようですが、私も一緒に戦場へ行き、治療師として助けてあげようと思います！			今度、初陣に出るようですが、私も一緒に戦場へ行き、治療師として助けてあげようと思います！			娘の固い決意							
私はもう決意しました、騎兵団の治療師になります！！入団試験のため、幻術の修行を再開するので、癒し手に向いた装束を作ってくださいませんか？			私はもう決意しました、騎兵団の治療師になります！！入団試験のため、幻術の修行を再開するので、癒し手に向いた装束を作ってくださいませんか？			娘の固い決意							
まず、最初に作ってほしいのは帽子なのですが、母にバレてしまっては、取り上げられてしまうでしょう。目的を悟られないようオシャレな品に仕上げてほしいのです。			まず、最初に作ってほしいのは帽子なのですが、母にバレてしまっては、取り上げられてしまうでしょう。目的を悟られないようオシャレな品に仕上げてほしいのです。			娘の固い決意							
無理な注文をしているうえに、申し訳ないのですが……私は流行りには疎いので、街角で流行の帽子を聞いてみてもらえませんか？			無理な注文をしているうえに、申し訳ないのですが……私は流行りには疎いので、街角で流行の帽子を聞いてみてもらえませんか？			娘の固い決意							
無理な注文をしているうえに、申し訳ないのですが……私は流行りには疎いので、街角で流行の帽子を聞いてみてもらえませんか？			無理な注文をしているうえに、申し訳ないのですが……私は流行りには疎いので、街角で流行の帽子を聞いてみてもらえませんか？			娘の固い決意							
……帽子の流行が知りたいって？それなら、キャバリエハットだね。ほかの帽子とは、上品さと華やかさが段違いさ。			……帽子の流行が知りたいって？それなら、キャバリエハットだね。ほかの帽子とは、上品さと華やかさが段違いさ。			娘の固い決意							
……そうね、最近は、キャバリエハットが人気よ。もともと、騎士向けの帽子として作られた品だけに、活動的な印象をあたえられるところが素敵よね。			……そうね、最近は、キャバリエハットが人気よ。もともと、騎士向けの帽子として作られた品だけに、活動的な印象をあたえられるところが素敵よね。			娘の固い決意							
……キャバリエハット？なるほど、そういった帽子が流行りなのですか。問題は、癒し手向けの品として、どう仕立てるかですが……。			……キャバリエハット？なるほど、そういった帽子が流行りなのですか。問題は、癒し手向けの品として、どう仕立てるかですが……。			娘の固い決意							
やはり、専門家の知識が必要そうですね。裁縫師さんの、お師匠様に聞いてみるのはどうでしょう？			やはり、専門家の知識が必要そうですね。裁縫師さんの、お師匠様に聞いてみるのはどうでしょう？			娘の固い決意							
やはり、専門家の知識が必要そうですね。裁縫師さんの、お師匠様に聞いてみるのはどうでしょう？			やはり、専門家の知識が必要そうですね。裁縫師さんの、お師匠様に聞いてみるのはどうでしょう？			娘の固い決意							
……まぁ、貴族のお嬢さんに癒し手向き帽子を。しかも、お母様にバレないように、オシャレにだなんて！なんだか……ドキドキしちゃう……。			……まぁ、貴族のお嬢さんに癒し手向き帽子を。しかも、お母様にバレないように、オシャレにだなんて！なんだか……ドキドキしちゃう……。			娘の固い決意							
それにしても、豪華なキャバリエハットが流行りだなんて……お国柄よね、本当に興味深い……勉強になる……。あなたをイシュガルドに送って正解だったわ。			それにしても、豪華なキャバリエハットが流行りだなんて……お国柄よね、本当に興味深い……勉強になる……。あなたをイシュガルドに送って正解だったわ。			娘の固い決意							
そうね、エーテルを吸収しやすい生地を使うのが大切よ。となれば、断然「聖虹布」を使った、「ホーリーレインボー・ヒーラーハット」がオススメね！			そうね、エーテルを吸収しやすい生地を使うのが大切よ。となれば、断然「聖虹布」を使った、「ホーリーレインボー・ヒーラーハット」がオススメね！			娘の固い決意							
そうね、エーテルを吸収しやすい生地を使うのが大切よ。となれば、断然「聖虹布」を使った、「ホーリーレインボー・ヒーラーハット」がオススメね！			そうね、エーテルを吸収しやすい生地を使うのが大切よ。となれば、断然「聖虹布」を使った、「ホーリーレインボー・ヒーラーハット」がオススメね！			娘の固い決意							
裁縫師さん、どんな帽子になりましたか？いけない……私、ちょっとワクワクしちゃってます。			裁縫師さん、どんな帽子になりましたか？いけない……私、ちょっとワクワクしちゃってます。			娘の固い決意							
……なんて素敵な帽子でしょう！！とても、癒し手のための品には見えません。ありがとうございます、裁縫師さん！			……なんて素敵な帽子でしょう！！とても、癒し手のための品には見えません。ありがとうございます、裁縫師さん！			娘の固い決意							
フレスキン……！？いったい、どうしたっていうのっ？！			フレスキン……！？いったい、どうしたっていうのっ？！			娘の固い決意							
助かったよ、アヴェリル……幻術の腕は衰えてないね、ありがとう。			助かったよ、アヴェリル……幻術の腕は衰えてないね、ありがとう。			娘の固い決意							
その怪我……まさか、騎兵の訓練で？			その怪我……まさか、騎兵の訓練で？			娘の固い決意							
え……いや、帰りに……疲れててさ……足を踏み外して……階段から落ちちゃったんだ……。			え……いや、帰りに……疲れててさ……足を踏み外して……階段から落ちちゃったんだ……。			娘の固い決意							
……あ、裁縫師さん、紹介します。初恋の……いえ、友達のフレスキンです。			……あ、裁縫師さん、紹介します。初恋の……いえ、友達のフレスキンです。			娘の固い決意							
……それにしても、可愛い帽子だね。			……それにしても、可愛い帽子だね。			娘の固い決意							
そうでしょう……？こう見えて癒し手向けの帽子なのよ。修業のために、この裁縫師さんに作ってもらったんだけど……。			そうでしょう……？こう見えて癒し手向けの帽子なのよ。修業のために、この裁縫師さんに作ってもらったんだけど……。			娘の固い決意							
ハッ……こんなところ、母に見つかったら大変……！……もう大丈夫なら、ほら早く行って行って！			ハッ……こんなところ、母に見つかったら大変……！……もう大丈夫なら、ほら早く行って行って！			娘の固い決意							
……言ったとおり、ドジで頼りないでしょう？でも、なぜか放っとけないんですよ……フフフ。			……言ったとおり、ドジで頼りないでしょう？でも、なぜか放っとけないんですよ……フフフ。			娘の固い決意							
私はこれから、デュランデル家の騎兵団への入団試験に向けて、幻術の修行に励みます……。装束が必要になりましたら、またお願いしますね！			私はこれから、デュランデル家の騎兵団への入団試験に向けて、幻術の修行に励みます……。装束が必要になりましたら、またお願いしますね！			娘の固い決意							
宝杖通りのフレモンダンは、ロリスから伝言を受け取ったようだ。			宝杖通りのフレモンダンは、ロリスから伝言を受け取ったようだ。			主君と忠臣							
フレモンダンと話した。ロリスが腕試しのため、今度は高地ドラヴァニアに向かったらしい。当地の集落「テイルフェザー」に赴き、ロリスを見つけたら合流しよう。			フレモンダンと話した。ロリスが腕試しのため、今度は高地ドラヴァニアに向かったらしい。当地の集落「テイルフェザー」に赴き、ロリスを見つけたら合流しよう。			主君と忠臣							
ロリスと合流した。彼女の話によれば、負傷した猟師を助けた際、愛用の剣が折れたらしい。上覧試合の予選に出場するために、かわりの剣が必要なようだ。「チタンバスタードソード」を製作し、イシュガルドの宝杖通りにいる「フレモンダン」に納品しよう。			ロリスと合流した。彼女の話によれば、負傷した猟師を助けた際、愛用の剣が折れたらしい。上覧試合の予選に出場するために、かわりの剣が必要なようだ。「チタンバスタードソード」を製作し、イシュガルドの宝杖通りにいる「フレモンダン」に納品しよう。			主君と忠臣							
フレモンダンと話した。上覧試合の予選が始まるという。ロリスの出場結果を聞くため、イシュガルドにあるライトフェザー闘技場前の「指定地点」で待機しよう。			フレモンダンと話した。上覧試合の予選が始まるという。ロリスの出場結果を聞くため、イシュガルドにあるライトフェザー闘技場前の「指定地点」で待機しよう。			主君と忠臣							
ロリスの神殿騎士団入りがかかった「上覧試合」の予選が始まった。彼女は驚異的な幸運に助けられ、本戦進出を果たしたようだ。神殿騎士となり、故国の民を救いたいという彼女の誓いに応えるため、引き続きロリスを支援していこう。※鍛冶師のレベルが58以上になると、宝杖通りのフレモンダンから次の鍛冶師クエストを受注することができます。			ロリスの神殿騎士団入りがかかった「上覧試合」の予選が始まった。彼女は驚異的な幸運に助けられ、本戦進出を果たしたようだ。神殿騎士となり、故国の民を救いたいという彼女の誓いに応えるため、引き続きロリスを支援していこう。※鍛冶師のレベルが58以上になると、宝杖通りのフレモンダンから次の鍛冶師クエストを受注することができます。			主君と忠臣							
テイルフェザーのロリスと話す			テイルフェザーのロリスと話す			主君と忠臣							
チタンバスタードソードを製作イシュガルドのフレモンダンにチタンバスタードソードを納品			チタンバスタードソードを製作イシュガルドのフレモンダンにチタンバスタードソードを納品			主君と忠臣							
ライトフェザー闘技場前の指定地点で待機			ライトフェザー闘技場前の指定地点で待機			主君と忠臣							
おお、鍛冶師どの！実はついさきほど、ロリスお嬢様からの伝言を、受け取ったところでしてな……さて、中身のほどは……。			おお、鍛冶師どの！実はついさきほど、ロリスお嬢様からの伝言を、受け取ったところでしてな……さて、中身のほどは……。			主君と忠臣							
ふむ……なっ、これはいけませぬ！お嬢様がまたも、腕試しに出かけた模様！目的地は、あろうことか「高地ドラヴァニア」……！			ふむ……なっ、これはいけませぬ！お嬢様がまたも、腕試しに出かけた模様！目的地は、あろうことか「高地ドラヴァニア」……！			主君と忠臣							
ドラゴン族の根拠地として知られる、まさに危険地帯ですぞ！上覧試合の予選出場を控えた、大切な時期に！			ドラゴン族の根拠地として知られる、まさに危険地帯ですぞ！上覧試合の予選出場を控えた、大切な時期に！			主君と忠臣							
鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			主君と忠臣							
いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			主君と忠臣							
鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			主君と忠臣							
いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			主君と忠臣							
大丈夫だ、傷は浅い……。			大丈夫だ、傷は浅い……。			主君と忠臣							
鍛冶師のForename……？こんなところで、偶然会うわけがないわよね。私を連れ戻すよう頼まれた……というところかしら。			鍛冶師のForename……？こんなところで、偶然会うわけがないわよね。私を連れ戻すよう頼まれた……というところかしら。			主君と忠臣							
君はお嬢さんのお知り合いか？……いや、なりこそ小さいが、実に勇敢な娘さんだな！野生のチョコボに苦戦中、窮地を救われたんだ……おや？			君はお嬢さんのお知り合いか？……いや、なりこそ小さいが、実に勇敢な娘さんだな！野生のチョコボに苦戦中、窮地を救われたんだ……おや？			主君と忠臣							
(-？？？？-)お嬢様、ロリスお嬢様～！			(-？？？？-)お嬢様、ロリスお嬢様～！			主君と忠臣							
ロリス様！ご無事でいらっしゃいますかっ！？			ロリス様！ご無事でいらっしゃいますかっ！？			主君と忠臣							
……むしろ、じいのほうが、息も絶えだえに見えるのだけど？見てのとおり、私は平気よ。			……むしろ、じいのほうが、息も絶えだえに見えるのだけど？見てのとおり、私は平気よ。			主君と忠臣							
お嬢さん……。たしかに怪我はないようだが、オレを助けたとき、剣がポッキリ逝っただろ？			お嬢さん……。たしかに怪我はないようだが、オレを助けたとき、剣がポッキリ逝っただろ？			主君と忠臣							
むっ……！？愛用のブラスヴァイキングソードが折れてしまったと！？			むっ……！？愛用のブラスヴァイキングソードが折れてしまったと！？			主君と忠臣							
い、意外と安……いや、庶民的な剣を使ってたんだな。よし、使ってない剣をやろう、助けてくれた礼だ。あとでオレのところに寄りな。			い、意外と安……いや、庶民的な剣を使ってたんだな。よし、使ってない剣をやろう、助けてくれた礼だ。あとでオレのところに寄りな。			主君と忠臣							
ありがとう。短剣でいいから、いただけると嬉しいわ。			ありがとう。短剣でいいから、いただけると嬉しいわ。			主君と忠臣							
お嬢様……。てっきり「他人の剣など借りぬ！」と、お断りになるかと思いました。			お嬢様……。てっきり「他人の剣など借りぬ！」と、お断りになるかと思いました。			主君と忠臣							
丸腰のままでは、じいを皇都まで送り届けられない。決死の覚悟で来たのでしょう？その想いには、報いないと。			丸腰のままでは、じいを皇都まで送り届けられない。決死の覚悟で来たのでしょう？その想いには、報いないと。			主君と忠臣							
お、お嬢様……！？なんとお優しいお言葉……。			お、お嬢様……！？なんとお優しいお言葉……。			主君と忠臣							
あなたにも迷惑をかけたわね。これからは、無茶はしないようにするわ……な、なるべくね！			あなたにも迷惑をかけたわね。これからは、無茶はしないようにするわ……な、なるべくね！			主君と忠臣							
……鍛冶師どの、ちょいと困ったことになり申した。先に申しあげたとおり、まもなく上覧試合の予選が始まります。さすがに、短剣で出場するわけにも参りませぬ。			……鍛冶師どの、ちょいと困ったことになり申した。先に申しあげたとおり、まもなく上覧試合の予選が始まります。さすがに、短剣で出場するわけにも参りませぬ。			主君と忠臣							
ここはひとつ、「軽量にして剛鋭」と噂に高い新型剣……「チタンバスタードソード」など、ご製作いただけませぬか？……お代はその……例のごとく、出世払いで…………。			ここはひとつ、「軽量にして剛鋭」と噂に高い新型剣……「チタンバスタードソード」など、ご製作いただけませぬか？……お代はその……例のごとく、出世払いで…………。			主君と忠臣							
お、お嬢様、お待ちください～！さぁ、皇都まで帰りましょうぞ～！			お、お嬢様、お待ちください～！さぁ、皇都まで帰りましょうぞ～！			主君と忠臣							
おお、鍛冶師どの！先だっては、大変お世話になり申した！それで、その……お願いした剣ですが……。			おお、鍛冶師どの！先だっては、大変お世話になり申した！それで、その……お願いした剣ですが……。			主君と忠臣							
おおおっ……これは、素人目にもわかるほどの業物ですな！副業が終わりましたら、さっそくお嬢様にお届けします！鍛冶師どのが用意したものと知れば、お嬢様も喜びましょう！			おおおっ……これは、素人目にもわかるほどの業物ですな！副業が終わりましたら、さっそくお嬢様にお届けします！鍛冶師どのが用意したものと知れば、お嬢様も喜びましょう！			主君と忠臣							
そう……上覧試合の予選が、いよいよ始まるのでございます！ロリス様の実力に、この剣が加われば、向かうところ敵なし！			そう……上覧試合の予選が、いよいよ始まるのでございます！ロリス様の実力に、この剣が加われば、向かうところ敵なし！			主君と忠臣							
試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			主君と忠臣							
試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			主君と忠臣							
鍛冶師どの！剣は無事に、ロリス様にお届けしましたぞ！お嬢様は今まさに、上覧試合の予選に出場中のはず。			鍛冶師どの！剣は無事に、ロリス様にお届けしましたぞ！お嬢様は今まさに、上覧試合の予選に出場中のはず。			主君と忠臣							
おや、お嬢様？これはまた、ずいぶんとお早いお帰りで！して、結果のほうは……			おや、お嬢様？これはまた、ずいぶんとお早いお帰りで！して、結果のほうは……			主君と忠臣							
本戦出場、一番乗りよ！Forename、あなたの剣のおかげ。刀身のバランスが絶妙で、いくら振っても疲れないの！			本戦出場、一番乗りよ！Forename、あなたの剣のおかげ。刀身のバランスが絶妙で、いくら振っても疲れないの！			主君と忠臣							
おお、最高の滑り出しですな！ちなみに、何戦して何勝でございまするか？			おお、最高の滑り出しですな！ちなみに、何戦して何勝でございまするか？			主君と忠臣							
3戦して、2勝1引き分け。でも不戦勝が5つもあったから、あっという間に終わっちゃった。			3戦して、2勝1引き分け。でも不戦勝が5つもあったから、あっという間に終わっちゃった。			主君と忠臣							
