アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
異端者どもに追いつかれたか……。									異端者どもに追いつかれたか……。	哨戒部隊を捜索せよ！
はい……足跡を追われたようでした……。うぅ……どうか、どうか……異端者どものアジトを見つけ、散っていった仲間たちの仇を……。									はい……足跡を追われたようでした……。うぅ……どうか、どうか……異端者どものアジトを見つけ、散っていった仲間たちの仇を……。	哨戒部隊を捜索せよ！
……その気持ちはわかる。だが今は、自分が生き残ることだけを考えろ。生きていてこそ、復讐戦の機会も掴めるというものだ。									……その気持ちはわかる。だが今は、自分が生き残ることだけを考えろ。生きていてこそ、復讐戦の機会も掴めるというものだ。	哨戒部隊を捜索せよ！
ヴール・シアンシランのオノロワは、辺りを気にしているようだ。									ヴール・シアンシランのオノロワは、辺りを気にしているようだ。	雲海より現れしもの
オノロワから、エマネランを一緒に探してほしいと頼まれた。ヴール・シアンシランの「指定地点」で、周辺を見渡そう。									オノロワから、エマネランを一緒に探してほしいと頼まれた。ヴール・シアンシランの「指定地点」で、周辺を見渡そう。	雲海より現れしもの
周辺を見渡してみたが、エマネランは見つからなかった。ヴール・シアンシランの2箇所目の「指定地点」で、周辺を見渡そう。									周辺を見渡してみたが、エマネランは見つからなかった。ヴール・シアンシランの2箇所目の「指定地点」で、周辺を見渡そう。	雲海より現れしもの
周辺を見渡していると、オノロワが慌ててやってきた。どうやら、エマネランがバヌバヌ族に囚われてしまったらしい。アバラシア雲海のブンド・オク・ベンドの南にいる「オノロワ」と話そう。									周辺を見渡していると、オノロワが慌ててやってきた。どうやら、エマネランがバヌバヌ族に囚われてしまったらしい。アバラシア雲海のブンド・オク・ベンドの南にいる「オノロワ」と話そう。	雲海より現れしもの
エマネランの救出に成功した。アバラシア雲海に戻ろう。									エマネランの救出に成功した。アバラシア雲海に戻ろう。	雲海より現れしもの
冒険者は、援軍として現れたオルシュファンとともに、エマネランを救出した。ブンド・オク・ベンドより脱出を試みるが、蛮神ビスマルクにより、退路を塞がれてしまう。進退きわまったところへ、シドたちがエンタープライズに乗って登場。冒険者たちはエンタープライズに乗り込み、撤退した。アバラシア雲海のキャンプ・クラウドトップにいる「シド」と話そう。									冒険者は、援軍として現れたオルシュファンとともに、エマネランを救出した。ブンド・オク・ベンドより脱出を試みるが、蛮神ビスマルクにより、退路を塞がれてしまう。進退きわまったところへ、シドたちがエンタープライズに乗って登場。冒険者たちはエンタープライズに乗り込み、撤退した。アバラシア雲海のキャンプ・クラウドトップにいる「シド」と話そう。	雲海より現れしもの
シドと話した。彼はイシュガルド教皇庁からの依頼を受けてアバラシア雲海に来たらしい。そこで冒険者の窮地を聞き、駆けつけてくれたそうだ。冒険者の無事を確認したシドは、プロテクトゥール号の様子を見るため立ち去っていった。									シドと話した。彼はイシュガルド教皇庁からの依頼を受けてアバラシア雲海に来たらしい。そこで冒険者の窮地を聞き、駆けつけてくれたそうだ。冒険者の無事を確認したシドは、プロテクトゥール号の様子を見るため立ち去っていった。	雲海より現れしもの
指定地点で見渡す									指定地点で見渡す	雲海より現れしもの
2箇所目の指定地点で見渡す									2箇所目の指定地点で見渡す	雲海より現れしもの
オノロワと話す									オノロワと話す	雲海より現れしもの
シドと話す									シドと話す	雲海より現れしもの
それにしても、エマネラン様は遅いですね……。まだ、水場の方におられるのでしょうか。									それにしても、エマネラン様は遅いですね……。まだ、水場の方におられるのでしょうか。	雲海より現れしもの
ちょっと心配なので、いっしょに探してくれませんか？後ほど、ここで合流しましょう。それでは、よろしくお願いしますです、はい。									ちょっと心配なので、いっしょに探してくれませんか？後ほど、ここで合流しましょう。それでは、よろしくお願いしますです、はい。	雲海より現れしもの
エマネランの姿は見当たらない……。									エマネランの姿は見当たらない……。	雲海より現れしもの
た、大変です、Surname様！エ、エマネラン様が大変なんです……！！									た、大変です、Surname様！エ、エマネラン様が大変なんです……！！	雲海より現れしもの
たくさんのバヌバヌ族に取り囲まれて、彼らの集落に連れ去られてしまったのです、はい！と、とにかく、一緒に来てください！									たくさんのバヌバヌ族に取り囲まれて、彼らの集落に連れ去られてしまったのです、はい！と、とにかく、一緒に来てください！	雲海より現れしもの
く、暗くなるまで様子をみたのはいいですが、バヌバヌ族が動く気配はありませんね……。それどころか、見てください……番兵が警戒しています。									く、暗くなるまで様子をみたのはいいですが、バヌバヌ族が動く気配はありませんね……。それどころか、見てください……番兵が警戒しています。	雲海より現れしもの
Surname様……僕は、ローズハウスに戻って、ラニエット様に救援を要請してきますです、はい。									Surname様……僕は、ローズハウスに戻って、ラニエット様に救援を要請してきますです、はい。	雲海より現れしもの
助けが来るまでの間に、もし、この夜陰に紛れて忍び込めるチャンスがあったら……どうか、エマネラン様を助けてあげてください！									助けが来るまでの間に、もし、この夜陰に紛れて忍び込めるチャンスがあったら……どうか、エマネラン様を助けてあげてください！	雲海より現れしもの
あんな方ですが、僕みたいな従者にも優しくしてくれる、こ、心根の優しい方なんです、はい。どうか、よろしくお願いします！									あんな方ですが、僕みたいな従者にも優しくしてくれる、こ、心根の優しい方なんです、はい。どうか、よろしくお願いします！	雲海より現れしもの
やれやれ、どうなる事かと思ったが、無事で何よりだぜ。おっと、礼なんてよしてくれよ。俺たちは仲間だろ？									やれやれ、どうなる事かと思ったが、無事で何よりだぜ。おっと、礼なんてよしてくれよ。俺たちは仲間だろ？	雲海より現れしもの
実は、イシュガルド教皇庁から、飛空艇技術の顧問を頼まれてな。									実は、イシュガルド教皇庁から、飛空艇技術の顧問を頼まれてな。	雲海より現れしもの
連中が作った大型飛空艇「プロテクトゥール号」の、問題を解決する手伝いのために来たんだ。そうしたら、お前も来てるっていうじゃないか。									連中が作った大型飛空艇「プロテクトゥール号」の、問題を解決する手伝いのために来たんだ。そうしたら、お前も来てるっていうじゃないか。	雲海より現れしもの
オマケに、お前の仲間が獣人に捕まったと聞いてな。慌てて、エンタープライズに飛び乗ったってわけさ！									オマケに、お前の仲間が獣人に捕まったと聞いてな。慌てて、エンタープライズに飛び乗ったってわけさ！	雲海より現れしもの
さてと、俺は大型飛空艇とやらの様子を見てくるとするかな。少しは仕事をして社に金を入れろって、部下に怒られてるんだ……。									さてと、俺は大型飛空艇とやらの様子を見てくるとするかな。少しは仕事をして社に金を入れろって、部下に怒られてるんだ……。	雲海より現れしもの
…………ビ、ビビってなんかねぇからな？ましてや、チビってるわけでもねぇ！　本当だぞ！？									…………ビ、ビビってなんかねぇからな？ましてや、チビってるわけでもねぇ！　本当だぞ！？	雲海より現れしもの
お前が無事でよかったぞ、友よ。今はただ、生きている喜びを分かち合おうではないか！									お前が無事でよかったぞ、友よ。今はただ、生きている喜びを分かち合おうではないか！	雲海より現れしもの
ありがとうございます、ありがとうございます！エマネラン様を助け出してくださって……ほ、本当に嬉しいです、はい！									ありがとうございます、ありがとうございます！エマネラン様を助け出してくださって……ほ、本当に嬉しいです、はい！	雲海より現れしもの
エマネランを救出せよ！									エマネランを救出せよ！	雲海より現れしもの
エマネランを護衛しつつ脱出せよ！									エマネランを護衛しつつ脱出せよ！	雲海より現れしもの
か、勘弁してくれぇ……。オレなんか喰っても、美味くないって！									か、勘弁してくれぇ……。オレなんか喰っても、美味くないって！	雲海より現れしもの
Forename！こっちだ、早く助けてくれよ！									Forename！こっちだ、早く助けてくれよ！	雲海より現れしもの
偉大なるブンドに逆らう愚か者め！バヌバヌの勇士たちよ、奴らを雲に沈めるのだ！									偉大なるブンドに逆らう愚か者め！バヌバヌの勇士たちよ、奴らを雲に沈めるのだ！	雲海より現れしもの
なんと、なんと、ゲイラキャットよりアホウな生贄が、逃げだそうとしておるではないか！　者共であえであえ！									なんと、なんと、ゲイラキャットよりアホウな生贄が、逃げだそうとしておるではないか！　者共であえであえ！	雲海より現れしもの
助けに来たぞ、Forename！									助けに来たぞ、Forename！	雲海より現れしもの
オ、オルシュファン！オマエも来てくれたのか！　恩に着るぜぇ！									オ、オルシュファン！オマエも来てくれたのか！　恩に着るぜぇ！	雲海より現れしもの
ここは、私が引き受ける！エマネランの護衛を頼むッ！									ここは、私が引き受ける！エマネランの護衛を頼むッ！	雲海より現れしもの
マ、マジかよ……なんで……オレが……。									マ、マジかよ……なんで……オレが……。	雲海より現れしもの
なんと、我が盾を凌駕するというのか……。									なんと、我が盾を凌駕するというのか……。	雲海より現れしもの
キャンプ・リバーズミートのアルトアレールは、異端者の追跡について考えがあるようだ。									キャンプ・リバーズミートのアルトアレールは、異端者の追跡について考えがあるようだ。	足跡が導く再会
哨戒部隊の騎兵を後方へ送り届けるアルトアレールに代わり、異端者のアジトを捜索することになった。キャンプ・リバーズミートの北にある「新しい足跡」を調べよう。									哨戒部隊の騎兵を後方へ送り届けるアルトアレールに代わり、異端者のアジトを捜索することになった。キャンプ・リバーズミートの北にある「新しい足跡」を調べよう。	足跡が導く再会
異端者のアジトに辿りつき、襲ってきた異端者をねじ伏せた。アジトである、クルザス中央高地のゴルガニュ牧場をもう少し調査しよう。									異端者のアジトに辿りつき、襲ってきた異端者をねじ伏せた。アジトである、クルザス中央高地のゴルガニュ牧場をもう少し調査しよう。	足跡が導く再会
アジト内を見渡していたところ、氷の巫女イゼルが現れ、彼女が戦う理由を聞くことができた。ゴルガニュ牧場の「アルトアレール」と話そう。									アジト内を見渡していたところ、氷の巫女イゼルが現れ、彼女が戦う理由を聞くことができた。ゴルガニュ牧場の「アルトアレール」と話そう。	足跡が導く再会
アルトアレールと話した。彼は廃屋の地下が異端者のアジトとなっていたことに驚いたようだ。									アルトアレールと話した。彼は廃屋の地下が異端者のアジトとなっていたことに驚いたようだ。	足跡が導く再会
新しい足跡を調べる									新しい足跡を調べる	足跡が導く再会
アルトアレールと話す									アルトアレールと話す	足跡が導く再会
私は、彼をファルコンネストに送り届ける。Surname殿は、北へと向かい、アジトの捜索を試みてくれぬか？									私は、彼をファルコンネストに送り届ける。Surname殿は、北へと向かい、アジトの捜索を試みてくれぬか？	足跡が導く再会
今ならまだ「新しい足跡」が残されていよう。これを辿れば、アジトを発見できるかもしれん……。だが、時を置けば、足跡は雪で消えてしまうだろう。									今ならまだ「新しい足跡」が残されていよう。これを辿れば、アジトを発見できるかもしれん……。だが、時を置けば、足跡は雪で消えてしまうだろう。	足跡が導く再会
つまり、ただちに動かねばならんということだ。……危険な任務だが頼めるか？									つまり、ただちに動かねばならんということだ。……危険な任務だが頼めるか？	足跡が導く再会
助かる……だが、くれぐれも無理だけはしないようにな。ファルコンネストに戻り次第、増援を伴って取って返し、後を追うつもりだ。									助かる……だが、くれぐれも無理だけはしないようにな。ファルコンネストに戻り次第、増援を伴って取って返し、後を追うつもりだ。	足跡が導く再会
今ならまだ「新しい足跡」が残されていよう。これを辿れば、アジトを発見できるかもしれん……。									今ならまだ「新しい足跡」が残されていよう。これを辿れば、アジトを発見できるかもしれん……。	足跡が導く再会
うぅ……異端者どもめ……。									うぅ……異端者どもめ……。	足跡が導く再会
「新しい足跡」は、北へと続いている……。痕跡を辿り、異端者のアジトを捜索しよう。									「新しい足跡」は、北へと続いている……。痕跡を辿り、異端者のアジトを捜索しよう。	足跡が導く再会
Surname殿！貴殿の足跡を辿り、どうにかここまで辿り着いたのだが…………その様子を見ると、すべて終わった後のようだな。									Surname殿！貴殿の足跡を辿り、どうにかここまで辿り着いたのだが…………その様子を見ると、すべて終わった後のようだな。	足跡が導く再会
なるほど……。牧場跡のあばら屋の地下が、異端者どものアジトだったとは……。									なるほど……。牧場跡のあばら屋の地下が、異端者どものアジトだったとは……。	足跡が導く再会
「氷の巫女」を取り逃したのは惜しいが、これは殊勲だぞ。奴らのアジトのひとつをツブしたのだからな。改めて、感謝せねばなるまい。									「氷の巫女」を取り逃したのは惜しいが、これは殊勲だぞ。奴らのアジトのひとつをツブしたのだからな。改めて、感謝せねばなるまい。	足跡が導く再会
助かったぞ、Surname殿！貴殿の力には、感服した！									助かったぞ、Surname殿！貴殿の力には、感服した！	足跡が導く再会
それにしても、このような廃屋の地下に、アジトを築いていようとはな……。異端者どもの執念には、驚かされるというものだ。									それにしても、このような廃屋の地下に、アジトを築いていようとはな……。異端者どもの執念には、驚かされるというものだ。	足跡が導く再会
どうやら周辺には、異端者の姿はないようです。もう制圧したと考えて良いでしょう。									どうやら周辺には、異端者の姿はないようです。もう制圧したと考えて良いでしょう。	足跡が導く再会
異端者のアジトを捜索せよ！									異端者のアジトを捜索せよ！	足跡が導く再会
異端者を泳がせて追跡し、アジトの場所を突き止めろ！									異端者を泳がせて追跡し、アジトの場所を突き止めろ！	足跡が導く再会
異端者たちを倒せ！									異端者たちを倒せ！	足跡が導く再会
指定地点で周囲を見渡す									指定地点で周囲を見渡す	足跡が導く再会
グホッ……こ、こんなところで敗れるとは……。									グホッ……こ、こんなところで敗れるとは……。	足跡が導く再会
キャンプ・クラウドトップのエマネランは、なぜか期待に胸をふくらませている。									キャンプ・クラウドトップのエマネランは、なぜか期待に胸をふくらませている。	困ったヤツの称え方
エマネランは、蛮神ビスマルクの発見が自分の手柄になると信じているようだ。アバラシア雲海のローズハウスにいる「ラニエット」と話そう。									エマネランは、蛮神ビスマルクの発見が自分の手柄になると信じているようだ。アバラシア雲海のローズハウスにいる「ラニエット」と話そう。	困ったヤツの称え方
ラニエットにこれまでの経緯を話した。彼女は新たな蛮神の出現を脅威に感じているとともに、お気楽な調子のエマネランに呆れていた。ともかく、アバラシア雲海での任務はこれで終了だ。イシュガルド・ランディングの「オルシュファン」と話そう。									ラニエットにこれまでの経緯を話した。彼女は新たな蛮神の出現を脅威に感じているとともに、お気楽な調子のエマネランに呆れていた。ともかく、アバラシア雲海での任務はこれで終了だ。イシュガルド・ランディングの「オルシュファン」と話そう。	困ったヤツの称え方
オルシュファンと話した。イシュガルドのフォルタン伯爵邸にいる「エマネラン」と話そう。									オルシュファンと話した。イシュガルドのフォルタン伯爵邸にいる「エマネラン」と話そう。	困ったヤツの称え方
エマネランと話した。彼は、エドモン・ド・フォルタン伯爵に殴られ、叱責を受けたようだ。それでもエマネランに、反省する様子は見られない。彼が、自分の行動を省みる日は、やってくるのだろうか……。									エマネランと話した。彼は、エドモン・ド・フォルタン伯爵に殴られ、叱責を受けたようだ。それでもエマネランに、反省する様子は見られない。彼が、自分の行動を省みる日は、やってくるのだろうか……。	困ったヤツの称え方
ラニエットと話す									ラニエットと話す	困ったヤツの称え方
イシュガルド・ランディングのオルシュファンと話す									イシュガルド・ランディングのオルシュファンと話す	困ったヤツの称え方
フォルタン伯爵邸のエマネランと話す									フォルタン伯爵邸のエマネランと話す	困ったヤツの称え方
いやあ、まいったね、こりゃ。さすがのオレも、死ぬかと思ったぜ。									いやあ、まいったね、こりゃ。さすがのオレも、死ぬかと思ったぜ。	困ったヤツの称え方
しかし、オレ様の活躍があったからこそ、「新たな蛮神」の脅威を発見できたんだ。こいつは、お手柄といっても過言じゃねーだろ。									しかし、オレ様の活躍があったからこそ、「新たな蛮神」の脅威を発見できたんだ。こいつは、お手柄といっても過言じゃねーだろ。	困ったヤツの称え方
よし、「ラニエット」に報告しようぜ！ムフフフフ、きっと、すんごい褒められるんだろうなぁ……。									よし、「ラニエット」に報告しようぜ！ムフフフフ、きっと、すんごい褒められるんだろうなぁ……。	困ったヤツの称え方
よし、「ラニエット」に報告しようぜ！ムフフフフ、きっと、すんごい褒められるんだろうなぁ……。									よし、「ラニエット」に報告しようぜ！ムフフフフ、きっと、すんごい褒められるんだろうなぁ……。	困ったヤツの称え方
しかし、エマネランの脳天気ぶりには、あきれ果てて物も言えん……。									しかし、エマネランの脳天気ぶりには、あきれ果てて物も言えん……。	困ったヤツの称え方
ありがとうございます、ありがとうございます！エマネラン様を助け出してくださって……ほ、本当に嬉しいです、はい！									ありがとうございます、ありがとうございます！エマネラン様を助け出してくださって……ほ、本当に嬉しいです、はい！	困ったヤツの称え方
無事に戻ってきてくれたか！いったい、何があったというのだ！？									無事に戻ってきてくれたか！いったい、何があったというのだ！？	困ったヤツの称え方
な、なんと……雲神「ビスマルク」だと！？									な、なんと……雲神「ビスマルク」だと！？	困ったヤツの称え方
ビスマルクと言えば、雲海を遊弋すると伝わる「伝説の白鯨」だぞ……。それを、バヌバヌ族が蛮神として呼び降ろしたということか。									ビスマルクと言えば、雲海を遊弋すると伝わる「伝説の白鯨」だぞ……。それを、バヌバヌ族が蛮神として呼び降ろしたということか。	困ったヤツの称え方
以前は友好的であったというバヌバヌ族が、一転して態度を翻したのも、今となっては理解できる。蛮神の影響を受けていた、ということだろう。									以前は友好的であったというバヌバヌ族が、一転して態度を翻したのも、今となっては理解できる。蛮神の影響を受けていた、ということだろう。	困ったヤツの称え方
神は、信徒となるテンパードの心をねじ曲げる……。「暁」から提供された資料で読んだことがあります、はい。									神は、信徒となるテンパードの心をねじ曲げる……。「暁」から提供された資料で読んだことがあります、はい。	困ったヤツの称え方
なぁなぁ、お手柄だろ？これでオレ様も、男爵位くらいもらえるはずさ。そしたら、ラニエット、オレの嫁さんになってくれよ！									なぁなぁ、お手柄だろ？これでオレ様も、男爵位くらいもらえるはずさ。そしたら、ラニエット、オレの嫁さんになってくれよ！	困ったヤツの称え方
…………はぁ。こんな男のために、命を賭けさせてしまうとは……Surname殿には、何と詫びて良いものやら。									…………はぁ。こんな男のために、命を賭けさせてしまうとは……Surname殿には、何と詫びて良いものやら。	困ったヤツの称え方
ともかく、蛮神の件を上に報告せねばなるまい。教皇庁と神殿騎士団には、私から伝えておこう。									ともかく、蛮神の件を上に報告せねばなるまい。教皇庁と神殿騎士団には、私から伝えておこう。	困ったヤツの称え方
助かる、オルシュファン卿。Surname殿も、助かったよ。当地での任務を終了とし、皇都に戻るといい。									助かる、オルシュファン卿。Surname殿も、助かったよ。当地での任務を終了とし、皇都に戻るといい。	困ったヤツの称え方
えっ、なに、任務もう終わり？それじゃ、オレも疲れたから帰るわ。……ラニエット、色よい返事を待ってるぜ？　じゃあな！									えっ、なに、任務もう終わり？それじゃ、オレも疲れたから帰るわ。……ラニエット、色よい返事を待ってるぜ？　じゃあな！	困ったヤツの称え方
では、Forename。我々も、皇都「イシュガルド」へ戻るとしよう。									では、Forename。我々も、皇都「イシュガルド」へ戻るとしよう。	困ったヤツの称え方
助力に感謝するぞ、Surname殿。エマネランについては、適当に殴ってくれて構わない。問題になったときは、私が責任を持つゆえ。									助力に感謝するぞ、Surname殿。エマネランについては、適当に殴ってくれて構わない。問題になったときは、私が責任を持つゆえ。	困ったヤツの称え方
それにしても、久しぶりの共闘……イイ戦いであったな！この胸の熱さ、未だに冷めぬぞ！									それにしても、久しぶりの共闘……イイ戦いであったな！この胸の熱さ、未だに冷めぬぞ！	困ったヤツの称え方
では私は、これより神殿騎士団本部に向かい、アイメリク卿に事の次第を報告してくる。									では私は、これより神殿騎士団本部に向かい、アイメリク卿に事の次第を報告してくる。	困ったヤツの称え方
Forenameは、「フォルタン家」の屋敷に戻るといい。「エマネラン」が帰宅しているかどうか、確認しておいてくれ。									Forenameは、「フォルタン家」の屋敷に戻るといい。「エマネラン」が帰宅しているかどうか、確認しておいてくれ。	困ったヤツの称え方
痛てぇ……。痛てぇよ、Forename……。									痛てぇ……。痛てぇよ、Forename……。	困ったヤツの称え方
何があったのかって……親父に、思いっきりブン殴られたんだよ……。大切な客人を危険にさらすとは、何事かってな……。									何があったのかって……親父に、思いっきりブン殴られたんだよ……。大切な客人を危険にさらすとは、何事かってな……。	困ったヤツの称え方
どうも、オレの手柄はパーらしい……。はぁ……ついてねぇなぁ……。									どうも、オレの手柄はパーらしい……。はぁ……ついてねぇなぁ……。	困ったヤツの称え方
実に美しい、流れるような一撃でした。さすがは名騎士と呼ばれた、エドモン様です、はい。……何があったのかは、エマネラン様よりお聞きください。									実に美しい、流れるような一撃でした。さすがは名騎士と呼ばれた、エドモン様です、はい。……何があったのかは、エマネラン様よりお聞きください。	困ったヤツの称え方
ゴルガニュ牧場のアルトアレールは、冒険者に提案があるようだ。									ゴルガニュ牧場のアルトアレールは、冒険者に提案があるようだ。	目の曇り、今は晴れ
アルトアレールから、ファルコンネストに戻るよう提案された。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。									アルトアレールから、ファルコンネストに戻るよう提案された。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。	目の曇り、今は晴れ
レッドワルドに異端者のアジトについて話すと、素晴らしい手柄だと賞賛された。ファルコンネストでの任務は、これで終了だ。イシュガルドのフォルタン伯爵邸にいる「アルトアレール」と話そう。									レッドワルドに異端者のアジトについて話すと、素晴らしい手柄だと賞賛された。ファルコンネストでの任務は、これで終了だ。イシュガルドのフォルタン伯爵邸にいる「アルトアレール」と話そう。	目の曇り、今は晴れ
アルトアレールと話した。彼から、腹違いの弟であるオルシュファンに対する思いと、冒険者に疑念を持っていたことを打ち明けられた。しかし、冒険者の活躍を見て、己の間違いを悟ったそうだ。今回の経験を活かし、アルトアレールは大きく成長するだろう。									アルトアレールと話した。彼から、腹違いの弟であるオルシュファンに対する思いと、冒険者に疑念を持っていたことを打ち明けられた。しかし、冒険者の活躍を見て、己の間違いを悟ったそうだ。今回の経験を活かし、アルトアレールは大きく成長するだろう。	目の曇り、今は晴れ
レッドワルドと話す									レッドワルドと話す	目の曇り、今は晴れ
フォルタン伯爵邸のアルトアレールと話す									フォルタン伯爵邸のアルトアレールと話す	目の曇り、今は晴れ
よし、ここの詳しい調査は増援の兵たちに任せ、我々は一度、「ファルコンネスト」に戻るとしよう。「レッドワルド」卿も報告を待っているはずだ。									よし、ここの詳しい調査は増援の兵たちに任せ、我々は一度、「ファルコンネスト」に戻るとしよう。「レッドワルド」卿も報告を待っているはずだ。	目の曇り、今は晴れ
何より、君も雪中の追跡行で疲れているだろう。暖かな場所で、休んだほうがいいからな。									何より、君も雪中の追跡行で疲れているだろう。暖かな場所で、休んだほうがいいからな。	目の曇り、今は晴れ
アジトの確保と調査は、我々にお任せを！冒険者殿は、「ファルコンネスト」にお戻りになり、「レッドワルド」隊長に、事の次第を報告なさってください！									アジトの確保と調査は、我々にお任せを！冒険者殿は、「ファルコンネスト」にお戻りになり、「レッドワルド」隊長に、事の次第を報告なさってください！	目の曇り、今は晴れ
Surname殿、アルトアレール卿。帰還早々すまないが、事のあらましを報告してくれ。									Surname殿、アルトアレール卿。帰還早々すまないが、事のあらましを報告してくれ。	目の曇り、今は晴れ
なんと……「氷の巫女」が潜むアジトを見つけるとは……。素晴らしい手柄だぞ、Surname殿。									なんと……「氷の巫女」が潜むアジトを見つけるとは……。素晴らしい手柄だぞ、Surname殿。	目の曇り、今は晴れ
異端者の排除に向け、大いなる一歩になろう。私は、冒険者殿の功績を教皇庁に報告するつもりだ。よろしいかな、レッドワルド卿。									異端者の排除に向け、大いなる一歩になろう。私は、冒険者殿の功績を教皇庁に報告するつもりだ。よろしいかな、レッドワルド卿。	目の曇り、今は晴れ
無論だ、協力を仰ごうとしていた「異端者勢力の捜索」を、期待以上の成果で収めてくれたのだからな。私からも、感謝の意を伝えておくとしよう。									無論だ、協力を仰ごうとしていた「異端者勢力の捜索」を、期待以上の成果で収めてくれたのだからな。私からも、感謝の意を伝えておくとしよう。	目の曇り、今は晴れ
では、この件の事後処理は、レッドワルド卿以下、デュランデル家の騎兵団に、引き継いでもらっても良いだろうか？									では、この件の事後処理は、レッドワルド卿以下、デュランデル家の騎兵団に、引き継いでもらっても良いだろうか？	目の曇り、今は晴れ
了解した。後のことは任せてほしい。									了解した。後のことは任せてほしい。	目の曇り、今は晴れ
さあ、お二方とも雪中行軍が続き、疲れていることだろう。ファルコンネストでの任務は、これにて終了とし、皇都に戻って、ゆっくりと身体を休めてくれ。									さあ、お二方とも雪中行軍が続き、疲れていることだろう。ファルコンネストでの任務は、これにて終了とし、皇都に戻って、ゆっくりと身体を休めてくれ。	目の曇り、今は晴れ
ありがたい。それでは、皇都の「フォルタン家の屋敷」へ戻るとしよう。世話になったな、レッドワルド卿……またいずれ会おう。									ありがたい。それでは、皇都の「フォルタン家の屋敷」へ戻るとしよう。世話になったな、レッドワルド卿……またいずれ会おう。	目の曇り、今は晴れ
デュランデル家だけの力には限界がある。今回は異邦の民である貴公の協力が、良い結果に繋がった。その事の重大さが、本家筋にも伝わるといいのだが……。									デュランデル家だけの力には限界がある。今回は異邦の民である貴公の協力が、良い結果に繋がった。その事の重大さが、本家筋にも伝わるといいのだが……。	目の曇り、今は晴れ
今回の件、改めて礼をさせてほしい。……そして、ひとつ謝っておきたいことがある。									今回の件、改めて礼をさせてほしい。……そして、ひとつ謝っておきたいことがある。	目の曇り、今は晴れ
実のところ、当初は貴殿のことを侮っていたのだ。実力を高く評価し、客人として招くことを推薦したのが、あの男……オルシュファンだったからな……。									実のところ、当初は貴殿のことを侮っていたのだ。実力を高く評価し、客人として招くことを推薦したのが、あの男……オルシュファンだったからな……。	目の曇り、今は晴れ
オルシュファンは、私の弟なのだ……腹違いのな……。実直な父が犯した「唯一の過ち」の結果だと人は云う。……だが父は、私生児を捨てず、騎士として育てた。									オルシュファンは、私の弟なのだ……腹違いのな……。実直な父が犯した「唯一の過ち」の結果だと人は云う。……だが父は、私生児を捨てず、騎士として育てた。	目の曇り、今は晴れ
もちろん、今は亡き私の母は、最後までオルシュファンの存在を認めようとはしなかった。その心が、私にも伝わっていたのだろう。									もちろん、今は亡き私の母は、最後までオルシュファンの存在を認めようとはしなかった。その心が、私にも伝わっていたのだろう。	目の曇り、今は晴れ
だからこそ、私はオルシュファンを素直に受け入れられず、奴が推挙した貴殿のことも疑っていた。奴の目は曇っていると……。									だからこそ、私はオルシュファンを素直に受け入れられず、奴が推挙した貴殿のことも疑っていた。奴の目は曇っていると……。	目の曇り、今は晴れ
それが、つまらぬ想いであったことを思い知ったよ。私は、キャンプ・リバーズミートで騎兵を救ったとき、彼を送り届けるという「楽な役目」を選んだ。									それが、つまらぬ想いであったことを思い知ったよ。私は、キャンプ・リバーズミートで騎兵を救ったとき、彼を送り届けるという「楽な役目」を選んだ。	目の曇り、今は晴れ
そして、冒険者である貴殿に、単独での追撃という「辛い役目」を押しつけた……。									そして、冒険者である貴殿に、単独での追撃という「辛い役目」を押しつけた……。	目の曇り、今は晴れ
だというのに、その任を断らぬばかりか、見事に成し遂げて見せた貴殿の姿は……そう、まさしくオルシュファンが推挙した言葉のとおりだった。									だというのに、その任を断らぬばかりか、見事に成し遂げて見せた貴殿の姿は……そう、まさしくオルシュファンが推挙した言葉のとおりだった。	目の曇り、今は晴れ
どうやら、曇っていたのは、私の目だったようだ。ゆえに感謝しよう、Forename殿……。ありがとう、良い経験になった。									どうやら、曇っていたのは、私の目だったようだ。ゆえに感謝しよう、Forename殿……。ありがとう、良い経験になった。	目の曇り、今は晴れ
フォルタン伯爵邸のフォルタン家の家令は、冒険者の報告を待っているようだ。									フォルタン伯爵邸のフォルタン家の家令は、冒険者の報告を待っているようだ。	蒼天の騎士
エドモン・ド・フォルタン伯爵と面会中、アルフィノとタタルが異端者として告発されたとの報が飛び込んできた。フォルタン伯爵邸の「エドモン・ド・フォルタン伯爵」と話そう。									エドモン・ド・フォルタン伯爵と面会中、アルフィノとタタルが異端者として告発されたとの報が飛び込んできた。フォルタン伯爵邸の「エドモン・ド・フォルタン伯爵」と話そう。	蒼天の騎士
エドモン・ド・フォルタン伯爵から、アイメリクと相談するよう助言を受けた。イシュガルドの神殿騎士団本部にいる「アイメリク」と話そう。									エドモン・ド・フォルタン伯爵から、アイメリクと相談するよう助言を受けた。イシュガルドの神殿騎士団本部にいる「アイメリク」と話そう。	蒼天の騎士
