石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
資材置き場にいる「テッブ」から、「薬味用の香草」を6束ほど貰ってきてくれないかしら？調理の途中で、ちょっとここを離れられないから、お願いね。									資材置き場にいる「テッブ」から、「薬味用の香草」を6束ほど貰ってきてくれないかしら？調理の途中で、ちょっとここを離れられないから、お願いね。	スープの隠し味
お願いした「薬味用の香草」は、手に入ったかしら？									お願いした「薬味用の香草」は、手に入ったかしら？	スープの隠し味
ありがとう、助かったわ！それから……その……ごめんなさい……。あなたのこと新兵だと勘違いして、雑用を頼んでしまったの。									ありがとう、助かったわ！それから……その……ごめんなさい……。あなたのこと新兵だと勘違いして、雑用を頼んでしまったの。	スープの隠し味
しかも、在庫が足りなくて、香草集めまでさせてしまうなんて……。恥ずかしい話だけど、ここも食料が慢性的に不足していてね。									しかも、在庫が足りなくて、香草集めまでさせてしまうなんて……。恥ずかしい話だけど、ここも食料が慢性的に不足していてね。	スープの隠し味
それでも、協力者の支援があるからマシな方よ。一部の集落じゃ、満足に食べることもできていない。痩せすぎた子どもを見かけて、涙が出ることだって……。									それでも、協力者の支援があるからマシな方よ。一部の集落じゃ、満足に食べることもできていない。痩せすぎた子どもを見かけて、涙が出ることだって……。	スープの隠し味
だから、日々の糧に感謝しつつ、皆が笑って食卓を囲める日がくることを夢見て、私たちは戦い続けるのよ。									だから、日々の糧に感謝しつつ、皆が笑って食卓を囲める日がくることを夢見て、私たちは戦い続けるのよ。	スープの隠し味
赤のジグラートのリセは、納得がいっていないようだ。									赤のジグラートのリセは、納得がいっていないようだ。	その名は髑髏連隊
キキルン族に拐われたワークラタを救助した冒険者たちだったが、彼は帝国軍に納税をしに行ってしまった。リセたちとともに、ワークラタを追うことになった。赤のジグラート周辺で、ワークラタの残した手がかりを探そう。									キキルン族に拐われたワークラタを救助した冒険者たちだったが、彼は帝国軍に納税をしに行ってしまった。リセたちとともに、ワークラタを追うことになった。赤のジグラート周辺で、ワークラタの残した手がかりを探そう。	その名は髑髏連隊
ワークラタの連れていたチョコボのものと思しき羽根を見つけた。赤のジグラート付近の「メッフリッド」と話し、周囲の様子を窺おう。									ワークラタの連れていたチョコボのものと思しき羽根を見つけた。赤のジグラート付近の「メッフリッド」と話し、周囲の様子を窺おう。	その名は髑髏連隊
メッフリッドたちとともに、ワークラタが受けた仕打ちを見た。赤のジグラート付近の「メッフリッド」と再度話そう。									メッフリッドたちとともに、ワークラタが受けた仕打ちを見た。赤のジグラート付近の「メッフリッド」と再度話そう。	その名は髑髏連隊
メッフリッドと話した。アラミゴ人でありながら帝国の犬として働く髑髏連隊に対し、メッフリッドは憤りを覚えているようだ。									メッフリッドと話した。アラミゴ人でありながら帝国の犬として働く髑髏連隊に対し、メッフリッドは憤りを覚えているようだ。	その名は髑髏連隊
ワークラタの残した手がかりを探す									ワークラタの残した手がかりを探す	その名は髑髏連隊
メッフリッドと話す									メッフリッドと話す	その名は髑髏連隊
メッフリッドと再度話す									メッフリッドと再度話す	その名は髑髏連隊
帝国社会では、市民権を持たない「アン」階級の地位は低い。重い属州税を支払えなければ、奴隷同然の労働を強いられる。若い女性の場合は、悲惨な目に遭うこともあるんだ。									帝国社会では、市民権を持たない「アン」階級の地位は低い。重い属州税を支払えなければ、奴隷同然の労働を強いられる。若い女性の場合は、悲惨な目に遭うこともあるんだ。	その名は髑髏連隊
アタシ、やっぱりワークラタさんの後を追おうと思う。									アタシ、やっぱりワークラタさんの後を追おうと思う。	その名は髑髏連隊
待て……止めるつもりか！？彼は、苦しい生活の中でも妹さんを守るため、納税しようというんだ……それを止めるのは……！									待て……止めるつもりか！？彼は、苦しい生活の中でも妹さんを守るため、納税しようというんだ……それを止めるのは……！	その名は髑髏連隊
わかってるんだ……。現実の暮らしが、口で言うほど簡単じゃないことは……。せめて安全に移動できるように、護衛したいだけだよ。									わかってるんだ……。現実の暮らしが、口で言うほど簡単じゃないことは……。せめて安全に移動できるように、護衛したいだけだよ。	その名は髑髏連隊
そうか……。ならば、俺たちも付き合おう、Forename。帝国軍の拠点に向かった、ワークラタの足取りを追うんだ。									そうか……。ならば、俺たちも付き合おう、Forename。帝国軍の拠点に向かった、ワークラタの足取りを追うんだ。	その名は髑髏連隊
ワークラタの足取りに繋がる品物ではないようだ。ほかの場所を探すべきだろう。									ワークラタの足取りに繋がる品物ではないようだ。ほかの場所を探すべきだろう。	その名は髑髏連隊
チョコボの羽根が落ちている……。									チョコボの羽根が落ちている……。	その名は髑髏連隊
何か見つけたの？									何か見つけたの？	その名は髑髏連隊
ほう……チョコボの羽根か……。確かワークラタは、チョコボを連れていたはずだな。どうやら、ここを通ったとみて間違いなさそうだ。									ほう……チョコボの羽根か……。確かワークラタは、チョコボを連れていたはずだな。どうやら、ここを通ったとみて間違いなさそうだ。	その名は髑髏連隊
すぐにでも追いたいが、この先は帝国軍の哨戒範囲だ。向こうの岩陰から、慎重に様子を覗うとしよう。									すぐにでも追いたいが、この先は帝国軍の哨戒範囲だ。向こうの岩陰から、慎重に様子を覗うとしよう。	その名は髑髏連隊
帝国軍の拠点の近くに来ると、さすがに緊張するね……。									帝国軍の拠点の近くに来ると、さすがに緊張するね……。	その名は髑髏連隊
Forename、身を潜めてくれ。いつ帝国軍の哨戒部隊と遭遇してもおかしくないからな。ここから、ワークラタの姿が見えないか、様子を覗うとしよう。									Forename、身を潜めてくれ。いつ帝国軍の哨戒部隊と遭遇してもおかしくないからな。ここから、ワークラタの姿が見えないか、様子を覗うとしよう。	その名は髑髏連隊
自分の無力さが悔しいよ……。何も……何もしてあげられないなんて……。									自分の無力さが悔しいよ……。何も……何もしてあげられないなんて……。	その名は髑髏連隊
髑髏連隊の女隊長……勘の鋭い奴だったな……。あやうく見つかるところだった。									髑髏連隊の女隊長……勘の鋭い奴だったな……。あやうく見つかるところだった。	その名は髑髏連隊
しかし、胸くそ悪いぜ……。同じアラミゴ人の若者が帝国の犬となって、同胞に牙を剥いているんだからな……。									しかし、胸くそ悪いぜ……。同じアラミゴ人の若者が帝国の犬となって、同胞に牙を剥いているんだからな……。	その名は髑髏連隊
ラールガーズリーチのローエンガルデ族の闘士は、必死に探しものをしているようだ。									ラールガーズリーチのローエンガルデ族の闘士は、必死に探しものをしているようだ。	ラールガーの神符
ラールガーの神符を探す									ラールガーの神符を探す	ラールガーの神符
ローエンガルデ族の闘士にラールガーの神符を渡す									ローエンガルデ族の闘士にラールガーの神符を渡す	ラールガーの神符
くっそ……どこにいっちまったんだ！？なんで失くしちまうかなぁ、もう……！									くっそ……どこにいっちまったんだ！？なんで失くしちまうかなぁ、もう……！	ラールガーの神符
なんだい、あんた……力を貸してくれるのか？だったら「ラールガーの神符」を探すのを手伝ってくれ！									なんだい、あんた……力を貸してくれるのか？だったら「ラールガーの神符」を探すのを手伝ってくれ！	ラールガーの神符
今朝までは、絶対に持っていたんだ。ラールガーズリーチの外には出ていないから、どこかに落ちていると思うんだが……。									今朝までは、絶対に持っていたんだ。ラールガーズリーチの外には出ていないから、どこかに落ちていると思うんだが……。	ラールガーの神符
悪いんだが、あんたは星導山寺院の入口方面を探してくれ。俺は、もう一度、司令部の天幕周辺を見てくる。									悪いんだが、あんたは星導山寺院の入口方面を探してくれ。俺は、もう一度、司令部の天幕周辺を見てくる。	ラールガーの神符
あれは、俺にとって大切なものなんだ。失くしちまったかと思うと……どうか頼む！									あれは、俺にとって大切なものなんだ。失くしちまったかと思うと……どうか頼む！	ラールガーの神符
星導山寺院の入口方面に、「ラールガーの神符」が落ちてないか、探してくれ。失くしちまったかと思うと……どうか頼む！									星導山寺院の入口方面に、「ラールガーの神符」が落ちてないか、探してくれ。失くしちまったかと思うと……どうか頼む！	ラールガーの神符
はぁ……探してるんだが、見つからねぇ……。で、そっちはどうだった？									はぁ……探してるんだが、見つからねぇ……。で、そっちはどうだった？	ラールガーの神符
おぉぉぉ！こ、この印の擦れ具合は、俺の神符じゃねぇか！恩に着るぜ、姉ちゃん兄ちゃん！									おぉぉぉ！こ、この印の擦れ具合は、俺の神符じゃねぇか！恩に着るぜ、姉ちゃん兄ちゃん！	ラールガーの神符
コイツは、お袋が生まれてくる俺のために、星導山寺院を詣でて、手に入れてくれたものでな。当時は、ここも多くの参拝客で賑わっていたそうだぜ。									コイツは、お袋が生まれてくる俺のために、星導山寺院を詣でて、手に入れてくれたものでな。当時は、ここも多くの参拝客で賑わっていたそうだぜ。	ラールガーの神符
それが、廃王テオドリックによる焼き討ちと、続く帝国侵攻による宗教弾圧で、星導教は滅びちまった。									それが、廃王テオドリックによる焼き討ちと、続く帝国侵攻による宗教弾圧で、星導教は滅びちまった。	ラールガーの神符
でもよ、どんなに弾圧されようとも、俺の心は変えさせねぇ！俺だって産まれてくる我が子の加護を願い、神符を贈りたいんだ！そんな素朴な信仰を守るため……俺は精一杯戦うぜ！									でもよ、どんなに弾圧されようとも、俺の心は変えさせねぇ！俺だって産まれてくる我が子の加護を願い、神符を贈りたいんだ！そんな素朴な信仰を守るため……俺は精一杯戦うぜ！	ラールガーの神符
そちらの手伝いは終わったのかい？									そちらの手伝いは終わったのかい？	ラールガーの神符
ラールガーズリーチのアルフィノは、状況を確認したいようだ。									ラールガーズリーチのアルフィノは、状況を確認したいようだ。	ラウバーンの決断
ヤ・シュトラと話す									ヤ・シュトラと話す	ラウバーンの決断
アルフィノと話す									アルフィノと話す	ラウバーンの決断
カストルム・オリエンスのラウバーンと話す									カストルム・オリエンスのラウバーンと話す	ラウバーンの決断
アリゼーと話す									アリゼーと話す	ラウバーンの決断
ふぅ、これで依頼は完了だな……っと。君も一区切りついたところかい？									ふぅ、これで依頼は完了だな……っと。君も一区切りついたところかい？	ラウバーンの決断
おつかれさまです、Forenameさん。ちょうど、呼びに行こうとしていたんですよ。									おつかれさまです、Forenameさん。ちょうど、呼びに行こうとしていたんですよ。	ラウバーンの決断
予定されていた解放軍系の部隊と、新兵たちの合流が完了し、準備が整ったところでな。いよいよ、打って出る頃合いということじゃ。									予定されていた解放軍系の部隊と、新兵たちの合流が完了し、準備が整ったところでな。いよいよ、打って出る頃合いということじゃ。	ラウバーンの決断
メ・ナーゴよ、同盟軍へ共同での反攻作戦の開始を打診するぞい。親書を託すゆえ、これをカストルム・オリエンスの、ラウバーン殿に届けるのじゃ！									メ・ナーゴよ、同盟軍へ共同での反攻作戦の開始を打診するぞい。親書を託すゆえ、これをカストルム・オリエンスの、ラウバーン殿に届けるのじゃ！	ラウバーンの決断
了解です！									了解です！	ラウバーンの決断
それでは、私は使者として出立しますが……「暁」の皆さんは、どうされますか？									それでは、私は使者として出立しますが……「暁」の皆さんは、どうされますか？	ラウバーンの決断
エオルゼア同盟軍から依頼されていた、解放軍との橋渡し役は、ひとまず完了したことになる。今後については、一度、皆と相談すべきだろうな……。									エオルゼア同盟軍から依頼されていた、解放軍との橋渡し役は、ひとまず完了したことになる。今後については、一度、皆と相談すべきだろうな……。	ラウバーンの決断
わかりました。それでは、私は辺境地帯側の出入口で出発準備を整えておきます。もし、同盟軍の本陣に向かう方がいましたら、来てくださいね。									わかりました。それでは、私は辺境地帯側の出入口で出発準備を整えておきます。もし、同盟軍の本陣に向かう方がいましたら、来てくださいね。	ラウバーンの決断
では、リセとアリゼーは私が呼んでこよう。君は野戦病院に赴き、ヤ・シュトラやクルルさんのところで、待っていてくれ！									では、リセとアリゼーは私が呼んでこよう。君は野戦病院に赴き、ヤ・シュトラやクルルさんのところで、待っていてくれ！	ラウバーンの決断
あら、私たちに何か伝えたいことでも？									あら、私たちに何か伝えたいことでも？	ラウバーンの決断
なるほど、すべての任務が完了したのね。それで、ついに同盟軍と共同で反攻作戦を始めると……。									なるほど、すべての任務が完了したのね。それで、ついに同盟軍と共同で反攻作戦を始めると……。	ラウバーンの決断
「暁」がエオルゼアの救済を掲げる組織である以上、アラミゴ奪還に向けた動きは、当然支援すべきだと考える。だが、これ以上の関与は、本格的な戦争協力になるはずだ。									「暁」がエオルゼアの救済を掲げる組織である以上、アラミゴ奪還に向けた動きは、当然支援すべきだと考える。だが、これ以上の関与は、本格的な戦争協力になるはずだ。	ラウバーンの決断
組織としての「暁」が、協力の姿勢を示すとしても、それぞれが実際に参加するかは、今一度、考えておくべきだろう。									組織としての「暁」が、協力の姿勢を示すとしても、それぞれが実際に参加するかは、今一度、考えておくべきだろう。	ラウバーンの決断
もちろん、アタシは戦うよ。祖国アラミゴの奪還は、父さんとイダ姉さんの想いでもあるし、何よりアタシが願っていることだから……。									もちろん、アタシは戦うよ。祖国アラミゴの奪還は、父さんとイダ姉さんの想いでもあるし、何よりアタシが願っていることだから……。	ラウバーンの決断
……私もやるわ。蛮神討滅の理念はともかく、自分たちの意見を武力で押しつける、帝国のやり口が気にくわないのよ。									……私もやるわ。蛮神討滅の理念はともかく、自分たちの意見を武力で押しつける、帝国のやり口が気にくわないのよ。	ラウバーンの決断
第七霊災を引き起こしたのも彼らだし、その後に再侵攻してきたガイウスの裏にはアシエンがいた。どう考えたって、放置できないわ。									第七霊災を引き起こしたのも彼らだし、その後に再侵攻してきたガイウスの裏にはアシエンがいた。どう考えたって、放置できないわ。	ラウバーンの決断
リセはともかく、アリゼーは、もう少し躊躇すると思っていたが、ともかく君たちの意見については、了解した。									リセはともかく、アリゼーは、もう少し躊躇すると思っていたが、ともかく君たちの意見については、了解した。	ラウバーンの決断
そして、私自身も同じ意見だ。イルベルドという復讐鬼を生んでしまった一端が、私にもあるし、なればこそアラミゴのために働きたい。									そして、私自身も同じ意見だ。イルベルドという復讐鬼を生んでしまった一端が、私にもあるし、なればこそアラミゴのために働きたい。	ラウバーンの決断
私も参加するわ……。戦争を嫌うあまり、本国に逃げたシャーレアンに反発して、私はルイゾワ様の「救世詩盟」に参加した。									私も参加するわ……。戦争を嫌うあまり、本国に逃げたシャーレアンに反発して、私はルイゾワ様の「救世詩盟」に参加した。	ラウバーンの決断
その心は変わっていないし、目の前には、癒し手を待っている人がいるもの。しばらく、この野戦病院に残って働くつもり。									その心は変わっていないし、目の前には、癒し手を待っている人がいるもの。しばらく、この野戦病院に残って働くつもり。	ラウバーンの決断
私は、ちょっと違う理由だけど、ここで働かせてもらうわ。ミンフィリアも、故郷アラミゴの奪還には力を尽くしたかったはず……。その親友の想いを、代わりに果たしたいと思うのよ。									私は、ちょっと違う理由だけど、ここで働かせてもらうわ。ミンフィリアも、故郷アラミゴの奪還には力を尽くしたかったはず……。その親友の想いを、代わりに果たしたいと思うのよ。	ラウバーンの決断
Forename、君はどうする？ガイウス・ヴァン・バエサルを倒した君の力は、帝国打倒を目指す人にとっては、非常に心強いものだろう。									Forename、君はどうする？ガイウス・ヴァン・バエサルを倒した君の力は、帝国打倒を目指す人にとっては、非常に心強いものだろう。	ラウバーンの決断
だが、「英雄」という偶像に押し込められ、都合のいい武力として利用されるのも、本意ではあるまい？									だが、「英雄」という偶像に押し込められ、都合のいい武力として利用されるのも、本意ではあるまい？	ラウバーンの決断
アラミゴ奪還に協力する？									アラミゴ奪還に協力する？	ラウバーンの決断
帝国を野放しにはできない！									帝国を野放しにはできない！	ラウバーンの決断
ここにいない者のために協力する！									ここにいない者のために協力する！	ラウバーンの決断
そこに戦いがある限り進む！									そこに戦いがある限り進む！	ラウバーンの決断
正直に言って、協力したくない……									正直に言って、協力したくない……	ラウバーンの決断
確かに、ガレマール帝国の覇権主義は危険だ。実力主義と言えば聞こえはいいが、彼らの階級社会では、大多数の罪なき民が搾取され、奴隷同然の暮らしを強いられている。									確かに、ガレマール帝国の覇権主義は危険だ。実力主義と言えば聞こえはいいが、彼らの階級社会では、大多数の罪なき民が搾取され、奴隷同然の暮らしを強いられている。	ラウバーンの決断
そうか……。誰のためなのかは、あえて聞くまい。君には、託されてきた想いが、たくさんあるのだろうからね。									そうか……。誰のためなのかは、あえて聞くまい。君には、託されてきた想いが、たくさんあるのだろうからね。	ラウバーンの決断
君は、どこまでも真っ直ぐだな……。強敵との戦いこそが、君の冒険だというのかい？									君は、どこまでも真っ直ぐだな……。強敵との戦いこそが、君の冒険だというのかい？	ラウバーンの決断
……そうか。残念ではあるが、それもひとつの立派な選択だろう。しかし、心変わりをしたときは、いつでも歓迎させてもらうよ。									……そうか。残念ではあるが、それもひとつの立派な選択だろう。しかし、心変わりをしたときは、いつでも歓迎させてもらうよ。	ラウバーンの決断
それじゃ、ヤ・シュトラとクルルは、このまま野戦病院に残って、怪我人の治療ね。リセは、アラミゴ解放軍との連絡役を頼めるかしら？									それじゃ、ヤ・シュトラとクルルは、このまま野戦病院に残って、怪我人の治療ね。リセは、アラミゴ解放軍との連絡役を頼めるかしら？	ラウバーンの決断
残りの面子は、メ・ナーゴといっしょに、エオルゼア同盟軍の本陣に向かいましょう。									残りの面子は、メ・ナーゴといっしょに、エオルゼア同盟軍の本陣に向かいましょう。	ラウバーンの決断
Forename、引き返すなら、ここが最後のチャンスだ。よくよく考えたうえで、もし協力してくれるのなら、表にいる私のところまで来てほしい。									Forename、引き返すなら、ここが最後のチャンスだ。よくよく考えたうえで、もし協力してくれるのなら、表にいる私のところまで来てほしい。	ラウバーンの決断
それぞれが、それぞれの理由と考えで動く。今の「暁」らしくていいんじゃないかしら？									それぞれが、それぞれの理由と考えで動く。今の「暁」らしくていいんじゃないかしら？	ラウバーンの決断
しばらく、忙しくなりそうだわ。ヤ・シュトラに負けないくらい、頑張らなくっちゃ！									しばらく、忙しくなりそうだわ。ヤ・シュトラに負けないくらい、頑張らなくっちゃ！	ラウバーンの決断
ルイゾワお祖父様は、エオルゼア同盟軍の軍師として、カルテノーの戦いに従軍したわ。ルヴェユール家は、帝国と戦う運命なのよ、きっとね……。									ルイゾワお祖父様は、エオルゼア同盟軍の軍師として、カルテノーの戦いに従軍したわ。ルヴェユール家は、帝国と戦う運命なのよ、きっとね……。	ラウバーンの決断
買い忘れた物があったら、酒保商人たちのところに行くといいですよ！									買い忘れた物があったら、酒保商人たちのところに行くといいですよ！	ラウバーンの決断
来てくれたか、Forename。いろいろと思うところはあっただろうが、よく決心してくれた。あらためて、よろしく頼むよ。									来てくれたか、Forename。いろいろと思うところはあっただろうが、よく決心してくれた。あらためて、よろしく頼むよ。	ラウバーンの決断
みなさん、それでは出発準備はよろしいですか？では、カストルム・オリエンスの「ラウバーン」局長のところへ、親書を届けに行きましょう……出発ッ！									みなさん、それでは出発準備はよろしいですか？では、カストルム・オリエンスの「ラウバーン」局長のところへ、親書を届けに行きましょう……出発ッ！	ラウバーンの決断
本格的な作戦に備え、リムサ・ロミンサより、派遣されてきた……。どうか、よろしく頼む！									本格的な作戦に備え、リムサ・ロミンサより、派遣されてきた……。どうか、よろしく頼む！	ラウバーンの決断
今回の遠征は、長丁場になるだろう。他国の組織とは、流儀も文化も違うからな……連携に支障が出ないように、対話を重ねなければなるまい。									今回の遠征は、長丁場になるだろう。他国の組織とは、流儀も文化も違うからな……連携に支障が出ないように、対話を重ねなければなるまい。	ラウバーンの決断
私は司令部付きの将校です。カヌ・エ様からは、ラウバーン局長をよく支えるよう、言付かっておりますよ。									私は司令部付きの将校です。カヌ・エ様からは、ラウバーン局長をよく支えるよう、言付かっておりますよ。	ラウバーンの決断
さっそくですが、森での行動に長けたレンジャーを、神勇隊や鬼哭隊から選抜して、混交林の偵察を厚くしました。帝国軍の動向を見逃したくはないですからね。									さっそくですが、森での行動に長けたレンジャーを、神勇隊や鬼哭隊から選抜して、混交林の偵察を厚くしました。帝国軍の動向を見逃したくはないですからね。	ラウバーンの決断
先の勝利で、アラミゴ解放軍との共同作戦も、問題なく可能であることが証明された。これは、大きな収穫と言えるだろう。									先の勝利で、アラミゴ解放軍との共同作戦も、問題なく可能であることが証明された。これは、大きな収穫と言えるだろう。	ラウバーンの決断
おぉ、貴様たちか……。アラミゴ解放軍から伝えたいことでも？									おぉ、貴様たちか……。アラミゴ解放軍から伝えたいことでも？	ラウバーンの決断
はい、コンラッド隊長の使者として来ました。ひとつの提案があるのですが、その前にまずは私たちの……アラミゴ解放軍の現状をお伝えします。									はい、コンラッド隊長の使者として来ました。ひとつの提案があるのですが、その前にまずは私たちの……アラミゴ解放軍の現状をお伝えします。	ラウバーンの決断
まず、隊長が進めていた連帯関係にある別部隊の勧誘ですが、こちらは順調に進展しており、すでに成果も出ています。いくつかの部隊が、同盟軍との共闘に同意しました。									まず、隊長が進めていた連帯関係にある別部隊の勧誘ですが、こちらは順調に進展しており、すでに成果も出ています。いくつかの部隊が、同盟軍との共闘に同意しました。	ラウバーンの決断
さらに「暁の血盟」のみなさんの協力もあり、新たな協力者の獲得も、少しずつ進みつつある状況です。									さらに「暁の血盟」のみなさんの協力もあり、新たな協力者の獲得も、少しずつ進みつつある状況です。	ラウバーンの決断
うむ、朗報だな。組織の立て直しに、ある程度の目処がついたと考えても？									うむ、朗報だな。組織の立て直しに、ある程度の目処がついたと考えても？	ラウバーンの決断
はい、コンラッド隊長も、そう考えています。そこでアラミゴ解放軍として、エオルゼア同盟軍に対して、カステッルム・ベロジナ攻略作戦の発動を提案します！									はい、コンラッド隊長も、そう考えています。そこでアラミゴ解放軍として、エオルゼア同盟軍に対して、カステッルム・ベロジナ攻略作戦の発動を提案します！	ラウバーンの決断
ベロジナ大橋は、交通の要衝……。アラミゴ解放のためには、いずれ攻略する必要があります。解放軍の準備が整ったのであれば……。									ベロジナ大橋は、交通の要衝……。アラミゴ解放のためには、いずれ攻略する必要があります。解放軍の準備が整ったのであれば……。	ラウバーンの決断
うむ、ためらう理由はないな。時間をかけるほど、帝国本国からの増援というリスクが高まる。									うむ、ためらう理由はないな。時間をかけるほど、帝国本国からの増援というリスクが高まる。	ラウバーンの決断
よかろう……アラミゴ解放軍からの提案を了承する。メ・ナーゴ殿は、急ぎラールガーズリーチに戻り、出撃準備を進めるよう伝えてくれ。									よかろう……アラミゴ解放軍からの提案を了承する。メ・ナーゴ殿は、急ぎラールガーズリーチに戻り、出撃準備を進めるよう伝えてくれ。	ラウバーンの決断
ピピンよ、貴様は直ちに偵察に向かい、カステッルム・ベロジナの防衛戦力を確認するのだ。その上で、攻略作戦の詳細を決定する！									ピピンよ、貴様は直ちに偵察に向かい、カステッルム・ベロジナの防衛戦力を確認するのだ。その上で、攻略作戦の詳細を決定する！	ラウバーンの決断
なら、私たちもピピン少闘将の偵察に同行するわ。いいでしょ、Forename？									なら、私たちもピピン少闘将の偵察に同行するわ。いいでしょ、Forename？	ラウバーンの決断
協力に感謝する。それでは、行動開始だ！									協力に感謝する。それでは、行動開始だ！	ラウバーンの決断
前回の作戦では、後衛に回っていたからな。次こそは、我ら黒渦団が前衛を務めたいものだ！									前回の作戦では、後衛に回っていたからな。次こそは、我ら黒渦団が前衛を務めたいものだ！	ラウバーンの決断
いよいよ、カステッルム・ベロジナの攻略ですか……。大きな戦いになるでしょうから、幻術士を中心とした、救護班を編成しなければなりませんね。									いよいよ、カステッルム・ベロジナの攻略ですか……。大きな戦いになるでしょうから、幻術士を中心とした、救護班を編成しなければなりませんね。	ラウバーンの決断
作戦の成功には、正確な情報が欠かせない。偵察を地味な任務と侮ってはいけないぞ？									作戦の成功には、正確な情報が欠かせない。偵察を地味な任務と侮ってはいけないぞ？	ラウバーンの決断
カステッルム・ベロジナを陥落させれば、アラミゴ攻略の足掛かりとして、利用することができる。この作戦の意義は大きいということだ。									カステッルム・ベロジナを陥落させれば、アラミゴ攻略の足掛かりとして、利用することができる。この作戦の意義は大きいということだ。	ラウバーンの決断
「カステッルム」とは、帝国軍における物資中継拠点を意味する。ここバエサルの長城とアラミゴ方面とを繋ぐ、補給基地といったところかな。									「カステッルム」とは、帝国軍における物資中継拠点を意味する。ここバエサルの長城とアラミゴ方面とを繋ぐ、補給基地といったところかな。	ラウバーンの決断
ラウバーン局長も、乗り気だったみたいね。前回の共同作戦の成功が、功を奏した……といったところかしら。今回も上手くいくように、私たちも協力していきましょう。									ラウバーン局長も、乗り気だったみたいね。前回の共同作戦の成功が、功を奏した……といったところかしら。今回も上手くいくように、私たちも協力していきましょう。	ラウバーンの決断
偵察隊を率いるピピン少闘将に、どこに向かうべきか、話を聞いてみなくちゃ……。									偵察隊を率いるピピン少闘将に、どこに向かうべきか、話を聞いてみなくちゃ……。	ラウバーンの決断
カストルム・オリエンスのピピンは、偵察任務の詳細を教えてくれるようだ。									カストルム・オリエンスのピピンは、偵察任務の詳細を教えてくれるようだ。	紅蓮の炎
ついにカステッルム・ベロジナ攻略作戦を展開することになった、エオルゼア同盟軍とアラミゴ解放軍。冒険者は、ピピン率いる偵察隊に加わることになった。ギラバニア辺境地帯のパイクフォールズにいる「ピピン」と話そう。									ついにカステッルム・ベロジナ攻略作戦を展開することになった、エオルゼア同盟軍とアラミゴ解放軍。冒険者は、ピピン率いる偵察隊に加わることになった。ギラバニア辺境地帯のパイクフォールズにいる「ピピン」と話そう。	紅蓮の炎
ピピンとともに偵察を始めたところ、ラールガーズリーチから火の手が上がった。急行する冒険者たちだったが、アラミゴ解放軍は、ゼノス・イェー・ガルヴァス率いる帝国軍によって、壊滅の危機にさらされていた。引き続き、ラールガーズリーチにて、この窮地を打開しよう。									ピピンとともに偵察を始めたところ、ラールガーズリーチから火の手が上がった。急行する冒険者たちだったが、アラミゴ解放軍は、ゼノス・イェー・ガルヴァス率いる帝国軍によって、壊滅の危機にさらされていた。引き続き、ラールガーズリーチにて、この窮地を打開しよう。	紅蓮の炎
どうにか負傷者を救助するも、ゼノスには太刀打ちできなかった……。ラールガーズリーチの「ラウバーン」と話そう。									どうにか負傷者を救助するも、ゼノスには太刀打ちできなかった……。ラールガーズリーチの「ラウバーン」と話そう。	紅蓮の炎
ラウバーンと話した。彼は惨状を嘆きつつも、打ちひしがれてはいないようだ。ともに立ち上がり、生存者を救護しよう。									ラウバーンと話した。彼は惨状を嘆きつつも、打ちひしがれてはいないようだ。ともに立ち上がり、生存者を救護しよう。	紅蓮の炎
ピピンと話す									ピピンと話す	紅蓮の炎
ラウバーンと話す									ラウバーンと話す	紅蓮の炎
生存者を救出しつつ前進せよ									生存者を救出しつつ前進せよ	紅蓮の炎
ゼノスの体力を削れ！									ゼノスの体力を削れ！	紅蓮の炎
前回の作戦では、後衛に回っていたからな。次こそは、我ら黒渦団が前衛を務めたいものだ！									前回の作戦では、後衛に回っていたからな。次こそは、我ら黒渦団が前衛を務めたいものだ！	紅蓮の炎
いよいよ、カステッルム・ベロジナの攻略ですか……。大きな戦いになるでしょうから、幻術士を中心とした、救護班を編成しなければなりませんね。									いよいよ、カステッルム・ベロジナの攻略ですか……。大きな戦いになるでしょうから、幻術士を中心とした、救護班を編成しなければなりませんね。	紅蓮の炎
偵察隊を率いるのは、ピピン少闘将よね。どこに向かうべきか、話を聞いてみなくちゃ……。									偵察隊を率いるのは、ピピン少闘将よね。どこに向かうべきか、話を聞いてみなくちゃ……。	紅蓮の炎
カステッルム・ベロジナを陥落させれば、アラミゴ攻略の足掛かりとして、利用することができる。この作戦の意義は大きいということだ。									カステッルム・ベロジナを陥落させれば、アラミゴ攻略の足掛かりとして、利用することができる。この作戦の意義は大きいということだ。	紅蓮の炎
「カステッルム」とは、帝国軍における物資中継拠点を意味する。ここバエサルの長城とアラミゴ方面とを繋ぐ、補給基地といったところかな。									「カステッルム」とは、帝国軍における物資中継拠点を意味する。ここバエサルの長城とアラミゴ方面とを繋ぐ、補給基地といったところかな。	紅蓮の炎
協力の申し出に感謝する。今回の偵察の目的は、先にも述べたとおり、敵防衛戦力の把握だ。									協力の申し出に感謝する。今回の偵察の目的は、先にも述べたとおり、敵防衛戦力の把握だ。	紅蓮の炎
