石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
……チャイ・ヌズ殿、よければ、何を求めてユールモアを離れたのか、お聞かせいただけませんか？									……チャイ・ヌズ殿、よければ、何を求めてユールモアを離れたのか、お聞かせいただけませんか？	君の話をしてくれないか
あなたが次期元首に推挙されたことは、聞いております。そして、ユールモアや周辺集落が抱える問題について、調査なされていたことも、足取りを追う中で知りました。									あなたが次期元首に推挙されたことは、聞いております。そして、ユールモアや周辺集落が抱える問題について、調査なされていたことも、足取りを追う中で知りました。	君の話をしてくれないか
つまりは……元首の座に就くにあたっての、事前調査ということですか？									つまりは……元首の座に就くにあたっての、事前調査ということですか？	君の話をしてくれないか
お、おい、結論を急がないでくれ……！									お、おい、結論を急がないでくれ……！	君の話をしてくれないか
私が事前調査をしていたのは、そのとおりだ。だが、私は「やれる」という確証を得られないのなら、何事も「やる」とは言えない性分なのだ。									私が事前調査をしていたのは、そのとおりだ。だが、私は「やれる」という確証を得られないのなら、何事も「やる」とは言えない性分なのだ。	君の話をしてくれないか
条件が整わないのであれば、元首への推挙を受けるつもりにはなれない。									条件が整わないのであれば、元首への推挙を受けるつもりにはなれない。	君の話をしてくれないか
条件、ですか……？アミティーまで足を運んだのも、そのためである、と？									条件、ですか……？アミティーまで足を運んだのも、そのためである、と？	君の話をしてくれないか
ああ……さまざまな立場の者に声をかけ、情報は集まった。ユールモアを立て直すために、手を貸してもいいという者も、数名だが、名乗り出てくれている。									ああ……さまざまな立場の者に声をかけ、情報は集まった。ユールモアを立て直すために、手を貸してもいいという者も、数名だが、名乗り出てくれている。	君の話をしてくれないか
あと、もうひとり……私が求める能力を持った者が協力を約束してくれれば、こんな私でも、元首らしいことができるかもしれないのだ……！									あと、もうひとり……私が求める能力を持った者が協力を約束してくれれば、こんな私でも、元首らしいことができるかもしれないのだ……！	君の話をしてくれないか
なるほど……。決断まで熟考を重ねる「慎重派」のあなただからこそ、その言葉を、心から信じることができます。									なるほど……。決断まで熟考を重ねる「慎重派」のあなただからこそ、その言葉を、心から信じることができます。	君の話をしてくれないか
今のユールモアには、自分で立ち上がる決断をした、あなたのような元首が必要です……。「もうひとり」の協力を取り付ける件、私にも手伝わせてください。									今のユールモアには、自分で立ち上がる決断をした、あなたのような元首が必要です……。「もうひとり」の協力を取り付ける件、私にも手伝わせてください。	君の話をしてくれないか
何と言う？									何と言う？	君の話をしてくれないか
自分も協力する									自分も協力する	君の話をしてくれないか
やっちゃえ、チャイ・ヌズ！									やっちゃえ、チャイ・ヌズ！	君の話をしてくれないか
お前たち……。									お前たち……。	君の話をしてくれないか
あの……何もできないかもしれないけど……俺も、どうかこのまま同行させてもらえませんか？									あの……何もできないかもしれないけど……俺も、どうかこのまま同行させてもらえませんか？	君の話をしてくれないか
Forenameさんとアルフィノさんのおかげで、チャイ・ヌズさんを見つけ出すことは叶いました。でも、このまま街に戻っても、俺……。									Forenameさんとアルフィノさんのおかげで、チャイ・ヌズさんを見つけ出すことは叶いました。でも、このまま街に戻っても、俺……。	君の話をしてくれないか
かつてのユールモアに持っていた「憧れ」は、ヴァウスリーの真実が明るみになることで消え失せました。なのに俺は……その次の、新しい目的を何も見つけられていない。									かつてのユールモアに持っていた「憧れ」は、ヴァウスリーの真実が明るみになることで消え失せました。なのに俺は……その次の、新しい目的を何も見つけられていない。	君の話をしてくれないか
俺がひとり、目的を失って空っぽのままでいる間にも……チャイ・ヌズさんは、ユールモアの未来を真剣に考え、厳しい意見にも耳をふさがず、前へ進もうとしています。									俺がひとり、目的を失って空っぽのままでいる間にも……チャイ・ヌズさんは、ユールモアの未来を真剣に考え、厳しい意見にも耳をふさがず、前へ進もうとしています。	君の話をしてくれないか
そして、その目的に間髪入れず「協力したい」と申し出た、アルフィノさんと、Forenameさん……。									そして、その目的に間髪入れず「協力したい」と申し出た、アルフィノさんと、Forenameさん……。	君の話をしてくれないか
そんなふうに、俺も自分のやりたいことを見つけて、強く宣言できるようになりたい……。だから、皆さんが新たな挑戦をしている姿を見ていたいんです。									そんなふうに、俺も自分のやりたいことを見つけて、強く宣言できるようになりたい……。だから、皆さんが新たな挑戦をしている姿を見ていたいんです。	君の話をしてくれないか
未知なる挑戦にともなう恐怖は、今も私を取り巻いている。そこまで言ってもらえるほど立派な心づもりでもないが……いずれにせよ、私に反対する理由はない。									未知なる挑戦にともなう恐怖は、今も私を取り巻いている。そこまで言ってもらえるほど立派な心づもりでもないが……いずれにせよ、私に反対する理由はない。	君の話をしてくれないか
チャイ・ヌズさん……おふたりも……。ありがとうございます……！									チャイ・ヌズさん……おふたりも……。ありがとうございます……！	君の話をしてくれないか
とはいえ、その挑戦も、実は頓挫の危機にあるのだがな……。肝心の「もうひとり」の協力を取り付けるのが、かなり難しそうなのだよ。									とはいえ、その挑戦も、実は頓挫の危機にあるのだがな……。肝心の「もうひとり」の協力を取り付けるのが、かなり難しそうなのだよ。	君の話をしてくれないか
というと……？まさか、求めていた協力者が、すでにアミティーを離れていたとでも？									というと……？まさか、求めていた協力者が、すでにアミティーを離れていたとでも？	君の話をしてくれないか
いや、集落にはいたのだが……先ほど声をかけたところ、ろくに話も聞いてもらえず、立ち去られてしまったのだ。									いや、集落にはいたのだが……先ほど声をかけたところ、ろくに話も聞いてもらえず、立ち去られてしまったのだ。	君の話をしてくれないか
その者の名は「レンデン」。ヴァウスリーの父が元首を務めていた頃、ユールモアで補佐官を務めていたという人物でな。									その者の名は「レンデン」。ヴァウスリーの父が元首を務めていた頃、ユールモアで補佐官を務めていたという人物でな。	君の話をしてくれないか
当時、政務を司っていた彼は、軍事を司るランジート将軍と共に、ユールモアの両腕と呼ばれるほど、活躍していたらしい。									当時、政務を司っていた彼は、軍事を司るランジート将軍と共に、ユールモアの両腕と呼ばれるほど、活躍していたらしい。	君の話をしてくれないか
企業経営やタロースの製造ならともかく、あいにく私は、政治については門外漢もいいところだ。レンデン殿を味方につけるのは、もはや必須条件と言っていい。									企業経営やタロースの製造ならともかく、あいにく私は、政治については門外漢もいいところだ。レンデン殿を味方につけるのは、もはや必須条件と言っていい。	君の話をしてくれないか
なるほど……一度、立ち去られてしまったのなら、このまま後を追いかけても、結果は変わらないでしょう。									なるほど……一度、立ち去られてしまったのなら、このまま後を追いかけても、結果は変わらないでしょう。	君の話をしてくれないか
まずは、同じアミティーに住む者に、レンデン氏の人となりを聞いて、策を練るのはいかがです？									まずは、同じアミティーに住む者に、レンデン氏の人となりを聞いて、策を練るのはいかがです？	君の話をしてくれないか
そうだな……！アミティーならば、私たちと面識がある「トリストル」がいる。話を聞いてみるか。									そうだな……！アミティーならば、私たちと面識がある「トリストル」がいる。話を聞いてみるか。	君の話をしてくれないか
この村の人たちは、己の足で立ち生きていくことを、自ら選んだんですよね……。									この村の人たちは、己の足で立ち生きていくことを、自ら選んだんですよね……。	君の話をしてくれないか
チャイ・ヌズ殿が、それほどまでに協力を乞う相手となれば、レンデン氏は、かなり優秀な人物なのだろうね。									チャイ・ヌズ殿が、それほどまでに協力を乞う相手となれば、レンデン氏は、かなり優秀な人物なのだろうね。	君の話をしてくれないか
トリストルに甘える資格などない私だが、ほかに頼れる相手も……いや、後ろ向きな発言はやめよう。未来へと進むため、誠心誠意、頼むだけだ。									トリストルに甘える資格などない私だが、ほかに頼れる相手も……いや、後ろ向きな発言はやめよう。未来へと進むため、誠心誠意、頼むだけだ。	君の話をしてくれないか
ご無沙汰しております、皆さん。用件はわかっています……先ほど、チャイ・ヌズ様が、レンデンさんに冷たくあしらわれているのを見ていましたから。									ご無沙汰しております、皆さん。用件はわかっています……先ほど、チャイ・ヌズ様が、レンデンさんに冷たくあしらわれているのを見ていましたから。	君の話をしてくれないか
ああ……そこで、こんなことを頼める立場じゃないんだが、レンデン殿のことを教えてくれないか……？ユールモアを立て直すために、彼の力が必要なんだ。									ああ……そこで、こんなことを頼める立場じゃないんだが、レンデン殿のことを教えてくれないか……？ユールモアを立て直すために、彼の力が必要なんだ。	君の話をしてくれないか
……よろしいでしょう。ユールモアに、より善くあってもらいたいという想いは、私とて同じですから。									……よろしいでしょう。ユールモアに、より善くあってもらいたいという想いは、私とて同じですから。	君の話をしてくれないか
レンデンさんは、とても厳格な方……。毅然とした態度を好み、意志の弱さを嫌うようです。									レンデンさんは、とても厳格な方……。毅然とした態度を好み、意志の弱さを嫌うようです。	君の話をしてくれないか
あなたが、ユールモアを離れた者に対して、負い目を感じていることは承知しています。過去を悔いることができるのは、素晴らしいことでしょう。									あなたが、ユールモアを離れた者に対して、負い目を感じていることは承知しています。過去を悔いることができるのは、素晴らしいことでしょう。	君の話をしてくれないか
ですが、控えめすぎる態度が、レンデンさんには、弱腰に見えたのかもしれません。彼の協力を得たいなら、己の主張を強く行う必要があるかと。									ですが、控えめすぎる態度が、レンデンさんには、弱腰に見えたのかもしれません。彼の協力を得たいなら、己の主張を強く行う必要があるかと。	君の話をしてくれないか
強い主張、か……。人を導こうというのなら、間違いなく必要なことだ。									強い主張、か……。人を導こうというのなら、間違いなく必要なことだ。	君の話をしてくれないか
レンデンさんは、北の八号坑口の方へ行かれたようです。あとは……率直な想いを、ぶつけるだけだと思いますよ。									レンデンさんは、北の八号坑口の方へ行かれたようです。あとは……率直な想いを、ぶつけるだけだと思いますよ。	君の話をしてくれないか
……よ、よし！「八号坑口」に向かい、レンデン殿に再度想いを訴えよう。毅然と、己の意思を強く示して、な……！									……よ、よし！「八号坑口」に向かい、レンデン殿に再度想いを訴えよう。毅然と、己の意思を強く示して、な……！	君の話をしてくれないか
レンデンさんは、「八号坑口」に……。ひとりで、自分の足で、この村を訪れたチャイ・ヌズ様なら、きっと大丈夫ですとも……。									レンデンさんは、「八号坑口」に……。ひとりで、自分の足で、この村を訪れたチャイ・ヌズ様なら、きっと大丈夫ですとも……。	君の話をしてくれないか
いかなる国を築くのか、市民が語れる国……。俺も、自分の望む生き方を見つけられたら、そんな国で暮らしてみたいです。									いかなる国を築くのか、市民が語れる国……。俺も、自分の望む生き方を見つけられたら、そんな国で暮らしてみたいです。	君の話をしてくれないか
たしかに、理想と理屈だけでは人は束ねられない。私は、それを嫌というほど、学んだ経験があるからこそ……レンデン氏の言葉に重みを感じるんだ。									たしかに、理想と理屈だけでは人は束ねられない。私は、それを嫌というほど、学んだ経験があるからこそ……レンデン氏の言葉に重みを感じるんだ。	君の話をしてくれないか
主義主張だけ立派でも、行動が伴わなければ意味がない。さて、彼はどうかな……。									主義主張だけ立派でも、行動が伴わなければ意味がない。さて、彼はどうかな……。	君の話をしてくれないか
……よし、聞かせてくれ。解決すべき問題とは、何なのだ？									……よし、聞かせてくれ。解決すべき問題とは、何なのだ？	君の話をしてくれないか
ユールモアに関する、先ほどのお前の見立ては正しい。そして、その中でも急務なのが「食料不足」の解消だ。									ユールモアに関する、先ほどのお前の見立ては正しい。そして、その中でも急務なのが「食料不足」の解消だ。	君の話をしてくれないか
ふむ……市民か否かを問わず、ユールモアでは、ヴァウスリーによって供給されるメオルに依存してきた。ほかの食材は、備蓄を切り崩すにしても早々に限界がくる……。									ふむ……市民か否かを問わず、ユールモアでは、ヴァウスリーによって供給されるメオルに依存してきた。ほかの食材は、備蓄を切り崩すにしても早々に限界がくる……。	君の話をしてくれないか
飢えは、容易に人を獣へと追い落とす……。このままでは、遅かれ早かれ内乱が起こるだろう。									飢えは、容易に人を獣へと追い落とす……。このままでは、遅かれ早かれ内乱が起こるだろう。	君の話をしてくれないか
この問題に、どのような対策を講じればよいか示してみろ。もちろん、助言はなしでな……。									この問題に、どのような対策を講じればよいか示してみろ。もちろん、助言はなしでな……。	君の話をしてくれないか
…………短期と長期、ふたつの対策が必要だろう。									…………短期と長期、ふたつの対策が必要だろう。	君の話をしてくれないか
ほう、具体的には……？									ほう、具体的には……？	君の話をしてくれないか
短期的には、溜め込んだ富を元手に交易を行い、当座の食料を外部より仕入れる。ただし、これは長期的な対策のための時間稼ぎ……。									短期的には、溜め込んだ富を元手に交易を行い、当座の食料を外部より仕入れる。ただし、これは長期的な対策のための時間稼ぎ……。	君の話をしてくれないか
解決策の本命となるのは、廃村や人口減少が著しいライト村などへの移住を支援し、食料生産を試みてもらうことだ。									解決策の本命となるのは、廃村や人口減少が著しいライト村などへの移住を支援し、食料生産を試みてもらうことだ。	君の話をしてくれないか
むろん、そのためには周辺の集落との関係改善や、地域の治安向上、移住希望者の募集など前提も多いが……。									むろん、そのためには周辺の集落との関係改善や、地域の治安向上、移住希望者の募集など前提も多いが……。	君の話をしてくれないか
…………なるほどな。その案は、自分で考えたのか？									…………なるほどな。その案は、自分で考えたのか？	君の話をしてくれないか
机上の空論ではあるがな。多くの人々から意見を聞いた結果、考えついた答えだ……。									机上の空論ではあるがな。多くの人々から意見を聞いた結果、考えついた答えだ……。	君の話をしてくれないか
…………おおむね、賛成だ。									…………おおむね、賛成だ。	君の話をしてくれないか
そ、そうか！　それは、よかった！私の考えは、そう的外れでもなかったようだな。									そ、そうか！　それは、よかった！私の考えは、そう的外れでもなかったようだな。	君の話をしてくれないか
しかし、移住者の募集ひとつとっても、お前の弁舌だけで、人を動かせるとは限らない。彼らに、どうやって移住後の未来を信じさせるつもりだ？									しかし、移住者の募集ひとつとっても、お前の弁舌だけで、人を動かせるとは限らない。彼らに、どうやって移住後の未来を信じさせるつもりだ？	君の話をしてくれないか
そちらについては、考えがある……！移住希望者には、労働タロースを貸し出すのだ。タロースがあれば、農業や漁業に関わる労働も劇的に楽になる！									そちらについては、考えがある……！移住希望者には、労働タロースを貸し出すのだ。タロースがあれば、農業や漁業に関わる労働も劇的に楽になる！	君の話をしてくれないか
なに……？だが、ダイダロス社はもはや生産設備を失っているはず。今から設備を整えていては、到底間に合うはずが……。									なに……？だが、ダイダロス社はもはや生産設備を失っているはず。今から設備を整えていては、到底間に合うはずが……。	君の話をしてくれないか
そのとおり……。だが、タロースに関しては私の専門分野だ。									そのとおり……。だが、タロースに関しては私の専門分野だ。	君の話をしてくれないか
私の知識と記憶、そしてほんのひとさじ、「立会人」に手を貸してもらえれば、その不可能も可能にできるはずだ！									私の知識と記憶、そしてほんのひとさじ、「立会人」に手を貸してもらえれば、その不可能も可能にできるはずだ！	君の話をしてくれないか
八号坑口のチャイ・ヌズは、労働タロースの確保について考えがあるようだ。									八号坑口のチャイ・ヌズは、労働タロースの確保について考えがあるようだ。	タロースを確保せよ！
タロースを確保するには、ある道具が必要になるようだ。コルシア島のトップラングで「チャイ・ヌズ」と話そう。									タロースを確保するには、ある道具が必要になるようだ。コルシア島のトップラングで「チャイ・ヌズ」と話そう。	タロースを確保せよ！
チャイ・ヌズがタロースに近づけるよう、魔物に気づかれないタイミングで合図を送ることになった。コルシア島のクイックウェイにある「指定地点」から、チャイ・ヌズが進むルートを指示しよう。									チャイ・ヌズがタロースに近づけるよう、魔物に気づかれないタイミングで合図を送ることになった。コルシア島のクイックウェイにある「指定地点」から、チャイ・ヌズが進むルートを指示しよう。	タロースを確保せよ！
無事、タロースの機能を停止させることに成功した。クイックウェイの「チャイ・ヌズ」と話そう。									無事、タロースの機能を停止させることに成功した。クイックウェイの「チャイ・ヌズ」と話そう。	タロースを確保せよ！
タロースとともに、チャイ・ヌズがユールモアへと帰還した。コルシア島のゲートタウンで「レンデン」と話そう。									タロースとともに、チャイ・ヌズがユールモアへと帰還した。コルシア島のゲートタウンで「レンデン」と話そう。	タロースを確保せよ！
レンデンと話した。彼は、チャイ・ヌズが元首となることを知らしめる就任挨拶に挑みたいようだ。									レンデンと話した。彼は、チャイ・ヌズが元首となることを知らしめる就任挨拶に挑みたいようだ。	タロースを確保せよ！
チャイ・ヌズと話す									チャイ・ヌズと話す	タロースを確保せよ！
指定地点から、チャイ・ヌズに合図を送る									指定地点から、チャイ・ヌズに合図を送る	タロースを確保せよ！
チャイ・ヌズと話す									チャイ・ヌズと話す	タロースを確保せよ！
ゲートタウンのレンデンと話す									ゲートタウンのレンデンと話す	タロースを確保せよ！
己の目的に対して、何をすればいいのか……。チャイ・ヌズさんは、入念な聞き込みと過去の経験から、あの答えを導き出したんですね！									己の目的に対して、何をすればいいのか……。チャイ・ヌズさんは、入念な聞き込みと過去の経験から、あの答えを導き出したんですね！	タロースを確保せよ！
初めてユールモアで会ったときから比べると、チャイ・ヌズ殿の眼の輝きが違う……。そう思わないかい？									初めてユールモアで会ったときから比べると、チャイ・ヌズ殿の眼の輝きが違う……。そう思わないかい？	タロースを確保せよ！
タロースか……そういえば、ヴァウスリーを追うために、ユールモアの民も含め、様々な地域の者たちで、巨大タロースをこさえたそうだな。									タロースか……そういえば、ヴァウスリーを追うために、ユールモアの民も含め、様々な地域の者たちで、巨大タロースをこさえたそうだな。	タロースを確保せよ！
ユールモアの連中の顔など見たくなかったのでな。下から人が現れたと聞いて、ここの小屋に潜んでいたのだが……さては、そこで「闇の戦士」に協力したのも、チャイ・ヌズだな？									ユールモアの連中の顔など見たくなかったのでな。下から人が現れたと聞いて、ここの小屋に潜んでいたのだが……さては、そこで「闇の戦士」に協力したのも、チャイ・ヌズだな？	タロースを確保せよ！
さて、労働タロースの確保だが、レンデン殿の言うとおり、いちから生産しても間に合わん。									さて、労働タロースの確保だが、レンデン殿の言うとおり、いちから生産しても間に合わん。	タロースを確保せよ！
ならば、現在起動しているタロースを使えばいい……！すなわち、この付近を徘徊している、制御を失ったタロースを捕獲し、再利用するのだ！									ならば、現在起動しているタロースを使えばいい……！すなわち、この付近を徘徊している、制御を失ったタロースを捕獲し、再利用するのだ！	タロースを確保せよ！
そのためには、ある道具が必要になる。確か「トップラング」に残っていたはずなのだが……ひとまず、ついてきてくれ！									そのためには、ある道具が必要になる。確か「トップラング」に残っていたはずなのだが……ひとまず、ついてきてくれ！	タロースを確保せよ！
再利用ってことは、タロースを壊しちゃいけないんですよね。じゃあ、落とし穴でも仕掛けて……って、穴を掘ってる間に襲われちゃうか。									再利用ってことは、タロースを壊しちゃいけないんですよね。じゃあ、落とし穴でも仕掛けて……って、穴を掘ってる間に襲われちゃうか。	タロースを確保せよ！
アム・アレーンでは、停止したタロースを修復したそうだが、今回は暴走状態にある個体を、制御下に戻す必要がある。当然、危険度はより高くなるだろうね。									アム・アレーンでは、停止したタロースを修復したそうだが、今回は暴走状態にある個体を、制御下に戻す必要がある。当然、危険度はより高くなるだろうね。	タロースを確保せよ！
自らの得意分野を武器に、解決に導くか……。さて、しばらくは傍観者に徹させてもらうぞ。									自らの得意分野を武器に、解決に導くか……。さて、しばらくは傍観者に徹させてもらうぞ。	タロースを確保せよ！
ふふふ……私の記憶は確かだった。まだ残っていたぞ、ダイダロス社製「絶霊玉」！									ふふふ……私の記憶は確かだった。まだ残っていたぞ、ダイダロス社製「絶霊玉」！	タロースを確保せよ！
エーテル伝導率が低い「絶霊体」の粉末が詰まった玉でな。タロースが暴走していたとしても、こいつをぶつけられれば、エーテルの流れを絶ち、機能を停止させられるのだ。									エーテル伝導率が低い「絶霊体」の粉末が詰まった玉でな。タロースが暴走していたとしても、こいつをぶつけられれば、エーテルの流れを絶ち、機能を停止させられるのだ。	タロースを確保せよ！
なるほど！それがあれば、戦闘の必要もなく、無傷のままタロースを捕獲できますね。									なるほど！それがあれば、戦闘の必要もなく、無傷のままタロースを捕獲できますね。	タロースを確保せよ！
ああ、捕獲が叶えば、ユールモアまで向かうよう、命令を与え直すだけだ。細かい調整は、その後にじっくりやればいい。									ああ、捕獲が叶えば、ユールモアまで向かうよう、命令を与え直すだけだ。細かい調整は、その後にじっくりやればいい。	タロースを確保せよ！
お前たちのような戦闘に長けた者が、いつまでも、手を貸してくれるわけではない……。									お前たちのような戦闘に長けた者が、いつまでも、手を貸してくれるわけではない……。	タロースを確保せよ！
だからこそ、この「絶霊玉」が活躍するのだ。これなら、私のような、戦闘を不得手とする者でも、タロース捕獲に繰り出せる！									だからこそ、この「絶霊玉」が活躍するのだ。これなら、私のような、戦闘を不得手とする者でも、タロース捕獲に繰り出せる！	タロースを確保せよ！
チャイ・ヌズさん、まさか自分で絶霊玉をタロースに……？									チャイ・ヌズさん、まさか自分で絶霊玉をタロースに……？	タロースを確保せよ！
駄目ですよ、危険な役目には変わりないんだ！だったら、俺が……！									駄目ですよ、危険な役目には変わりないんだ！だったら、俺が……！	タロースを確保せよ！
レンデン殿に課題を与えられたのは、私だ。実行役を他人に任せて、安全なところになどいられん。お前たちに頼みたいのは、あくまで少しの支援のみ。									レンデン殿に課題を与えられたのは、私だ。実行役を他人に任せて、安全なところになどいられん。お前たちに頼みたいのは、あくまで少しの支援のみ。	タロースを確保せよ！
……もちろん、怖いさ。こんな無茶、石橋を叩いてきた私の人生で、初めての経験だからな……。									……もちろん、怖いさ。こんな無茶、石橋を叩いてきた私の人生で、初めての経験だからな……。	タロースを確保せよ！
だが、人々の先頭に立とうというのだ……！後方から巨大タロースが立ち上がるのを見守っていたときとは、状況が違うだろう？									だが、人々の先頭に立とうというのだ……！後方から巨大タロースが立ち上がるのを見守っていたときとは、状況が違うだろう？	タロースを確保せよ！
チャイ・ヌズ殿……。									チャイ・ヌズ殿……。	タロースを確保せよ！
何と言う？									何と言う？	タロースを確保せよ！
全力で支援する									全力で支援する	タロースを確保せよ！
危なくなったら、すぐ逃げて									危なくなったら、すぐ逃げて	タロースを確保せよ！
ああ……！勇気こそ振り絞ったが、命まで失うつもりはない。私が危険な目に遭わぬよう、どうか手を貸してくれ。									ああ……！勇気こそ振り絞ったが、命まで失うつもりはない。私が危険な目に遭わぬよう、どうか手を貸してくれ。	タロースを確保せよ！
頼みたいのは、タロースに近づくタイミングの指示だ。望遠鏡を貸すので、絶霊玉が届く距離まで、周囲の魔物に気づかれず近づけるよう合図を送ってほしい。									頼みたいのは、タロースに近づくタイミングの指示だ。望遠鏡を貸すので、絶霊玉が届く距離まで、周囲の魔物に気づかれず近づけるよう合図を送ってほしい。	タロースを確保せよ！
よし……Forename、指示は任せた。「クイックウェイ」の見通しのいい場所に陣取ってくれ。									よし……Forename、指示は任せた。「クイックウェイ」の見通しのいい場所に陣取ってくれ。	タロースを確保せよ！
自分でやるから意義がある、か……。そんな無茶ができるのも、チャイ・ヌズさんが、ユールモアをそれだけ想っているからこそなんだよな……。									自分でやるから意義がある、か……。そんな無茶ができるのも、チャイ・ヌズさんが、ユールモアをそれだけ想っているからこそなんだよな……。	タロースを確保せよ！
この場合、誘導役はひとりに絞るべきだろう。私は口をつぐむことにするので、チャイ・ヌズ殿が危険な目に遭わぬよう頼んだよ。									この場合、誘導役はひとりに絞るべきだろう。私は口をつぐむことにするので、チャイ・ヌズ殿が危険な目に遭わぬよう頼んだよ。	タロースを確保せよ！
……面白い男だな。妙に自信がなさそうな態度を取ったと思えば、己を危険にさらす策を実行する胆力を発揮するとは。									……面白い男だな。妙に自信がなさそうな態度を取ったと思えば、己を危険にさらす策を実行する胆力を発揮するとは。	タロースを確保せよ！
よ、よし……足の震えは止まらないし、ものすごく手に汗をかいているが、私は準備万端だ……！お前さえよければ、いつでも行けるぞー……！									よ、よし……足の震えは止まらないし、ものすごく手に汗をかいているが、私は準備万端だ……！お前さえよければ、いつでも行けるぞー……！	タロースを確保せよ！
チャイ・ヌズの誘導を開始します。タロースや周囲の魔物に気づかれないタイミングで、「チャイ・ヌズ」に向けて左クリック[???]ボタン/[???]ボタンで合図を送りましょう。									チャイ・ヌズの誘導を開始します。タロースや周囲の魔物に気づかれないタイミングで、「チャイ・ヌズ」に向けて左クリック[???]ボタン/[???]ボタンで合図を送りましょう。	タロースを確保せよ！
お、おお……！　成功だ！この調子で、次のタロースも停止させるぞ！									お、おお……！　成功だ！この調子で、次のタロースも停止させるぞ！	タロースを確保せよ！
よし……上手くいっているぞ！あと、もう1体、停止させれば、ひとまず必要な体数は確保できるだろう！									よし……上手くいっているぞ！あと、もう1体、停止させれば、ひとまず必要な体数は確保できるだろう！	タロースを確保せよ！
Forenameのおかげで、タロースに近づくタイミングも、だいぶ掴めてきた……。この調子で、最後のタロース捕獲に挑むぞ！									Forenameのおかげで、タロースに近づくタイミングも、だいぶ掴めてきた……。この調子で、最後のタロース捕獲に挑むぞ！	タロースを確保せよ！
やった……やったぞ……！これだけタロースがあれば、私の計画が実現できる！									やった……やったぞ……！これだけタロースがあれば、私の計画が実現できる！	タロースを確保せよ！
熟考を重ねた上で、導き出された唯一の道。その道を進むために必要な危険も受け入れて……チャイ・ヌズさんの覚悟が、この結果を生んだんだ……！									熟考を重ねた上で、導き出された唯一の道。その道を進むために必要な危険も受け入れて……チャイ・ヌズさんの覚悟が、この結果を生んだんだ……！	タロースを確保せよ！
チャイ・ヌズ殿が怪我でもしたら、救出に走ろうと身構えていたが、その必要もなく安心したよ。									チャイ・ヌズ殿が怪我でもしたら、救出に走ろうと身構えていたが、その必要もなく安心したよ。	タロースを確保せよ！
……初対面のとき、彼にくだした評価は、完全に間違っていたようだな。									……初対面のとき、彼にくだした評価は、完全に間違っていたようだな。	タロースを確保せよ！
自分でも信じられないが……いや、もちろん皆の力を借りての成果でもあるんだが……。									自分でも信じられないが……いや、もちろん皆の力を借りての成果でもあるんだが……。	タロースを確保せよ！
私が…………やったんだな。									私が…………やったんだな。	タロースを確保せよ！
チャイ・ヌズ……いや、チャイ・ヌズ殿。これまでの無礼をお詫びしたい。									チャイ・ヌズ……いや、チャイ・ヌズ殿。これまでの無礼をお詫びしたい。	タロースを確保せよ！
熟考を重ねて導き出した解決策。ダイダロス社の社長としての知識と経験。そして、闇の戦士までもが力を貸すだけの人柄……。									熟考を重ねて導き出した解決策。ダイダロス社の社長としての知識と経験。そして、闇の戦士までもが力を貸すだけの人柄……。	タロースを確保せよ！
あなたは、まごうことなく、ユールモアの元首にふさわしい男だ。									あなたは、まごうことなく、ユールモアの元首にふさわしい男だ。	タロースを確保せよ！
……ありがとう。だが、私はまだまだ臆病で弱腰な未熟者だ。									……ありがとう。だが、私はまだまだ臆病で弱腰な未熟者だ。	タロースを確保せよ！
だから、私が元首としての務めを果たせるよう、レンデン殿の力を貸してほしい。									だから、私が元首としての務めを果たせるよう、レンデン殿の力を貸してほしい。	タロースを確保せよ！
謹んで、お受けしよう。私が提示した問題に、見事な回答を示したあなたに、従わぬ理由など、どこにもない。									謹んで、お受けしよう。私が提示した問題に、見事な回答を示したあなたに、従わぬ理由など、どこにもない。	タロースを確保せよ！
これら、労働タロースという新たな力を目にすれば、人々の中から、あなたの政策に従う者も現れるだろう。									これら、労働タロースという新たな力を目にすれば、人々の中から、あなたの政策に従う者も現れるだろう。	タロースを確保せよ！
熟考を重ねる元首と、それを補佐する厳格なる熟練官僚。ユールモアの新たな出発を導くに、これ以上ないほど、ふさわしいふたりだと思わないかい？									熟考を重ねる元首と、それを補佐する厳格なる熟練官僚。ユールモアの新たな出発を導くに、これ以上ないほど、ふさわしいふたりだと思わないかい？	タロースを確保せよ！
それじゃ、はやいとこタロースを、ユールモアへ向かうよう調整しましょう！ドゥリア夫人が、今か今かと帰りを待ってるはずです。									それじゃ、はやいとこタロースを、ユールモアへ向かうよう調整しましょう！ドゥリア夫人が、今か今かと帰りを待ってるはずです。	タロースを確保せよ！
結局、みんなの後をついてまわるだけでしたけど……ユールモアや自分のことを、たくさん考えられました。漠然としていた自分の気持ちも、少し見えてきた気がします。									結局、みんなの後をついてまわるだけでしたけど……ユールモアや自分のことを、たくさん考えられました。漠然としていた自分の気持ちも、少し見えてきた気がします。	タロースを確保せよ！
さあ、ユールモアの新たな門出だ！今はまだ、荒れ野を手探りで進んでいくしかないだろう。しかし、彼らならきっと自分たちで道を切り拓くさ……！									さあ、ユールモアの新たな門出だ！今はまだ、荒れ野を手探りで進んでいくしかないだろう。しかし、彼らならきっと自分たちで道を切り拓くさ……！	タロースを確保せよ！
