フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
ひゃあっ！お　おこらないーで！ボク　ヒトに　おはなしーが……									ひゃあっ！お　おこらないーで！ボク　ヒトに　おはなしーが……	コボルド騒動！
あの……その……ううう…………あううううううう……！！									あの……その……ううう…………あううううううう……！！	コボルド騒動！
どうしよう　どうしよーう……お話　しなくちゃ　いけないのーに……。									どうしよう　どうしよーう……お話　しなくちゃ　いけないのーに……。	コボルド騒動！
さ　さ　さっきのヒト……！！									さ　さ　さっきのヒト……！！	コボルド騒動！
お　お願いだーよ……わるいことしないから　乱暴しないーで……！ボク　ヒトにお話があるだけなーの……！									お　お願いだーよ……わるいことしないから　乱暴しないーで……！ボク　ヒトにお話があるだけなーの……！	コボルド騒動！
Forename！もしかして、その小さいのが……？									Forename！もしかして、その小さいのが……？	コボルド騒動！
そうかそうか、侵入者確保か！さすがの手並みといったところだな、ありがとうよ！									そうかそうか、侵入者確保か！さすがの手並みといったところだな、ありがとうよ！	コボルド騒動！
さぁて、コボルド族のチビよ。オレたちのキャンプでコソコソして、何のつもりだ？白黒はっきりつけようじゃねぇか。									さぁて、コボルド族のチビよ。オレたちのキャンプでコソコソして、何のつもりだ？白黒はっきりつけようじゃねぇか。	コボルド騒動！
ボク　なんにも　してないーよ！ヒトに　お願いがあってきたけーど……みんな　ボクを見ると怒るし　怖くって……。									ボク　なんにも　してないーよ！ヒトに　お願いがあってきたけーど……みんな　ボクを見ると怒るし　怖くって……。	コボルド騒動！
ふむ、何か事情がありそうだ。……君の名前は？									ふむ、何か事情がありそうだ。……君の名前は？	コボルド騒動！
(-ガ・ブ-)ガ・ブ！　ガ・ブ！仕事はまだないけーど、第620洞穴団のイチインだーよ！									(-ガ・ブ-)ガ・ブ！　ガ・ブ！仕事はまだないけーど、第620洞穴団のイチインだーよ！	コボルド騒動！
そうか、よろしく、ガ・ブ。私はアルフィノ……隣のよく似ているのが、妹のアリゼーという。									そうか、よろしく、ガ・ブ。私はアルフィノ……隣のよく似ているのが、妹のアリゼーという。	コボルド騒動！
そして、君を見つけたのが、Forenameさ。									そして、君を見つけたのが、Forenameさ。	コボルド騒動！
君が物資を奪いにきた悪いコボルド族でないのなら、その「お願い」とやらを、聞かせてはくれないだろうか？									君が物資を奪いにきた悪いコボルド族でないのなら、その「お願い」とやらを、聞かせてはくれないだろうか？	コボルド騒動！
(-ガ・ブ-)えっと……それーは…………あの……えっとね…………。									(-ガ・ブ-)えっと……それーは…………あの……えっとね…………。	コボルド騒動！
別に、いきなり殴りかかったりしないわよ。……大丈夫だから、話してみなさい。									別に、いきなり殴りかかったりしないわよ。……大丈夫だから、話してみなさい。	コボルド騒動！
(-ガ・ブ-)内緒だけど……ヒトって　タイタンさーまの神降ろし　止めたんでーしょ？だから　だから　また止めてほしいーの！									(-ガ・ブ-)内緒だけど……ヒトって　タイタンさーまの神降ろし　止めたんでーしょ？だから　だから　また止めてほしいーの！	コボルド騒動！
(-ガ・ブ-)ボクの　おとうさーんと　おかあさーん司祭さーまに　連れていかれちゃったの……「ニエ」にするって　いってたーよ。									(-ガ・ブ-)ボクの　おとうさーんと　おかあさーん司祭さーまに　連れていかれちゃったの……「ニエ」にするって　いってたーよ。	コボルド騒動！
(-ガ・ブ-)「ニエ」ってお仕事　わからないけーど神降ろしあると　帰れないらしいーの……ボク　とっても寂しいーよ……。									(-ガ・ブ-)「ニエ」ってお仕事　わからないけーど神降ろしあると　帰れないらしいーの……ボク　とっても寂しいーよ……。	コボルド騒動！
ニエ……生贄ということか……？信徒にするのではなく……？									ニエ……生贄ということか……？信徒にするのではなく……？	コボルド騒動！
……以前、聞いたことがあるわ。信徒の骨を使って、特殊な「祭器」を作ることで、蛮神の力を強めることができると……。									……以前、聞いたことがあるわ。信徒の骨を使って、特殊な「祭器」を作ることで、蛮神の力を強めることができると……。	コボルド騒動！
……ッ……なんておぞましい……。									……ッ……なんておぞましい……。	コボルド騒動！
(-ガ・ブ-)ふたりを返してって　みんなにお願いしてーもみんな　ボクの声が聞こえないみたいなーの……。なんだか変で　とっても怖いーの……。									(-ガ・ブ-)ふたりを返してって　みんなにお願いしてーもみんな　ボクの声が聞こえないみたいなーの……。なんだか変で　とっても怖いーの……。	コボルド騒動！
(-ガ・ブ-)タイタンさーまより　おとうさーんに　会いたいよーう……！おねがーい　ボク　お手伝いするかーら神降ろしを　おわりにしーて！									(-ガ・ブ-)タイタンさーまより　おとうさーんに　会いたいよーう……！おねがーい　ボク　お手伝いするかーら神降ろしを　おわりにしーて！	コボルド騒動！
この件を、至急メルウィブ提督に連絡してくれないか。万一のときには、黒渦団にも出動を願いたい。									この件を、至急メルウィブ提督に連絡してくれないか。万一のときには、黒渦団にも出動を願いたい。	コボルド騒動！
それまでは、我々が、この件の対応を引き受けよう。……くれぐれも、コボルド族をむやみに刺激しないよう、内密に準備を進めてほしいと伝えてくれ。									それまでは、我々が、この件の対応を引き受けよう。……くれぐれも、コボルド族をむやみに刺激しないよう、内密に準備を進めてほしいと伝えてくれ。	コボルド騒動！
了解だ。ったく、ろくでもない話になってきやがった……。お前らも、くれぐれも気を付けてくれよ。									了解だ。ったく、ろくでもない話になってきやがった……。お前らも、くれぐれも気を付けてくれよ。	コボルド騒動！
蛮族が蛮神に力を与えるために作る「祭器」は、好事家に高値で取引されていると聞いたわ。こうして噂が実体を持つと……最悪の気分ね。									蛮族が蛮神に力を与えるために作る「祭器」は、好事家に高値で取引されていると聞いたわ。こうして噂が実体を持つと……最悪の気分ね。	コボルド騒動！
仲間のみんなに　お願いしたけーどだれも　お話　聞いてくれないーの……。だから　怖いけど　ヒトのところにきたんだーよ。									仲間のみんなに　お願いしたけーどだれも　お話　聞いてくれないーの……。だから　怖いけど　ヒトのところにきたんだーよ。	コボルド騒動！
上には連絡を入れておく。お前らも、くれぐれも気を付けてくれよ。									上には連絡を入れておく。お前らも、くれぐれも気を付けてくれよ。	コボルド騒動！
「祭器」を用意しようとしているくらいだ……神降ろしの準備は、進められていると見て間違いないだろう。									「祭器」を用意しようとしているくらいだ……神降ろしの準備は、進められていると見て間違いないだろう。	コボルド騒動！
だが、アシエンたちの思い通りにはさせない……！必ずや、蛮神「タイタン」召喚を阻止するんだ。ガ・ブの両親も、無事でいてくれるといいのだが……。									だが、アシエンたちの思い通りにはさせない……！必ずや、蛮神「タイタン」召喚を阻止するんだ。ガ・ブの両親も、無事でいてくれるといいのだが……。	コボルド騒動！
とにかく、時間がなさそうだ。ガ・ブからさらに詳しい話を聞いて、対策を考えよう。									とにかく、時間がなさそうだ。ガ・ブからさらに詳しい話を聞いて、対策を考えよう。	コボルド騒動！
キャンプ・オーバールックのガ・ブは、そわそわしているようだ。									キャンプ・オーバールックのガ・ブは、そわそわしているようだ。	岩神を喚ぶ声
ガ・ブが、クリスタルの保管場所へ誘導してくれることになった。外地ラノシアのアイアンレイクにいる「ガ・ブ」と話そう。									ガ・ブが、クリスタルの保管場所へ誘導してくれることになった。外地ラノシアのアイアンレイクにいる「ガ・ブ」と話そう。	岩神を喚ぶ声
ガ・ブと話した。アイアンレイクの「召喚用クリスタル」を入手しよう。									ガ・ブと話した。アイアンレイクの「召喚用クリスタル」を入手しよう。	岩神を喚ぶ声
召喚用クリスタルを入手した。アイアンレイクにある、2つ目の「召喚用クリスタル」を入手しよう。									召喚用クリスタルを入手した。アイアンレイクにある、2つ目の「召喚用クリスタル」を入手しよう。	岩神を喚ぶ声
2つ目の召喚用クリスタルを入手した。クリスタルは、イシュガルドから運び込まれたもののようだ。さらに召喚用クリスタルを探すため、アイアンレイクの「指定地点」で見渡そう。									2つ目の召喚用クリスタルを入手した。クリスタルは、イシュガルドから運び込まれたもののようだ。さらに召喚用クリスタルを探すため、アイアンレイクの「指定地点」で見渡そう。	岩神を喚ぶ声
召喚用クリスタルは見当たらなかった。クリスタルを追って火口神殿に向かう前に、アイアンレイクの「アルフィノ」に「召喚用クリスタル」を渡そう。									召喚用クリスタルは見当たらなかった。クリスタルを追って火口神殿に向かう前に、アイアンレイクの「アルフィノ」に「召喚用クリスタル」を渡そう。	岩神を喚ぶ声
アルフィノに、召喚用クリスタルを渡した。外地ラノシアのウ・ガマロ武装鉱山にいる「アリゼー」と話し、火口神殿に向かおう。									アルフィノに、召喚用クリスタルを渡した。外地ラノシアのウ・ガマロ武装鉱山にいる「アリゼー」と話し、火口神殿に向かおう。	岩神を喚ぶ声
火口神殿に突入した。時すでに遅く、ガ・ブの両親は殺されており、ガ・ブの悲しみから蛮神「タイタン」が召喚されてしまった。ウ・ガマロ武装鉱山の「アルフィノ」と話そう。									火口神殿に突入した。時すでに遅く、ガ・ブの両親は殺されており、ガ・ブの悲しみから蛮神「タイタン」が召喚されてしまった。ウ・ガマロ武装鉱山の「アルフィノ」と話そう。	岩神を喚ぶ声
アルフィノから、ガ・ブのためにも、蛮神「タイタン」を討つことを依頼された。「真タイタン討滅戦」を攻略しよう。※コンテンツファインダーから攻略に参加できます。									アルフィノから、ガ・ブのためにも、蛮神「タイタン」を討つことを依頼された。「真タイタン討滅戦」を攻略しよう。※コンテンツファインダーから攻略に参加できます。	岩神を喚ぶ声
ガ・ブが喚び出した、蛮神「タイタン」を討った。キャンプ・オーバールックの「アルフィノ」と話そう。									ガ・ブが喚び出した、蛮神「タイタン」を討った。キャンプ・オーバールックの「アルフィノ」と話そう。	岩神を喚ぶ声
アルフィノに声をかけ、蛮神討伐を労われた。一方、神降ろしを行ってしまったガ・ブは、一言も口にしない状態が続いているらしい。元気なガ・ブに戻る日は来るのだろうか……。									アルフィノに声をかけ、蛮神討伐を労われた。一方、神降ろしを行ってしまったガ・ブは、一言も口にしない状態が続いているらしい。元気なガ・ブに戻る日は来るのだろうか……。	岩神を喚ぶ声
ガ・ブと話す									ガ・ブと話す	岩神を喚ぶ声
召喚用クリスタルを入手									召喚用クリスタルを入手	岩神を喚ぶ声
2つ目の召喚用クリスタルを入手									2つ目の召喚用クリスタルを入手	岩神を喚ぶ声
指定地点で召喚用クリスタルを探す									指定地点で召喚用クリスタルを探す	岩神を喚ぶ声
アルフィノに召喚用クリスタルを渡す									アルフィノに召喚用クリスタルを渡す	岩神を喚ぶ声
アリゼーと話す									アリゼーと話す	岩神を喚ぶ声
アルフィノと話す									アルフィノと話す	岩神を喚ぶ声
「真タイタン討滅戦」を攻略									「真タイタン討滅戦」を攻略	岩神を喚ぶ声
キャンプ・オーバールック付近のアルフィノと話す									キャンプ・オーバールック付近のアルフィノと話す	岩神を喚ぶ声
ガ・ブの両親も、無事でいてくれるといいのだが……。とにかく、時間がなさそうだ。									ガ・ブの両親も、無事でいてくれるといいのだが……。とにかく、時間がなさそうだ。	岩神を喚ぶ声
蛮族が蛮神に力を与えるために作る「祭器」は、好事家に高値で取引されていると聞いたわ。こうして噂が実体を持つと……最悪の気分ね。									蛮族が蛮神に力を与えるために作る「祭器」は、好事家に高値で取引されていると聞いたわ。こうして噂が実体を持つと……最悪の気分ね。	岩神を喚ぶ声
えと　えーっと　Forename……？いっしょに来てくれるーの　ありがとーう！									えと　えーっと　Forename……？いっしょに来てくれるーの　ありがとーう！	岩神を喚ぶ声
ボクね　知ってるーよ。タイタンさーま呼ぶのには　クリスタルがいるんでーしょ？みんなで　たくさん　運んでたーよ。									ボクね　知ってるーよ。タイタンさーま呼ぶのには　クリスタルがいるんでーしょ？みんなで　たくさん　運んでたーよ。	岩神を喚ぶ声
そこまで準備が進んでいるのか……。ガ・ブ、そのクリスタルは、今どこへ？									そこまで準備が進んでいるのか……。ガ・ブ、そのクリスタルは、今どこへ？	岩神を喚ぶ声
えっへん！ボク　場所　知ってるーよ！いろんな洞穴団が　ブンタンして持ってるーの。									えっへん！ボク　場所　知ってるーよ！いろんな洞穴団が　ブンタンして持ってるーの。	岩神を喚ぶ声
ボクひとりじゃ　怖かったけーどヒトがいっしょなーら　クリスタル盗めーる……神降ろしも　なくなーる！									ボクひとりじゃ　怖かったけーどヒトがいっしょなーら　クリスタル盗めーる……神降ろしも　なくなーる！	岩神を喚ぶ声
行こう　行こーう！まずは　ひとつめ　案内するーよ！									行こう　行こーう！まずは　ひとつめ　案内するーよ！	岩神を喚ぶ声
まさに敵陣の最中だな……。周囲は私たちが見ておくから、君はクリスタルを！									まさに敵陣の最中だな……。周囲は私たちが見ておくから、君はクリスタルを！	岩神を喚ぶ声
まったく……襲い掛かる素振りを見せた奴から、そいつらみたいにブッ飛ばしてあげるわ。									まったく……襲い掛かる素振りを見せた奴から、そいつらみたいにブッ飛ばしてあげるわ。	岩神を喚ぶ声
クリスタル　これだーよ！Forename　急いで　持っていっちゃおーう！									クリスタル　これだーよ！Forename　急いで　持っていっちゃおーう！	岩神を喚ぶ声
よし、クリスタルの回収ができたようだね。									よし、クリスタルの回収ができたようだね。	岩神を喚ぶ声
すごい　すごーい　ありがとーう！次のクリスタル　案内するーよ。こっち　きーて！									すごい　すごーい　ありがとーう！次のクリスタル　案内するーよ。こっち　きーて！	岩神を喚ぶ声
この木箱……もしや…………。									この木箱……もしや…………。	岩神を喚ぶ声
こっちは任せて。あなたはクリスタルの回収をお願い！									こっちは任せて。あなたはクリスタルの回収をお願い！	岩神を喚ぶ声
うう　バレたら　あとでたいへーん……。でも　みんないるから　がんばるーよ……！									うう　バレたら　あとでたいへーん……。でも　みんないるから　がんばるーよ……！	岩神を喚ぶ声
回収は終わった？だったら、長居は無用よ。次の場所に移動しましょう。									回収は終わった？だったら、長居は無用よ。次の場所に移動しましょう。	岩神を喚ぶ声
……アルフィノ、何してるの？考え事なら、後回しにしてほしいんだけど。									……アルフィノ、何してるの？考え事なら、後回しにしてほしいんだけど。	岩神を喚ぶ声
ああ、わかっているさ……。ただ……やはり……。									ああ、わかっているさ……。ただ……やはり……。	岩神を喚ぶ声
このクリスタルは、どうやらイシュガルドから来たものらしい。箱の側面に、かの国の刻印らしきものがあった。ほとんど削り取られてはいるがね……。									このクリスタルは、どうやらイシュガルドから来たものらしい。箱の側面に、かの国の刻印らしきものがあった。ほとんど削り取られてはいるがね……。	岩神を喚ぶ声
ラノシアを活動の拠点とするコボルド族が、わざわざイシュガルドでクリスタル探しをするとは、考えにくいと思わないかい？									ラノシアを活動の拠点とするコボルド族が、わざわざイシュガルドでクリスタル探しをするとは、考えにくいと思わないかい？	岩神を喚ぶ声
つまり……このクリスタルは、別の誰かの意図があって、コボルド族に提供されたもの。間違いない、アシエンたちの計画の一環だ……！									つまり……このクリスタルは、別の誰かの意図があって、コボルド族に提供されたもの。間違いない、アシエンたちの計画の一環だ……！	岩神を喚ぶ声
アシーエ……？ボク　どうすればいいーの……？									アシーエ……？ボク　どうすればいいーの……？	岩神を喚ぶ声
ああ、すまないね。君には、続けて案内を頼めるかい？クリスタルはまだあるのだろう？									ああ、すまないね。君には、続けて案内を頼めるかい？クリスタルはまだあるのだろう？	岩神を喚ぶ声
うん　うん　あるーよ！次が　ボクの知ってる　最後の場所！いちばんいっぱい　クリスタルあるーよ！									うん　うん　あるーよ！次が　ボクの知ってる　最後の場所！いちばんいっぱい　クリスタルあるーよ！	岩神を喚ぶ声
アルフィーノ　アリーゼそれかーら……　Forename！みんな　こっちきーて！									アルフィーノ　アリーゼそれかーら……　Forename！みんな　こっちきーて！	岩神を喚ぶ声
ガ・ブの話によると、このあたりらしいのだが……。									ガ・ブの話によると、このあたりらしいのだが……。	岩神を喚ぶ声
この程度なら、「とっておき」を使うまでもなさそうだわ。だけど……早めにお願いね。									この程度なら、「とっておき」を使うまでもなさそうだわ。だけど……早めにお願いね。	岩神を喚ぶ声
あ　あれれ？ここに　クリスタル　たくさんあったはずだーよ……！									あ　あれれ？ここに　クリスタル　たくさんあったはずだーよ……！	岩神を喚ぶ声
周辺に、召喚用クリスタルは見当たらない……。									周辺に、召喚用クリスタルは見当たらない……。	岩神を喚ぶ声
だめだ、こちら側にはクリスタルが見当たらない。君の方は……？									だめだ、こちら側にはクリスタルが見当たらない。君の方は……？	岩神を喚ぶ声
そんな　おかしいーよ！ボク　ここにたくさんのクリスタルあるの　見たーの！う　うそじゃないーの……！									そんな　おかしいーよ！ボク　ここにたくさんのクリスタルあるの　見たーの！う　うそじゃないーの……！	岩神を喚ぶ声
神降ろしをするためには、最終的に、クリスタルを1箇所に集めるわけでしょう？だとしたら、もう別の場所に運ばれたという可能性は？									神降ろしをするためには、最終的に、クリスタルを1箇所に集めるわけでしょう？だとしたら、もう別の場所に運ばれたという可能性は？	岩神を喚ぶ声
……あり得る。過去の例に沿うなら、蛮神「タイタン」の召喚が行われるのは、オ・ゴモロ山の火口にある神殿だ。									……あり得る。過去の例に沿うなら、蛮神「タイタン」の召喚が行われるのは、オ・ゴモロ山の火口にある神殿だ。	岩神を喚ぶ声
ど　どうしよーう！おとうさーんと　おかあさーん　もう帰してもらえない……？やだーよ　やだーよ……ッ！									ど　どうしよーう！おとうさーんと　おかあさーん　もう帰してもらえない……？やだーよ　やだーよ……ッ！	岩神を喚ぶ声
落ち着きなさい。まだ、終わったとは言い切れないはずよ。									落ち着きなさい。まだ、終わったとは言い切れないはずよ。	岩神を喚ぶ声
ああ、少なくとも一部のクリスタルを我々が回収している以上、神降ろしの準備は整いきっていないはずだ。									ああ、少なくとも一部のクリスタルを我々が回収している以上、神降ろしの準備は整いきっていないはずだ。	岩神を喚ぶ声
今、火口神殿に乗り込み、運び込まれたクリスタルも回収することができれば……コボルド族は、神降ろしを中止せざるを得なくなる。									今、火口神殿に乗り込み、運び込まれたクリスタルも回収することができれば……コボルド族は、神降ろしを中止せざるを得なくなる。	岩神を喚ぶ声
君の回収したクリスタルを、火口神殿に持ち込むのは避けたい。私が預かって、黒渦団に引き渡してこよう。									君の回収したクリスタルを、火口神殿に持ち込むのは避けたい。私が預かって、黒渦団に引き渡してこよう。	岩神を喚ぶ声
クリスタルをアルフィノに預けたら、すぐに火口神殿とやらに向かいましょう。……間に合ってほしいわね。									クリスタルをアルフィノに預けたら、すぐに火口神殿とやらに向かいましょう。……間に合ってほしいわね。	岩神を喚ぶ声
おとうさーん……おかあさーん……。									おとうさーん……おかあさーん……。	岩神を喚ぶ声
回収したクリスタルを渡してくれるかい？									回収したクリスタルを渡してくれるかい？	岩神を喚ぶ声
……よし、確かに預かった。キャンプ・オーバールックの黒渦団に事情を伝えてこよう。									……よし、確かに預かった。キャンプ・オーバールックの黒渦団に事情を伝えてこよう。	岩神を喚ぶ声
君とアリゼーは、このまま「ウ・ガマロ武装鉱山」の奥へ。火口神殿と繋がる蛮風エーテライトに向かってくれ。私も、必ずすぐに追いつく。									君とアリゼーは、このまま「ウ・ガマロ武装鉱山」の奥へ。火口神殿と繋がる蛮風エーテライトに向かってくれ。私も、必ずすぐに追いつく。	岩神を喚ぶ声
いつになく頼もしいじゃない。あまり時間がなさそうだから……急いでね。それじゃあ、行きましょう！									いつになく頼もしいじゃない。あまり時間がなさそうだから……急いでね。それじゃあ、行きましょう！	岩神を喚ぶ声
ボクも　行くーよ！									ボクも　行くーよ！	岩神を喚ぶ声
シンデン　きっと司祭さーまがいる……。おとうさーんと　おかあさーんもいっしょにいるかーな……？									シンデン　きっと司祭さーまがいる……。おとうさーんと　おかあさーんもいっしょにいるかーな……？	岩神を喚ぶ声
無事に合流ね。ここまでは問題なかったけれど……正念場は、ここからかもしれない。									無事に合流ね。ここまでは問題なかったけれど……正念場は、ここからかもしれない。	岩神を喚ぶ声
常識的に考えて、火口神殿は無人じゃないだろうし。アルフィノが来るのを待って、強行突入よ……！									常識的に考えて、火口神殿は無人じゃないだろうし。アルフィノが来るのを待って、強行突入よ……！	岩神を喚ぶ声
遅い　遅ーい！急ぎ　準備を整えーよ！									遅い　遅ーい！急ぎ　準備を整えーよ！	岩神を喚ぶ声
そこまでだッ！召喚用のクリスタルは、我々が回収した！									そこまでだッ！召喚用のクリスタルは、我々が回収した！	岩神を喚ぶ声
ヒ　ヒト……！？おのれ　もう嗅ぎつけたーか！									ヒ　ヒト……！？おのれ　もう嗅ぎつけたーか！	岩神を喚ぶ声
司祭さーま！おとうさーんと　おかあさーんを　かえしーて！									司祭さーま！おとうさーんと　おかあさーんを　かえしーて！	岩神を喚ぶ声
おとうさーん……？おかあさーん……ッ！									おとうさーん……？おかあさーん……ッ！	岩神を喚ぶ声
まさか、殺したの……？祭器にするため……蛮神の力にするために……ッ！？									まさか、殺したの……？祭器にするため……蛮神の力にするために……ッ！？	岩神を喚ぶ声
致し方なーし……すべては　貴様らーの　暴虐を退けるたーめ。同胞の命と骨は　救いの礎になーる。									致し方なーし……すべては　貴様らーの　暴虐を退けるたーめ。同胞の命と骨は　救いの礎になーる。	岩神を喚ぶ声
待ってくれ。……少しだけでいい、話がしたい。									待ってくれ。……少しだけでいい、話がしたい。	岩神を喚ぶ声
コボルド族の司祭殿……。頼む……蛮神の召喚は、もうやめてくれないか。									コボルド族の司祭殿……。頼む……蛮神の召喚は、もうやめてくれないか。	岩神を喚ぶ声
犠牲を払ってまで、神にすがって……それでも、蛮神召喚の先にあるのは、エーテルの枯渇という、誰も救われない結末だ。									犠牲を払ってまで、神にすがって……それでも、蛮神召喚の先にあるのは、エーテルの枯渇という、誰も救われない結末だ。	岩神を喚ぶ声
憎悪の剣を収め、理解しあうのは、とても難しい。だが、私は北の地で、多くの壁と困難を超え、融和の道を選んだ者たちを見てきた……！									憎悪の剣を収め、理解しあうのは、とても難しい。だが、私は北の地で、多くの壁と困難を超え、融和の道を選んだ者たちを見てきた……！	岩神を喚ぶ声
ならばッ！私とあなたがたも、手を取れるはずだ……！									ならばッ！私とあなたがたも、手を取れるはずだ……！	岩神を喚ぶ声
それは　強者の理屈にほかならーぬ！我らはよわーい……幾度となーく　虐げられ　屈服させられてきーた！									それは　強者の理屈にほかならーぬ！我らはよわーい……幾度となーく　虐げられ　屈服させられてきーた！	岩神を喚ぶ声
技術をみがーき　やっと勝ち得た　古の不可侵条約さーえヒトに　脅かされ続けていーる！									技術をみがーき　やっと勝ち得た　古の不可侵条約さーえヒトに　脅かされ続けていーる！	岩神を喚ぶ声
ヒトはつよーい……。そしーて　我らが神に祈り　力を得んとするーと「蛮族」という名を着せ　駆逐せんとするではないーか！									ヒトはつよーい……。そしーて　我らが神に祈り　力を得んとするーと「蛮族」という名を着せ　駆逐せんとするではないーか！	岩神を喚ぶ声
そのような者の言葉なーど　とても聞き入れられーぬ！守らねーば　同胞を守らねーばッ！									そのような者の言葉なーど　とても聞き入れられーぬ！守らねーば　同胞を守らねーばッ！	岩神を喚ぶ声
おとうさーん　おかあさーん……どうしたーの……？									おとうさーん　おかあさーん……どうしたーの……？	岩神を喚ぶ声
お返事　しーて……ボク　迎えにきたんだーよ……？									お返事　しーて……ボク　迎えにきたんだーよ……？	岩神を喚ぶ声
あ　あ　あ……ああ…………！									あ　あ　あ……ああ…………！	岩神を喚ぶ声
おいてかないで……おいてかないーで……ッ！									おいてかないで……おいてかないーで……ッ！	岩神を喚ぶ声
あああああああああああッ！！									あああああああああああッ！！	岩神を喚ぶ声
まずい……！ガ・ブの心を反映して、見境がなくなっている……！									まずい……！ガ・ブの心を反映して、見境がなくなっている……！	岩神を喚ぶ声
おいてかないーで……ボクも……つれてって…………。									おいてかないーで……ボクも……つれてって…………。	岩神を喚ぶ声
アルフィノ！									アルフィノ！	岩神を喚ぶ声
了解ッ！									了解ッ！	岩神を喚ぶ声
Forename、アリゼー！一旦撤退しよう……！									Forename、アリゼー！一旦撤退しよう……！	岩神を喚ぶ声
ガ・ブは、意識がはっきりしないみたい。大丈夫、きっとすぐに、元気になるもの……。									ガ・ブは、意識がはっきりしないみたい。大丈夫、きっとすぐに、元気になるもの……。	岩神を喚ぶ声
……………………。									……………………。	岩神を喚ぶ声
……蛮神は、エーテルと強い想いによって召喚される。わかっているはずなのに……あの場にいた誰もが、最も純粋で強い想いに、気付けなかった。									……蛮神は、エーテルと強い想いによって召喚される。わかっているはずなのに……あの場にいた誰もが、最も純粋で強い想いに、気付けなかった。	岩神を喚ぶ声
あれは……ガ・ブの嘆きの化身だ。制御はできず、捧げられたクリスタルの数も少ない。暴れるだけ暴れていずれは消える、神降ろしの失敗例……。									あれは……ガ・ブの嘆きの化身だ。制御はできず、捧げられたクリスタルの数も少ない。暴れるだけ暴れていずれは消える、神降ろしの失敗例……。	岩神を喚ぶ声
結果だけ見れば、アシエンたちの目的は挫けただろう……。蛮族たちが、より強い蛮神の召喚を望むよう仕向けるには、最良の状態の蛮神を、人が倒さなければならないのだから……。									結果だけ見れば、アシエンたちの目的は挫けただろう……。蛮族たちが、より強い蛮神の召喚を望むよう仕向けるには、最良の状態の蛮神を、人が倒さなければならないのだから……。	岩神を喚ぶ声
だが……私は…………。									だが……私は…………。	岩神を喚ぶ声
Forename……。今の君ならば、あの程度の不完全な蛮神など、たやすく屠れてしまうだろう。									Forename……。今の君ならば、あの程度の不完全な蛮神など、たやすく屠れてしまうだろう。	岩神を喚ぶ声
あの蛮神「タイタン」が、万が一にも火口神殿を出て、ほかの誰かを巻き込み、傷つけてしまう前に……終わりにしてやってくれないか……。									あの蛮神「タイタン」が、万が一にも火口神殿を出て、ほかの誰かを巻き込み、傷つけてしまう前に……終わりにしてやってくれないか……。	岩神を喚ぶ声
ガ・ブのためにも、頼む……！私とアリゼーの想いも、どうか……君の力にしてほしい……！									ガ・ブのためにも、頼む……！私とアリゼーの想いも、どうか……君の力にしてほしい……！	岩神を喚ぶ声
ありがとう……。また酷な役目を託してしまって、本当にすまない。									ありがとう……。また酷な役目を託してしまって、本当にすまない。	岩神を喚ぶ声
その間に、私とアリゼーは、ガ・ブをつれて、どうにか鉱山の脱出を試みる。すべてが終わったら、キャンプの付近で落ち合おう。									その間に、私とアリゼーは、ガ・ブをつれて、どうにか鉱山の脱出を試みる。すべてが終わったら、キャンプの付近で落ち合おう。	岩神を喚ぶ声
すべてが終わったら、キャンプの付近で落ち合おう。どうか、君も無事で……。									すべてが終わったら、キャンプの付近で落ち合おう。どうか、君も無事で……。	岩神を喚ぶ声
……いってらっしゃい。あいつのこと……よろしくね。									……いってらっしゃい。あいつのこと……よろしくね。	岩神を喚ぶ声
Forename……！よかった、ひとつ安心したわ……。									Forename……！よかった、ひとつ安心したわ……。	岩神を喚ぶ声
ああ、Forename……！無事に戻ってくれたか。									ああ、Forename……！無事に戻ってくれたか。	岩神を喚ぶ声
それでは、あの蛮神「タイタン」は……消滅したんだね。									それでは、あの蛮神「タイタン」は……消滅したんだね。	岩神を喚ぶ声
ありがとう、これで被害の拡大は防げる。これ以上……悲しい出来事は、たくさんだ。									ありがとう、これで被害の拡大は防げる。これ以上……悲しい出来事は、たくさんだ。	岩神を喚ぶ声
ガ・ブは、ずっとあの調子さ。こちらの声は聞こえているようだが、自分から言葉を発することはない……。									ガ・ブは、ずっとあの調子さ。こちらの声は聞こえているようだが、自分から言葉を発することはない……。	岩神を喚ぶ声
単に、まだ混乱しているのか、それともタイタンを召喚してしまったことで、信徒と化してしまったのか……。									単に、まだ混乱しているのか、それともタイタンを召喚してしまったことで、信徒と化してしまったのか……。	岩神を喚ぶ声
……信徒になったのであれば、処分する。それが、エオルゼア諸国の方針でしょう。									……信徒になったのであれば、処分する。それが、エオルゼア諸国の方針でしょう。	岩神を喚ぶ声
アリゼー……。否定はしないが、それでも私は…………									アリゼー……。否定はしないが、それでも私は…………	岩神を喚ぶ声
蛮神「シヴァ」の信徒の中に、和解できる者がいたように、微かでも、希望はあると思うんだ。									蛮神「シヴァ」の信徒の中に、和解できる者がいたように、微かでも、希望はあると思うんだ。	岩神を喚ぶ声
…………様子を見ましょう。もう少しだけ、ね。									…………様子を見ましょう。もう少しだけ、ね。	岩神を喚ぶ声
