石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
クルルと話す									クルルと話す	謎多きラヴィリンソス
アリゼーと話し、先導に従って移動									アリゼーと話し、先導に従って移動	謎多きラヴィリンソス
クルルと話す									クルルと話す	謎多きラヴィリンソス
アッパー・アクリンソスで情報を集める									アッパー・アクリンソスで情報を集める	謎多きラヴィリンソス
クルルに話題を提示									クルルに話題を提示	謎多きラヴィリンソス
グリーナーの動きが気になるってこと、さっそくみんなにも伝えてみましょ！									グリーナーの動きが気になるってこと、さっそくみんなにも伝えてみましょ！	謎多きラヴィリンソス
あなたは、まっすぐ大書院の方に戻って。私はラストスタンドにカップを返してから行くわ！									あなたは、まっすぐ大書院の方に戻って。私はラストスタンドにカップを返してから行くわ！	謎多きラヴィリンソス
おや、アリゼーと一緒じゃないのかい？									おや、アリゼーと一緒じゃないのかい？	謎多きラヴィリンソス
ちょうどいいところに。あなたに運んできてもらいたい辞書が……って、何か別件があるようね。									ちょうどいいところに。あなたに運んできてもらいたい辞書が……って、何か別件があるようね。	謎多きラヴィリンソス
あれ、コーヒーのいい匂いがする……。どっか行ってたのか？									あれ、コーヒーのいい匂いがする……。どっか行ってたのか？	謎多きラヴィリンソス
あら、戻ってきたのね。少しは息抜きできたかしら？									あら、戻ってきたのね。少しは息抜きできたかしら？	謎多きラヴィリンソス
それがね、気になることがあったの。ここ最近のグリーナーの動きについてなんだけど……。									それがね、気になることがあったの。ここ最近のグリーナーの動きについてなんだけど……。	謎多きラヴィリンソス
なるほど……。確かにグリーナーといえば、政府や各機関から要請を受けて、絶えず世界中を飛び回っているものよ。									なるほど……。確かにグリーナーといえば、政府や各機関から要請を受けて、絶えず世界中を飛び回っているものよ。	謎多きラヴィリンソス
急に出入りが激しくなったり、搬入の量が増えたりしたなら、裏に何か大きな計画がありそうだわ。									急に出入りが激しくなったり、搬入の量が増えたりしたなら、裏に何か大きな計画がありそうだわ。	謎多きラヴィリンソス
とすると、ひとつの仮説を立てられそうだ……。									とすると、ひとつの仮説を立てられそうだ……。	謎多きラヴィリンソス
さっきヤ・シュトラが言っていたとおり、大書院の書物から、終末に関連する情報は見つかっていない。									さっきヤ・シュトラが言っていたとおり、大書院の書物から、終末に関連する情報は見つかっていない。	謎多きラヴィリンソス
そのことと、ラストスタンドでの聞き込みの結果から、シャーレアンにおいても終末は知られざる歴史であると考えて、まず間違いないだろう。									そのことと、ラストスタンドでの聞き込みの結果から、シャーレアンにおいても終末は知られざる歴史であると考えて、まず間違いないだろう。	謎多きラヴィリンソス
一方で、父や、クルルさんが訪ねてくれた議員たちは、「テロフォロイによる破壊は、真の終末ではない」と、何らかの理由をもって判断……									一方で、父や、クルルさんが訪ねてくれた議員たちは、「テロフォロイによる破壊は、真の終末ではない」と、何らかの理由をもって判断……	謎多きラヴィリンソス
エオルゼア諸国からの協力要請を拒むと同時に、別の「今やらなければならないこと」を進めている。									エオルゼア諸国からの協力要請を拒むと同時に、別の「今やらなければならないこと」を進めている。	謎多きラヴィリンソス
そんな状況のもとで、政府公認のグリーナーが、いつもと違う動きを見せているということは……									そんな状況のもとで、政府公認のグリーナーが、いつもと違う動きを見せているということは……	謎多きラヴィリンソス
彼らの動きが、哲学者議会のやらなければならないことに、繋がっているかもしれない……というわけね。									彼らの動きが、哲学者議会のやらなければならないことに、繋がっているかもしれない……というわけね。	謎多きラヴィリンソス
だったら次は、グリーナーたちが入っていった、「ラヴィリンソス」の様子を見に行ってみない？彼らから直接話を聞くこともできるかもしれないわ！									だったら次は、グリーナーたちが入っていった、「ラヴィリンソス」の様子を見に行ってみない？彼らから直接話を聞くこともできるかもしれないわ！	謎多きラヴィリンソス
何と言う？									何と言う？	謎多きラヴィリンソス
待ってました！									待ってました！	謎多きラヴィリンソス
どんな場所だろう？									どんな場所だろう？	謎多きラヴィリンソス
読書を続けるよりは……									読書を続けるよりは……	謎多きラヴィリンソス
ふふ、楽しみにしてもらえてたなら何よりよ！									ふふ、楽しみにしてもらえてたなら何よりよ！	謎多きラヴィリンソス
それは、行ってのお楽しみ。きっとビックリすると思うわ！									それは、行ってのお楽しみ。きっとビックリすると思うわ！	謎多きラヴィリンソス
あら、英雄さんは机仕事が苦手なタイプだったかしら？それなら息抜きにもなって、ちょうどよさそうね！									あら、英雄さんは机仕事が苦手なタイプだったかしら？それなら息抜きにもなって、ちょうどよさそうね！	謎多きラヴィリンソス
なら、オレはここに残って、もう少し書物を調べてみる。ついでに、みんなが借りてきた本も返しておくから、このまま行ってくれて大丈夫だ。									なら、オレはここに残って、もう少し書物を調べてみる。ついでに、みんなが借りてきた本も返しておくから、このまま行ってくれて大丈夫だ。	謎多きラヴィリンソス
それは助かるわ！じゃあラハくん、またあとで会いましょう！									それは助かるわ！じゃあラハくん、またあとで会いましょう！	謎多きラヴィリンソス
ラヴィリンソスの入口まで案内するわ。とりあえず、そこの階段を下りてきて。									ラヴィリンソスの入口まで案内するわ。とりあえず、そこの階段を下りてきて。	謎多きラヴィリンソス
ラヴィリンソスの調査、気をつけてな。保管庫にしてはスリルがある場所だが……あんたならきっと、それも含めて楽しめるさ！									ラヴィリンソスの調査、気をつけてな。保管庫にしてはスリルがある場所だが……あんたならきっと、それも含めて楽しめるさ！	謎多きラヴィリンソス
来た来た！ラヴィリンソスの入口は、この道の先にあるんだけど……途中で曲がったりして、ちょっと厄介なの。									来た来た！ラヴィリンソスの入口は、この道の先にあるんだけど……途中で曲がったりして、ちょっと厄介なの。	謎多きラヴィリンソス
私が先を歩くから、離れずについてきて！									私が先を歩くから、離れずについてきて！	謎多きラヴィリンソス
アリゼーが「先導」を開始します。離れすぎてしまわないよう、後を追いかけましょう！									アリゼーが「先導」を開始します。離れすぎてしまわないよう、後を追いかけましょう！	謎多きラヴィリンソス
はい到着！この扉から入って、階段を下ったところが入口よ。									はい到着！この扉から入って、階段を下ったところが入口よ。	謎多きラヴィリンソス
次に来るときは、うしろの都市転送網を使うと早いわ。交感が済んでいるなら行きましょう！									次に来るときは、うしろの都市転送網を使うと早いわ。交感が済んでいるなら行きましょう！	謎多きラヴィリンソス
ラヴィリンソスに行くのは、本当に久々だよ。学生だった時分も、私にはそう用事のない場所だったからね。									ラヴィリンソスに行くのは、本当に久々だよ。学生だった時分も、私にはそう用事のない場所だったからね。	謎多きラヴィリンソス
まちがって、ホールの方に行ったりはしなかった？議会に突然乱入……なんてことになったら大変よね。									まちがって、ホールの方に行ったりはしなかった？議会に突然乱入……なんてことになったら大変よね。	謎多きラヴィリンソス
哲学者議会が、なぜ、どこまで終末を知っているのか……そして今何をしようとしているのか……いずれかの確たる答えを、この先で掴みたいところね。									哲学者議会が、なぜ、どこまで終末を知っているのか……そして今何をしようとしているのか……いずれかの確たる答えを、この先で掴みたいところね。	謎多きラヴィリンソス
よし、これで全員そろったわね。ラヴィリンソスへの入場手続きは、まとめて済ませておいたわ。									よし、これで全員そろったわね。ラヴィリンソスへの入場手続きは、まとめて済ませておいたわ。	謎多きラヴィリンソス
さっそく、そこにある大きな昇降機を使って、地下に降りましょう！									さっそく、そこにある大きな昇降機を使って、地下に降りましょう！	謎多きラヴィリンソス
入場手続きはお済みのようですね。ラヴィリンソスへの昇降機をご利用になりますか？									入場手続きはお済みのようですね。ラヴィリンソスへの昇降機をご利用になりますか？	謎多きラヴィリンソス
「ラヴィリンソス」へ移動しますか？									「ラヴィリンソス」へ移動しますか？	謎多きラヴィリンソス
突然すまない、君はグリーナーだね？少し話を聞かせてほしいのだが……。									突然すまない、君はグリーナーだね？少し話を聞かせてほしいのだが……。	謎多きラヴィリンソス
ええと、それはもういいから……さっきのところ、もっと詳しく聞かせてもらえない？									ええと、それはもういいから……さっきのところ、もっと詳しく聞かせてもらえない？	謎多きラヴィリンソス
あら、サボっているわけではなくてよ？ここに来るのはとても久々だったから、思い出しがてら様子を見ていたの。									あら、サボっているわけではなくてよ？ここに来るのはとても久々だったから、思い出しがてら様子を見ていたの。	謎多きラヴィリンソス
ここから見える範囲には、これといっておかしなところはなし。やはり、地道に人から話を聞いていくしかなさそうね。									ここから見える範囲には、これといっておかしなところはなし。やはり、地道に人から話を聞いていくしかなさそうね。	謎多きラヴィリンソス
やっぱり、ここに集まっているのは、ほとんどがグリーナーみたい。あなたも何人かに近況を聞いてみてくれるかしら？									やっぱり、ここに集まっているのは、ほとんどがグリーナーみたい。あなたも何人かに近況を聞いてみてくれるかしら？	謎多きラヴィリンソス
ん、何をしてるのかって？そりゃあもう……本から鉱石から動物まで、あらゆる物資を運んで運んで運びまくってるんだよ。									ん、何をしてるのかって？そりゃあもう……本から鉱石から動物まで、あらゆる物資を運んで運んで運びまくってるんだよ。	謎多きラヴィリンソス
ラヴィリンソスは10年おきに大掛かりな整理をしてるんだが、今回はそれにも勝る「大整理」ときた。									ラヴィリンソスは10年おきに大掛かりな整理をしてるんだが、今回はそれにも勝る「大整理」ときた。	謎多きラヴィリンソス
しかも、数年前にも整理をしたばかりだってのに、お偉いさんが急にやるって決めたらしくてよ……次の拡張計画に向けて、間取りでも変えたくなったのかねぇ。									しかも、数年前にも整理をしたばかりだってのに、お偉いさんが急にやるって決めたらしくてよ……次の拡張計画に向けて、間取りでも変えたくなったのかねぇ。	謎多きラヴィリンソス
ドッビンとの会話から、「突然の大整理について」の話題を得た！									ドッビンとの会話から、「突然の大整理について」の話題を得た！	謎多きラヴィリンソス
ああ忙しい……。グリーナーズ・ギルドシップから急に召集がかかった時点で、嫌な予感はしてたけどよ……。									ああ忙しい……。グリーナーズ・ギルドシップから急に召集がかかった時点で、嫌な予感はしてたけどよ……。	謎多きラヴィリンソス
あばばばばばば……藍麻の種が1058番、馬芹の種が1059番、スナーブルベリーの苗が1060……いや違う！？									あばばばばばば……藍麻の種が1058番、馬芹の種が1059番、スナーブルベリーの苗が1060……いや違う！？	謎多きラヴィリンソス
うわーん、もう、頭がモコ草になりそうですー！持ち込むものだけじゃなく、運び出すものまで多すぎですよぅ！									うわーん、もう、頭がモコ草になりそうですー！持ち込むものだけじゃなく、運び出すものまで多すぎですよぅ！	謎多きラヴィリンソス
いっぺんにやって、混ざっちゃったらどうするんですか！？クルザスカロットとギラバニアカロットが入れ替わったら、どう責任取るっていうんですかぁー！									いっぺんにやって、混ざっちゃったらどうするんですか！？クルザスカロットとギラバニアカロットが入れ替わったら、どう責任取るっていうんですかぁー！	謎多きラヴィリンソス
ティーヴとの会話から、「大量の搬入品と搬出品」の話題を得た！									ティーヴとの会話から、「大量の搬入品と搬出品」の話題を得た！	謎多きラヴィリンソス
待って待って……2023番はラノシアンソイルでしょ？2024は？　ザナラーンソイル？　シュラウドソイル！？									待って待って……2023番はラノシアンソイルでしょ？2024は？　ザナラーンソイル？　シュラウドソイル！？	謎多きラヴィリンソス
おたくは……同業者じゃなさそうだな。悪いが、雑談相手ならほかをあたってくれ。									おたくは……同業者じゃなさそうだな。悪いが、雑談相手ならほかをあたってくれ。	謎多きラヴィリンソス
仲間のひとりが過労でフラついて、荷物に激突……運んできたマーモットを逃がしちまったんだ。どうにか探して捕まえないと……。									仲間のひとりが過労でフラついて、荷物に激突……運んできたマーモットを逃がしちまったんだ。どうにか探して捕まえないと……。	謎多きラヴィリンソス
エレンヴィルとの会話から、「過労のグリーナーについて」の話題を得た！									エレンヴィルとの会話から、「過労のグリーナーについて」の話題を得た！	謎多きラヴィリンソス
あの素早いチビッコを探し出すのは難儀だな……。どうしたもんか……。									あの素早いチビッコを探し出すのは難儀だな……。どうしたもんか……。	謎多きラヴィリンソス
どう、Forenameさん？グリーナーたちは、どんなことを言ってたかしら……？									どう、Forenameさん？グリーナーたちは、どんなことを言ってたかしら……？	謎多きラヴィリンソス
突然、大整理を行うことが決まって、大量の資料が持ち込まれたり、移動になったりしてる……それでグリーナーたちが疲れてるってことね。									突然、大整理を行うことが決まって、大量の資料が持ち込まれたり、移動になったりしてる……それでグリーナーたちが疲れてるってことね。	謎多きラヴィリンソス
……予想どおり、何か大きな計画が動いていそうだわ。									……予想どおり、何か大きな計画が動いていそうだわ。	謎多きラヴィリンソス
イェドリマンのエスティニアンは、何か思案しているようだ。									イェドリマンのエスティニアンは、何か思案しているようだ。	神々が住まう館
指定地点で見渡す									指定地点で見渡す	神々が住まう館
2箇所目の指定地点で見渡す									2箇所目の指定地点で見渡す	神々が住まう館
マトシャを探す									マトシャを探す	神々が住まう館
マトシャを救助									マトシャを救助	神々が住まう館
マトシャと話す									マトシャと話す	神々が住まう館
アキャーリで情報を集める									アキャーリで情報を集める	神々が住まう館
マトシャと話す									マトシャと話す	神々が住まう館
それにしても、魚売りを手伝ってきたとはな。お前らしいというか、なんというか……。									それにしても、魚売りを手伝ってきたとはな。お前らしいというか、なんというか……。	神々が住まう館
島という、より限られた場所に塔ができたからでしょうか……人々の生活への影響も、より顕著に表れている気がいたします。									島という、より限られた場所に塔ができたからでしょうか……人々の生活への影響も、より顕著に表れている気がいたします。	神々が住まう館
なあ相棒、お前が手を貸したマトシャって奴は、アルカソーダラ族だったそうだな。									なあ相棒、お前が手を貸したマトシャって奴は、アルカソーダラ族だったそうだな。	神々が住まう館
……俺の聞いた話では、ここのところの人拐いで、とくに狙われているのがアルカソーダラの連中だそうだ。ひとりで帰してよかったのか？									……俺の聞いた話では、ここのところの人拐いで、とくに狙われているのがアルカソーダラの連中だそうだ。ひとりで帰してよかったのか？	神々が住まう館
…………！確かに、神降ろしのために拐われているのならば、彼らが狙われるのは理に適っています。									…………！確かに、神降ろしのために拐われているのならば、彼らが狙われるのは理に適っています。	神々が住まう館
サベネア島に伝わる、独自の信仰……その源流を創ったのはアルカソーダラ族の祖先たちであり、現代においても、信仰に篤い者が多いそうです……！									サベネア島に伝わる、独自の信仰……その源流を創ったのはアルカソーダラ族の祖先たちであり、現代においても、信仰に篤い者が多いそうです……！	神々が住まう館
念のため追いかけるか。地図によれば、漁村アキャーリは、ここから西……クルルに指示された目的地も、ちょうどそっちの方角だ。									念のため追いかけるか。地図によれば、漁村アキャーリは、ここから西……クルルに指示された目的地も、ちょうどそっちの方角だ。	神々が住まう館
決まりだな。道中で見渡しながら、その村へ向かうとするか。									決まりだな。道中で見渡しながら、その村へ向かうとするか。	神々が住まう館
マトシャの姿は見えない……。北西に、一帯を見渡せそうな高台がある。									マトシャの姿は見えない……。北西に、一帯を見渡せそうな高台がある。	神々が住まう館
ここからも、マトシャの姿は見えない……。									ここからも、マトシャの姿は見えない……。	神々が住まう館
(-切迫した悲鳴-)い、いやだ……！誰か、誰か助けて……ッ！									(-切迫した悲鳴-)い、いやだ……！誰か、誰か助けて……ッ！	神々が住まう館
北の方角から悲鳴が聞こえた！マトシャに似た声だ、急いで探そう。									北の方角から悲鳴が聞こえた！マトシャに似た声だ、急いで探そう。	神々が住まう館
贄を…集めよ…									贄を…集めよ…	神々が住まう館
邪魔者は排除する…									邪魔者は排除する…	神々が住まう館
あ、あれ……？あんたが助けてくれただすか……？									あ、あれ……？あんたが助けてくれただすか……？	神々が住まう館
ここにいたか。どうやら間一髪だったみたいだな。									ここにいたか。どうやら間一髪だったみたいだな。	神々が住まう館
お仲間と一緒に、オラを追いかけて……？ああ、何てお礼を言ったらいいか……！									お仲間と一緒に、オラを追いかけて……？ああ、何てお礼を言ったらいいか……！	神々が住まう館
オラ、村に帰る途中でここに寄って、これからのことを考えてただす。									オラ、村に帰る途中でここに寄って、これからのことを考えてただす。	神々が住まう館
そしたら、突然さっきのヒトたちに取り囲まれて、連れていかれそうになって……。									そしたら、突然さっきのヒトたちに取り囲まれて、連れていかれそうになって……。	神々が住まう館
ここのところ、人拐いが多発してるって聞いたぞ。とくにアルカソーダラ族が狙われてるらしい。									ここのところ、人拐いが多発してるって聞いたぞ。とくにアルカソーダラ族が狙われてるらしい。	神々が住まう館
お前も、都に避難するべきじゃないのか？									お前も、都に避難するべきじゃないのか？	神々が住まう館
考えはしたけど、オラの一族は、みんな漁に関係する仕事をしてるだす。海のそばでないと、どのみち暮らしていけないだす。									考えはしたけど、オラの一族は、みんな漁に関係する仕事をしてるだす。海のそばでないと、どのみち暮らしていけないだす。	神々が住まう館
そいつは確かに難問だな……。だが、せめてひとりにならないよう、注意しろよ。									そいつは確かに難問だな……。だが、せめてひとりにならないよう、注意しろよ。	神々が住まう館
……私からも、質問よろしいでしょうか？									……私からも、質問よろしいでしょうか？	神々が住まう館
サベネア島の塔からも、すでに何度か、異形の召喚獣が出てきているとか……。それがどういったものだったか、あなたはご存知ですか？									サベネア島の塔からも、すでに何度か、異形の召喚獣が出てきているとか……。それがどういったものだったか、あなたはご存知ですか？	神々が住まう館
「アレ」の正体がなんなのか、オラにはわからないだす……。									「アレ」の正体がなんなのか、オラにはわからないだす……。	神々が住まう館
ただ、その姿は不敬にも、オラたちの神話に語られる神様たちと似ていただす。									ただ、その姿は不敬にも、オラたちの神話に語られる神様たちと似ていただす。	神々が住まう館
だから、あの塔を「ゾットの塔」だなんて呼ぶ奴もいる……。									だから、あの塔を「ゾットの塔」だなんて呼ぶ奴もいる……。	神々が住まう館
「ゾット」は、オラたちの古い言葉で、「神々が住まう館」の意味なんだす。									「ゾット」は、オラたちの古い言葉で、「神々が住まう館」の意味なんだす。	神々が住まう館
けど、あんなのが……あんな風に暴れまわるだけのものが、本物の神様なわけないだす！									けど、あんなのが……あんな風に暴れまわるだけのものが、本物の神様なわけないだす！	神々が住まう館
そうだったのですね……。大切な信仰を悪用されたとあらば、あなた方の憤りは、察して余りあるものでしょう。									そうだったのですね……。大切な信仰を悪用されたとあらば、あなた方の憤りは、察して余りあるものでしょう。	神々が住まう館
私たちは、あの塔の解明を試みる者。なればこそ、今後、そこから現れ出る紛いものの神々と、対峙することがあるやもしれません。									私たちは、あの塔の解明を試みる者。なればこそ、今後、そこから現れ出る紛いものの神々と、対峙することがあるやもしれません。	神々が住まう館
その前に……よければ、あなた方の神々の本来の姿を、教えてはいただけないでしょうか？									その前に……よければ、あなた方の神々の本来の姿を、教えてはいただけないでしょうか？	神々が住まう館
あんた方、そんなすごいヒトたちだっただすか！？お、恐れ多いだす……。									あんた方、そんなすごいヒトたちだっただすか！？お、恐れ多いだす……。	神々が住まう館
サベネア神話について話すのは、お安い御用だす。ただ、オラは語りがうまくないから……よければ、村に寄っていってほしいだす。									サベネア神話について話すのは、お安い御用だす。ただ、オラは語りがうまくないから……よければ、村に寄っていってほしいだす。	神々が住まう館
オラの家族やご近所さん、みんな神様を大事にしてるだす。あんた方に、喜んで話を聞かせてくれるはずだす！									オラの家族やご近所さん、みんな神様を大事にしてるだす。あんた方に、喜んで話を聞かせてくれるはずだす！	神々が住まう館
とのことですが……少し寄り道をさせていただいても？									とのことですが……少し寄り道をさせていただいても？	神々が住まう館
それじゃあ、アキャーリにご招待するだす！この丘を降って、西の浜辺だす！									それじゃあ、アキャーリにご招待するだす！この丘を降って、西の浜辺だす！	神々が住まう館
……サベネアの神々が召喚されているということは、やはり、拐われたこの島の人々が囚われているのでしょう。									……サベネアの神々が召喚されているということは、やはり、拐われたこの島の人々が囚われているのでしょう。	神々が住まう館
無事に助け出せると良いのですが……。									無事に助け出せると良いのですが……。	神々が住まう館
そのためにも、サベネア神話を知っておくのは悪くない選択だ。行こう、アキャーリの村へ。									そのためにも、サベネア神話を知っておくのは悪くない選択だ。行こう、アキャーリの村へ。	神々が住まう館
小さな村だな。あの塔が見えてなきゃ、さぞのどかだっただろうに……。									小さな村だな。あの塔が見えてなきゃ、さぞのどかだっただろうに……。	神々が住まう館
この島に伝わる神話を、書物で読んだことはございます。されど、現地に生きる人々によって語られることで、それらの知識に血が通うのです。									この島に伝わる神話を、書物で読んだことはございます。されど、現地に生きる人々によって語られることで、それらの知識に血が通うのです。	神々が住まう館
ああ、沖に見える足場は何かと思ってな。人造の島のようだが……祭殿、か……？									ああ、沖に見える足場は何かと思ってな。人造の島のようだが……祭殿、か……？	神々が住まう館
へへ……「白い浜(アキャーリ)」へようこそ！名前のとおり、浜辺しかない村だけど、ゆっくりしていくだす。									へへ……「白い浜(アキャーリ)」へようこそ！名前のとおり、浜辺しかない村だけど、ゆっくりしていくだす。	神々が住まう館
お仲間たちは、さっそく神話について聞きにいったみたいだす。あんたも、気兼ねなく、みんなに声をかけてほしいだす。									お仲間たちは、さっそく神話について聞きにいったみたいだす。あんたも、気兼ねなく、みんなに声をかけてほしいだす。	神々が住まう館
神話のこと、誰でも答えてくれるだろうけど……今手が空いてそうなのだと、そこにいる「カンガ」と、「ハズヴェーダ」の爺ちゃんがおすすめだす！									神話のこと、誰でも答えてくれるだろうけど……今手が空いてそうなのだと、そこにいる「カンガ」と、「ハズヴェーダ」の爺ちゃんがおすすめだす！	神々が住まう館
オラも何か話せることがないか、考えてみるだす！助けてもらったお礼、したいから……！									オラも何か話せることがないか、考えてみるだす！助けてもらったお礼、したいから……！	神々が住まう館
おいらたちの神様たちについて知りたいって？へぇ、珍しいお客さんもおったもんだなぁ。									おいらたちの神様たちについて知りたいって？へぇ、珍しいお客さんもおったもんだなぁ。	神々が住まう館
あんたらの故郷ではどうか知らんけど、サベネア島には、そりゃあ多くの神様たちがおわすのさ。									あんたらの故郷ではどうか知らんけど、サベネア島には、そりゃあ多くの神様たちがおわすのさ。	神々が住まう館
その神様たちは、大きくふたつにわけられててなぁ……。知恵に優れ、ヒトの姿をした「マヌシャ神群」と、力に優れ、獣の姿をした「ムリガ神群」さ。									その神様たちは、大きくふたつにわけられててなぁ……。知恵に優れ、ヒトの姿をした「マヌシャ神群」と、力に優れ、獣の姿をした「ムリガ神群」さ。	神々が住まう館
それらをあわせて「神獣」っていうのさ。うちのばあちゃんも、神様を「神獣さん」なんて呼んでたよ。									それらをあわせて「神獣」っていうのさ。うちのばあちゃんも、神様を「神獣さん」なんて呼んでたよ。	神々が住まう館
「神獣」は容姿も性格もバラバラで、荒事が好きな神様もおれば、穏やかな神様もおるんだよ。まるで、今のおいらたちみたいにさ！									「神獣」は容姿も性格もバラバラで、荒事が好きな神様もおれば、穏やかな神様もおるんだよ。まるで、今のおいらたちみたいにさ！	神々が住まう館
そして、自分たちの知識や経験を、「訓え」として島の住民にわけてくださったんだ。おいらたちは、今も「訓え」を大事に暮らしてるよ。									そして、自分たちの知識や経験を、「訓え」として島の住民にわけてくださったんだ。おいらたちは、今も「訓え」を大事に暮らしてるよ。	神々が住まう館
知恵に優れ、ヒトの姿をした「マヌシャ神群」と、力に優れ、獣の姿をした「ムリガ神群」。それらをあわせて「神獣」って呼んでるのさ。									知恵に優れ、ヒトの姿をした「マヌシャ神群」と、力に優れ、獣の姿をした「ムリガ神群」。それらをあわせて「神獣」って呼んでるのさ。	神々が住まう館
島に伝わる神話を知りたいと？ええ心がけじゃ、わしがなんでも話してやろう。									島に伝わる神話を知りたいと？ええ心がけじゃ、わしがなんでも話してやろう。	神々が住まう館
昔々、この島では、人の姿をした「マヌシャ神群」と、獣の姿をした「ムリガ神群」が争い続けていた……。									昔々、この島では、人の姿をした「マヌシャ神群」と、獣の姿をした「ムリガ神群」が争い続けていた……。	神々が住まう館
やがて、ムリガの神々はマヌシャの神が持つ知恵を求めて、自身の頭を、彼らの頭にすげかえたのじゃ。									やがて、ムリガの神々はマヌシャの神が持つ知恵を求めて、自身の頭を、彼らの頭にすげかえたのじゃ。	神々が住まう館
一方、マヌシャの神々も、ムリガの神の絶大な力を欲した。そうしてやはり、頭をすげかえてしまったのよ。									一方、マヌシャの神々も、ムリガの神の絶大な力を欲した。そうしてやはり、頭をすげかえてしまったのよ。	神々が住まう館
こうして、知恵と力を兼ね備えた神々が誕生し、彼らによって、長きにわたる戦いが収められたのだという。									こうして、知恵と力を兼ね備えた神々が誕生し、彼らによって、長きにわたる戦いが収められたのだという。	神々が住まう館
以来、マヌシャ神群は獣の面をつけ、ムリガ神群は人の手足を模した似姿をとることで、互いを称え合うようになったのじゃよ。									以来、マヌシャ神群は獣の面をつけ、ムリガ神群は人の手足を模した似姿をとることで、互いを称え合うようになったのじゃよ。	神々が住まう館
ムリガやマヌシャの神、そしてそこから生まれた知恵と力を持つ神々は、尊きものとして、あちこちの意匠に取り入れられておるよ。									ムリガやマヌシャの神、そしてそこから生まれた知恵と力を持つ神々は、尊きものとして、あちこちの意匠に取り入れられておるよ。	神々が住まう館
どうだすか？爺ちゃんたちから、話、聞けただすか？									どうだすか？爺ちゃんたちから、話、聞けただすか？	神々が住まう館
それで……その……よければオラも……神話に興味があるなら、見せたいものがあるだす。									それで……その……よければオラも……神話に興味があるなら、見せたいものがあるだす。	神々が住まう館
家からとってくるから、お仲間たちと一緒に、ちょっと待っててほしいだす……！									家からとってくるから、お仲間たちと一緒に、ちょっと待っててほしいだす……！	神々が住まう館
お待たせ……！オラの家に飾ってあった、神様の掛軸を持ってきただす。									お待たせ……！オラの家に飾ってあった、神様の掛軸を持ってきただす。	神々が住まう館
ほう、それは大変興味深い……。是非とも拝見させてください。									ほう、それは大変興味深い……。是非とも拝見させてください。	神々が住まう館
えっと、これは……マヌシャ神群の中で、とくに有名な姉妹神の絵だす。									えっと、これは……マヌシャ神群の中で、とくに有名な姉妹神の絵だす。	神々が住まう館
中央が長女、知恵を司る「マグ神」。錬金術師が祀っているのは、だいたい彼女だす。									中央が長女、知恵を司る「マグ神」。錬金術師が祀っているのは、だいたい彼女だす。	神々が住まう館
右が次女、富を司る「ドグ神」。みんなあやかろうとしてるけど、とくに交易商人たちには人気だす。									右が次女、富を司る「ドグ神」。みんなあやかろうとしてるけど、とくに交易商人たちには人気だす。	神々が住まう館
左が三女、技巧を司る「ラグ神」。織物職人なんかに好かれているだす。									左が三女、技巧を司る「ラグ神」。織物職人なんかに好かれているだす。	神々が住まう館
そんな風に職業によって多少の差はあるけど、こうして三姉妹がそろった絵や像は、家を豊かにする縁起物として、広く愛されてるだす。									そんな風に職業によって多少の差はあるけど、こうして三姉妹がそろった絵や像は、家を豊かにする縁起物として、広く愛されてるだす。	神々が住まう館
神々が、特定の技能や生業を司るという考え方は、我々のよく知るエオルゼア十二神にも通ずるものがありますね。ムリガ神群の方はいかがですか？									神々が、特定の技能や生業を司るという考え方は、我々のよく知るエオルゼア十二神にも通ずるものがありますね。ムリガ神群の方はいかがですか？	神々が住まう館
ムリガの神々は、自然を司る力自慢が多いだす。だから、島で民族同士の戦いが起きていたころには、守り神として掲げられたらしいだす。									ムリガの神々は、自然を司る力自慢が多いだす。だから、島で民族同士の戦いが起きていたころには、守り神として掲げられたらしいだす。	神々が住まう館
古い寺院や遺跡に行けば、ムリガ神群の立派な像が見られるだす！									古い寺院や遺跡に行けば、ムリガ神群の立派な像が見られるだす！	神々が住まう館
とくに、象(ガジャ)の頭を持った神獣様は、オラたちアルカソーダラの祖とも言われていて、大切にされてるんだす。									とくに、象(ガジャ)の頭を持った神獣様は、オラたちアルカソーダラの祖とも言われていて、大切にされてるんだす。	神々が住まう館
あとは……竜も特別な存在だす。									あとは……竜も特別な存在だす。	神々が住まう館
竜だと？ドラゴン族を崇めてるのか？									竜だと？ドラゴン族を崇めてるのか？	神々が住まう館
あ、えっと……ラザハンを治める太守様の一族は、大昔、竜の神獣と盟約を結んだとされてるだす。									あ、えっと……ラザハンを治める太守様の一族は、大昔、竜の神獣と盟約を結んだとされてるだす。	神々が住まう館
以来、竜は太守様と星戦士団の守り神とされてるだす。今でも、太守様が窮地に陥ることがあれば、盟友たる竜が遣わされるとの噂だす！									以来、竜は太守様と星戦士団の守り神とされてるだす。今でも、太守様が窮地に陥ることがあれば、盟友たる竜が遣わされるとの噂だす！	神々が住まう館
盟友たる竜、か……。									盟友たる竜、か……。	神々が住まう館
