石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
もう一方の弓を背負った男性……「ケリッグ」さんも、使徒狙いのひとりです。魔法に詳しい人がいたら紹介してほしいと頼まれています。									もう一方の弓を背負った男性……「ケリッグ」さんも、使徒狙いのひとりです。魔法に詳しい人がいたら紹介してほしいと頼まれています。	闇の戦士
それから……ずんぐりとしたヒゲ面の大酒飲み……ドワーフ族の「ジオット」さんは、癒し手を募集していたはず。なんでも、標的の使徒を倒すために知恵を借りたいそうで……。									それから……ずんぐりとしたヒゲ面の大酒飲み……ドワーフ族の「ジオット」さんは、癒し手を募集していたはず。なんでも、標的の使徒を倒すために知恵を借りたいそうで……。	闇の戦士
見たところ、貴方もかなりの腕利きのようですね。彼ら賞金稼ぎたちと協力すれば、四使徒を倒すことも……興味がおありでしたら、ぜひ彼らに声をかけてみてください。									見たところ、貴方もかなりの腕利きのようですね。彼ら賞金稼ぎたちと協力すれば、四使徒を倒すことも……興味がおありでしたら、ぜひ彼らに声をかけてみてください。	闇の戦士
そりゃあいい。この店の客から使徒狩りの英雄が現れたら、マスターの俺としても誇らしいってもんだからな！									そりゃあいい。この店の客から使徒狩りの英雄が現れたら、マスターの俺としても誇らしいってもんだからな！	闇の戦士
TANK、ファイター系DPS、ソーサラー系DPS、HEALER、それぞれのロール別に特別な物語が進行する、「ロールクエスト」が解放されました！									TANK、ファイター系DPS、ソーサラー系DPS、HEALER、それぞれのロール別に特別な物語が進行する、「ロールクエスト」が解放されました！	闇の戦士
「メインクエスト：漆黒のヴィランズ」を最後まで進めるには、いずれかのロールクエストを進めていく必要があります。酒場の常連客たちに話しかけ、ぜひ受注してみましょう！									「メインクエスト：漆黒のヴィランズ」を最後まで進めるには、いずれかのロールクエストを進めていく必要があります。酒場の常連客たちに話しかけ、ぜひ受注してみましょう！	闇の戦士
一癖も二癖もある常連客ばかりだが、案外、馬の合う奴もいるかもしれないぞ？それでお前も常連になってくれれば、俺も大喜びだ！									一癖も二癖もある常連客ばかりだが、案外、馬の合う奴もいるかもしれないぞ？それでお前も常連になってくれれば、俺も大喜びだ！	闇の戦士
よければまた、いつでもいらしてくださいね。									よければまた、いつでもいらしてくださいね。	闇の戦士
おかえりなさいませ、Surnameさん。									おかえりなさいませ、Surnameさん。	闇の戦士
今や街は大変な騒ぎですし、出歩くだけでもお疲れになったでしょう。お部屋に戻って休まれますか？									今や街は大変な騒ぎですし、出歩くだけでもお疲れになったでしょう。お部屋に戻って休まれますか？	闇の戦士
「居室」で休みますか？									「居室」で休みますか？	闇の戦士
承知いたしました。夜に備えて灯りも点検しておきましたので、どうぞごゆっくり、お休みください。									承知いたしました。夜に備えて灯りも点検しておきましたので、どうぞごゆっくり、お休みください。	闇の戦士
ペンダント居住館の管理人は、不安そうな顔をしている。									ペンダント居住館の管理人は、不安そうな顔をしている。	招かれざる客
ペンダント居住館の管理人から、ユールモア軍の飛空艇が近隣に飛来したことを聞いた。クリスタリウムの「星見の間」に向かおう。									ペンダント居住館の管理人から、ユールモア軍の飛空艇が近隣に飛来したことを聞いた。クリスタリウムの「星見の間」に向かおう。	招かれざる客
星見の間で、水晶公とランジートの対談に立ち会った。クリスタリウムの博物陳列館にいる「モーレン」と話そう。									星見の間で、水晶公とランジートの対談に立ち会った。クリスタリウムの博物陳列館にいる「モーレン」と話そう。	招かれざる客
モーレンから本を探すよう頼まれた。博物陳列館の「巨大な本棚」を調べ「光の巫女の物語」を入手しよう。									モーレンから本を探すよう頼まれた。博物陳列館の「巨大な本棚」を調べ「光の巫女の物語」を入手しよう。	招かれざる客
目的の本を手に入れた。博物陳列館の「モーレン」に「光の巫女の物語」を渡そう。									目的の本を手に入れた。博物陳列館の「モーレン」に「光の巫女の物語」を渡そう。	招かれざる客
モーレンから光の巫女ミンフィリアについて聞いた。クリスタリウムの自由弁論館にいる「アルフィノ」と話そう。									モーレンから光の巫女ミンフィリアについて聞いた。クリスタリウムの自由弁論館にいる「アルフィノ」と話そう。	招かれざる客
アルフィノたちと話し、ミンフィリア救出の意志を固めた。そこに現れた水晶公は、彼女の救出を、クリスタリウムに任せてはどうかと提案してきたが……。									アルフィノたちと話し、ミンフィリア救出の意志を固めた。そこに現れた水晶公は、彼女の救出を、クリスタリウムに任せてはどうかと提案してきたが……。	招かれざる客
星見の間に向かう									星見の間に向かう	招かれざる客
博物陳列館のモーレンと話す									博物陳列館のモーレンと話す	招かれざる客
巨大な本棚から光の巫女の物語を入手									巨大な本棚から光の巫女の物語を入手	招かれざる客
モーレンに光の巫女の物語を渡す									モーレンに光の巫女の物語を渡す	招かれざる客
アルフィノと話す									アルフィノと話す	招かれざる客
おや、お目覚めになられたのですね。これからお出かけですか？									おや、お目覚めになられたのですね。これからお出かけですか？	招かれざる客
だとしたら、街の外には出ない方がいいかもしれません。なんでも、ユールモア軍の飛空艇が突然やってきて、湖畔に駐留しはじめたらしいのです。									だとしたら、街の外には出ない方がいいかもしれません。なんでも、ユールモア軍の飛空艇が突然やってきて、湖畔に駐留しはじめたらしいのです。	招かれざる客
今、水晶公が「星見の間」で対応に当たっているようですが、やはり、夜の闇を取り戻したことについての尋問でしょうか。軍隊を連れてくるなんて、不穏ですね……。									今、水晶公が「星見の間」で対応に当たっているようですが、やはり、夜の闇を取り戻したことについての尋問でしょうか。軍隊を連れてくるなんて、不穏ですね……。	招かれざる客
あなたは、博物陳列館に向かうといい。それにしても、本当にミンフィリアが捕まったというのなら、「彼」が沈黙しているはずはないのだが……。									あなたは、博物陳列館に向かうといい。それにしても、本当にミンフィリアが捕まったというのなら、「彼」が沈黙しているはずはないのだが……。	招かれざる客
ユールモア軍の動向については、引き続き確認しておきます。									ユールモア軍の動向については、引き続き確認しておきます。	招かれざる客
最後にミンフィリアと会ったのは、ちょうど、「闇の戦士」にまつわる戦いをしていたときだったね。									最後にミンフィリアと会ったのは、ちょうど、「闇の戦士」にまつわる戦いをしていたときだったね。	招かれざる客
ミンフィリアについて、前に説明は受けてたんだけど……私もまだ、理解しきれてないのよね。									ミンフィリアについて、前に説明は受けてたんだけど……私もまだ、理解しきれてないのよね。	招かれざる客
おや、みなさんどうなさったのですか？「闇の戦士」や夜にまつわる本でしたら、人気急上昇につき、ほとんど貸し出し中ですが……。									おや、みなさんどうなさったのですか？「闇の戦士」や夜にまつわる本でしたら、人気急上昇につき、ほとんど貸し出し中ですが……。	招かれざる客
なるほど、「光の巫女ミンフィリア」について学びたいと！ええ、ええ、喜んでご協力いたしますともっ！									なるほど、「光の巫女ミンフィリア」について学びたいと！ええ、ええ、喜んでご協力いたしますともっ！	招かれざる客
僕は急いで今の作業を終わらせてしまうので、その間に、説明に使う本を探してきてください。									僕は急いで今の作業を終わらせてしまうので、その間に、説明に使う本を探してきてください。	招かれざる客
『光の巫女の物語』という題の本です。これは児童書でありながら実にうまくまとめられた本で、彼女について学ぶのであれば、最初の1冊として外せない……									『光の巫女の物語』という題の本です。これは児童書でありながら実にうまくまとめられた本で、彼女について学ぶのであれば、最初の1冊として外せない……	招かれざる客
……っと、そのへんはどうでもいいですよね、ハイ。ともかくその『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。									……っと、そのへんはどうでもいいですよね、ハイ。ともかくその『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。	招かれざる客
ただ時折、借りた本をもとの位置に戻さない人がいるので……もしないようでしたら、ほかの棚も探してみてください。									ただ時折、借りた本をもとの位置に戻さない人がいるので……もしないようでしたら、ほかの棚も探してみてください。	招かれざる客
『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。もしないようでしたら、ほかの棚も探してみてください。									『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。もしないようでしたら、ほかの棚も探してみてください。	招かれざる客
ここにはないようだな……。									ここにはないようだな……。	招かれざる客
それにしても大きな本棚よね。脚立、借りてこようかしら？									それにしても大きな本棚よね。脚立、借りてこようかしら？	招かれざる客
ここには、目的の本はないようだ。									ここには、目的の本はないようだ。	招かれざる客
『光の巫女の物語』を発見した！									『光の巫女の物語』を発見した！	招かれざる客
本が見つかったのかい？									本が見つかったのかい？	招かれざる客
あら、その手に持ってる本って……。									あら、その手に持ってる本って……。	招かれざる客
どうでしょう？『光の巫女の物語』は見つかりましたか？									どうでしょう？『光の巫女の物語』は見つかりましたか？	招かれざる客
ああ、間違いありません！探してきてくださって、ありがとうございます。									ああ、間違いありません！探してきてくださって、ありがとうございます。	招かれざる客
僕の作業も、もうじき一区切りがつきますので、あとのおふたりも呼んで、光の巫女にまつわるお話をいたしましょう。									僕の作業も、もうじき一区切りがつきますので、あとのおふたりも呼んで、光の巫女にまつわるお話をいたしましょう。	招かれざる客
それでは、はじめさせていただきます。									それでは、はじめさせていただきます。	招かれざる客
ことのはじまりは、100年前の「光の氾濫」。ノルヴラントを呑まんとしていた光の波が、ひとりの女性によって止められたことでした。									ことのはじまりは、100年前の「光の氾濫」。ノルヴラントを呑まんとしていた光の波が、ひとりの女性によって止められたことでした。	招かれざる客
金の髪に、水晶色の目を持つ女性……誰かがその背に「ミンフィリア」と声をかけたことから、のちに「光の巫女ミンフィリア」と名付けられました。									金の髪に、水晶色の目を持つ女性……誰かがその背に「ミンフィリア」と声をかけたことから、のちに「光の巫女ミンフィリア」と名付けられました。	招かれざる客
彼女は氾濫を止めると同時に消えてしまいましたが、およそ15年後、再びその名前が歴史の表舞台に現れるのです。									彼女は氾濫を止めると同時に消えてしまいましたが、およそ15年後、再びその名前が歴史の表舞台に現れるのです。	招かれざる客
きっかけは、罪喰いによって襲撃を受けたフッブート王国にて、罪喰い化に耐性のある少女が発見されたことでした。									きっかけは、罪喰いによって襲撃を受けたフッブート王国にて、罪喰い化に耐性のある少女が発見されたことでした。	招かれざる客
伝説の光の巫女と同じ、金の髪と水晶色の目を有していたため、彼女もまた「ミンフィリア」と呼ばれるようになりました。									伝説の光の巫女と同じ、金の髪と水晶色の目を有していたため、彼女もまた「ミンフィリア」と呼ばれるようになりました。	招かれざる客
ミンフィリアは、当時のユールモア軍に合流し、数多くの罪喰いを討伐しました。									ミンフィリアは、当時のユールモア軍に合流し、数多くの罪喰いを討伐しました。	招かれざる客
しかし彼女も、とめどのない罪喰いとの戦いで、ついには傷つき倒れてしまいました。									しかし彼女も、とめどのない罪喰いとの戦いで、ついには傷つき倒れてしまいました。	招かれざる客
死の間際、彼女は悲しむ仲間たちに、「ミンフィリアはまた生まれてくる」と語ったそうです。									死の間際、彼女は悲しむ仲間たちに、「ミンフィリアはまた生まれてくる」と語ったそうです。	招かれざる客
……数年後、彼女の言葉どおりに、同じ特徴をもった、罪喰い化に耐性のある少女が見つかりました。ミンフィリアは、本当に生まれ変わったのです。									……数年後、彼女の言葉どおりに、同じ特徴をもった、罪喰い化に耐性のある少女が見つかりました。ミンフィリアは、本当に生まれ変わったのです。	招かれざる客
新しいミンフィリアもまた、ユールモア軍に保護されて、罪喰いと戦い、その果てに亡くなりました。それが幾度も繰り返されて、今日に至るのです……。									新しいミンフィリアもまた、ユールモア軍に保護されて、罪喰いと戦い、その果てに亡くなりました。それが幾度も繰り返されて、今日に至るのです……。	招かれざる客
……というのが、『光の巫女の物語』の概要です。									……というのが、『光の巫女の物語』の概要です。	招かれざる客
彼女たちが命懸けで戦ってくれたことが、これまで何度も、ノルヴラントの危機を救ってきました。									彼女たちが命懸けで戦ってくれたことが、これまで何度も、ノルヴラントの危機を救ってきました。	招かれざる客
大罪喰いという存在と、その性質を知ることができたのも、ミンフィリアたちの功労だと言われています。									大罪喰いという存在と、その性質を知ることができたのも、ミンフィリアたちの功労だと言われています。	招かれざる客
ということは、ミンフィリアはかなり強いのね……？									ということは、ミンフィリアはかなり強いのね……？	招かれざる客
……どうでしょう。光の巫女は、特徴こそ生まれ変わっても継承しているものの、記憶や知識まで継いでいるわけではないそうです。									……どうでしょう。光の巫女は、特徴こそ生まれ変わっても継承しているものの、記憶や知識まで継いでいるわけではないそうです。	招かれざる客
つまり、発見された時点では誰しも、戦いの経験を持たない、普通の女の子だった……。									つまり、発見された時点では誰しも、戦いの経験を持たない、普通の女の子だった……。	招かれざる客
そこから努力をして……あるいは周りに強いられて、罪喰いとの戦いの最前線に上がったわけです。真実に至るのにだって、多くの犠牲を払ったことでしょう。									そこから努力をして……あるいは周りに強いられて、罪喰いとの戦いの最前線に上がったわけです。真実に至るのにだって、多くの犠牲を払ったことでしょう。	招かれざる客
モーレン、君は「今」のミンフィリアについて、何か知っているかい？									モーレン、君は「今」のミンフィリアについて、何か知っているかい？	招かれざる客
現在のミンフィリアは、10年ほど前にユールモア軍が発見、保護した子です。									現在のミンフィリアは、10年ほど前にユールモア軍が発見、保護した子です。	招かれざる客
ただ、その当時すでに、ユールモアはヴァウスリーによって方向転換していた……。									ただ、その当時すでに、ユールモアはヴァウスリーによって方向転換していた……。	招かれざる客
保護というのは建前で、実際は罪喰いを倒し得る彼女を、危険因子として手元で管理しておきたかったのだと思います。いわば幽閉、監禁です。									保護というのは建前で、実際は罪喰いを倒し得る彼女を、危険因子として手元で管理しておきたかったのだと思います。いわば幽閉、監禁です。	招かれざる客
以来、ミンフィリアについての情報は完璧に遮断され、外部からは、生存の確認さえできなくなりました。									以来、ミンフィリアについての情報は完璧に遮断され、外部からは、生存の確認さえできなくなりました。	招かれざる客
しかし、ついに3年前、心ある勇士がユールモアに潜り込み、彼女を逃がしたらしいのです。まるで物語に出てくるヒーローですね！									しかし、ついに3年前、心ある勇士がユールモアに潜り込み、彼女を逃がしたらしいのです。まるで物語に出てくるヒーローですね！	招かれざる客
……なるほど、よくわかった。貴重な話をありがとう。									……なるほど、よくわかった。貴重な話をありがとう。	招かれざる客
さて、Forename。これらの情報をふまえた上で、話をしたいのだが……この部屋を出たところにある会議場まで来てくれるかい？									さて、Forename。これらの情報をふまえた上で、話をしたいのだが……この部屋を出たところにある会議場まで来てくれるかい？	招かれざる客
確かにここなら、もう少し込み入った話もできそうね。									確かにここなら、もう少し込み入った話もできそうね。	招かれざる客
君ならもう気づいているかもしれないが……3年前にミンフィリアを助け出したのは、サンクレッドだ。									君ならもう気づいているかもしれないが……3年前にミンフィリアを助け出したのは、サンクレッドだ。	招かれざる客
水晶公から聞いた話によれば、以来彼はミンフィリアを連れて旅暮らしをしているらしい。それで私たちも、こちらではまだ会えていないんだ。									水晶公から聞いた話によれば、以来彼はミンフィリアを連れて旅暮らしをしているらしい。それで私たちも、こちらではまだ会えていないんだ。	招かれざる客
私たちの知る、原初世界のミンフィリアは、ハイデリンの使徒として、「光の氾濫」を止めるために第一世界に旅立ったわよね。									私たちの知る、原初世界のミンフィリアは、ハイデリンの使徒として、「光の氾濫」を止めるために第一世界に旅立ったわよね。	招かれざる客
それがきっと、第一世界の人たちが見た、最初のミンフィリアだった……。									それがきっと、第一世界の人たちが見た、最初のミンフィリアだった……。	招かれざる客
とすれば、その生まれ変わりだという今のミンフィリアも、大元の彼女と無関係ってわけじゃないんでしょうけど……それでもやっぱり、記憶すら継いでいない別人でしょう？									とすれば、その生まれ変わりだという今のミンフィリアも、大元の彼女と無関係ってわけじゃないんでしょうけど……それでもやっぱり、記憶すら継いでいない別人でしょう？	招かれざる客
サンクレッドは……わかっているのかしら。									サンクレッドは……わかっているのかしら。	招かれざる客
当然、理解はしているだろう。それをどう思っているかまでは、答えようもないがね。									当然、理解はしているだろう。それをどう思っているかまでは、答えようもないがね。	招かれざる客
何にせよ、これまでミンフィリアと共にいたサンクレッドが、急に彼女を見放すとは思えない。									何にせよ、これまでミンフィリアと共にいたサンクレッドが、急に彼女を見放すとは思えない。	招かれざる客
今、ユールモア軍に彼女が捕まったというのなら、サンクレッドの安否も気になるところだ。									今、ユールモア軍に彼女が捕まったというのなら、サンクレッドの安否も気になるところだ。	招かれざる客
まわりくどいわねぇ。つまるところ、捕まったミンフィリアの様子を見に行きたい、っていうか助けてあげたいって言いたいんでしょ？									まわりくどいわねぇ。つまるところ、捕まったミンフィリアの様子を見に行きたい、っていうか助けてあげたいって言いたいんでしょ？	招かれざる客
ま、私も同感なんだけどね。									ま、私も同感なんだけどね。	招かれざる客
罪喰い化に耐性があるってことはきっと、元のミンフィリアから、Forenameと同じ、光の加護を受け継いでるんだわ。									罪喰い化に耐性があるってことはきっと、元のミンフィリアから、Forenameと同じ、光の加護を受け継いでるんだわ。	招かれざる客
だったら、むざむざ敵の手に渡すより、仲間になってもらった方がいいじゃない？									だったら、むざむざ敵の手に渡すより、仲間になってもらった方がいいじゃない？	招かれざる客
何と言う？									何と言う？	招かれざる客
自分も同感だ									自分も同感だ	招かれざる客
ふたりがそう言うなら……									ふたりがそう言うなら……	招かれざる客
(-？？？？-)意志は固まったようだな。									(-？？？？-)意志は固まったようだな。	招かれざる客
水晶公！どうしてここに……？									水晶公！どうしてここに……？	招かれざる客
ふむ……。報告がひとつと、提案がひとつ。あなた方に、いち早く伝えようと思ったのだ。									ふむ……。報告がひとつと、提案がひとつ。あなた方に、いち早く伝えようと思ったのだ。	招かれざる客
まず、報告だが……偵察部隊によって、ラクサン城に駐留しているユールモア軍が、ミンフィリアを捕縛しているという確証がとれた。									まず、報告だが……偵察部隊によって、ラクサン城に駐留しているユールモア軍が、ミンフィリアを捕縛しているという確証がとれた。	招かれざる客
今はまだ城内に留め置かれているようだが、いつ本国に移送されるかわからない状態だ。そうなると、彼女を救出するのは非常に難しくなる。									今はまだ城内に留め置かれているようだが、いつ本国に移送されるかわからない状態だ。そうなると、彼女を救出するのは非常に難しくなる。	招かれざる客
だとしたら、とっとと行動を起こした方がよさそうね……。									だとしたら、とっとと行動を起こした方がよさそうね……。	招かれざる客
そこで、提案の方だ。									そこで、提案の方だ。	招かれざる客
ミンフィリアの救出は、私と、このクリスタリウムの街に、任せてみてはくれないだろうか？									ミンフィリアの救出は、私と、このクリスタリウムの街に、任せてみてはくれないだろうか？	招かれざる客
自由弁論館の水晶公は、とっておきの提案があるようだ。									自由弁論館の水晶公は、とっておきの提案があるようだ。	クリスタリウムの意気
ライナと話す									ライナと話す	クリスタリウムの意気
カットリスと話す									カットリスと話す	クリスタリウムの意気
シェッサミールと話す									シェッサミールと話す	クリスタリウムの意気
シェッサミールの近くで王子の口づけを飲む									シェッサミールの近くで王子の口づけを飲む	クリスタリウムの意気
ゼム・ジェンマイと話す									ゼム・ジェンマイと話す	クリスタリウムの意気
ともかく、水晶公の話を聞いてみよう。									ともかく、水晶公の話を聞いてみよう。	クリスタリウムの意気
水晶公とクリスタリウムに任せるって……いったいどういうことかしら？									水晶公とクリスタリウムに任せるって……いったいどういうことかしら？	クリスタリウムの意気
ミンフィリアについては、気に留めている住民も多かった。必ずや、皆で彼女を救い出そう。あなたは、ライナたち衛兵団とともに行動を。									ミンフィリアについては、気に留めている住民も多かった。必ずや、皆で彼女を救い出そう。あなたは、ライナたち衛兵団とともに行動を。	クリスタリウムの意気
こうなったからには、私たちも腹をくくるしかないね。ミンフィリア救出作戦、一丸となってがんばろう！									こうなったからには、私たちも腹をくくるしかないね。ミンフィリア救出作戦、一丸となってがんばろう！	クリスタリウムの意気
この街のこういうとこ、嫌いじゃないわ。住民たちに負けてられないわね！									この街のこういうとこ、嫌いじゃないわ。住民たちに負けてられないわね！	クリスタリウムの意気
さて、我が衛兵団に一兵卒として加わるというのなら、特別扱いはせず、キビキビ働いていただきますよ。……よろしいですね？									さて、我が衛兵団に一兵卒として加わるというのなら、特別扱いはせず、キビキビ働いていただきますよ。……よろしいですね？	クリスタリウムの意気
返事は敬礼で！									返事は敬礼で！	クリスタリウムの意気
素晴らしい。日ごろの公より、よほど覇気が感じられます。									素晴らしい。日ごろの公より、よほど覇気が感じられます。	クリスタリウムの意気
それではまず、皆さん用に、衛兵団の制服を用意してもらうとしましょう。									それではまず、皆さん用に、衛兵団の制服を用意してもらうとしましょう。	クリスタリウムの意気
ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。私もあとから合流します。									ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。私もあとから合流します。	クリスタリウムの意気
ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。									ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。	クリスタリウムの意気
おっ、来たね！先に来たアルフィノとアリゼーから、話は聞いてるよ。ふたりの採寸も、もうはじめたところさ。									おっ、来たね！先に来たアルフィノとアリゼーから、話は聞いてるよ。ふたりの採寸も、もうはじめたところさ。	クリスタリウムの意気
ささ、あんたも奥へ。衛兵団としての初陣なんだ、ぴったりの制服で、ばっちりキメてやるんだよ！									ささ、あんたも奥へ。衛兵団としての初陣なんだ、ぴったりの制服で、ばっちりキメてやるんだよ！	クリスタリウムの意気
測り終わったようだね。どれ、結果のメモを見せてもらえるかい？									測り終わったようだね。どれ、結果のメモを見せてもらえるかい？	クリスタリウムの意気
……ふむ、なるほどね。									……ふむ、なるほどね。	クリスタリウムの意気
制服の準備は順調ですか？									制服の準備は順調ですか？	クリスタリウムの意気
悪いが、Forenameの分も、アルフィノとアリゼーの分も、ぴったり合うサイズの制服が、在庫にはないようだ。									悪いが、Forenameの分も、アルフィノとアリゼーの分も、ぴったり合うサイズの制服が、在庫にはないようだ。	クリスタリウムの意気
ただ、近いサイズのものはあるから、急いで手直しすれば、そう待たせず準備できるよ。									ただ、近いサイズのものはあるから、急いで手直しすれば、そう待たせず準備できるよ。	クリスタリウムの意気
わかりました。では、急いで仕上げて、任務地へ直接届けてください。									わかりました。では、急いで仕上げて、任務地へ直接届けてください。	クリスタリウムの意気
あなた方には、このまま作戦の内容を説明しておきましょう。									あなた方には、このまま作戦の内容を説明しておきましょう。	クリスタリウムの意気
さきほど提案したとおり、まずはアマロに騎乗した部隊が、眠り薬「ドリームパウダー」を、ラクサン城の上空から、敵軍に散布します。									さきほど提案したとおり、まずはアマロに騎乗した部隊が、眠り薬「ドリームパウダー」を、ラクサン城の上空から、敵軍に散布します。	クリスタリウムの意気
その後、精鋭が城内に突入。できるだけ双方に被害を出さないようにしつつ、ミンフィリアの救出を目指します。									その後、精鋭が城内に突入。できるだけ双方に被害を出さないようにしつつ、ミンフィリアの救出を目指します。	クリスタリウムの意気
私たちは、その突入部隊に配属ってところかしら？									私たちは、その突入部隊に配属ってところかしら？	クリスタリウムの意気
ええ……。									ええ……。	クリスタリウムの意気
アルフィノとアリゼーは、東側にあるジョッブ砦からの突入部隊に。									アルフィノとアリゼーは、東側にあるジョッブ砦からの突入部隊に。	クリスタリウムの意気
Forenameは、私とともに、西側のオスタル厳命城からの突入部隊に加わってもらいます。									Forenameは、私とともに、西側のオスタル厳命城からの突入部隊に加わってもらいます。	クリスタリウムの意気
各人、現地に向かう前には、クリスタリウムの「スパジャイリクス医療館」に立ち寄って、館長の「シェッサミール」に声をかけてください。									各人、現地に向かう前には、クリスタリウムの「スパジャイリクス医療館」に立ち寄って、館長の「シェッサミール」に声をかけてください。	クリスタリウムの意気
あらかじめ摂取することで眠り薬の影響を受けにくくする薬を、支給してもらえる手筈になっていますので。									あらかじめ摂取することで眠り薬の影響を受けにくくする薬を、支給してもらえる手筈になっていますので。	クリスタリウムの意気
ではまた、突入のときに。そちらも、十分に気をつけてくれ。									ではまた、突入のときに。そちらも、十分に気をつけてくれ。	クリスタリウムの意気
私も先に出発しています。オスタル厳命城までは少し距離がありますので、薬を飲んだあとは、牧場でアマロを借りるといいでしょう。									私も先に出発しています。オスタル厳命城までは少し距離がありますので、薬を飲んだあとは、牧場でアマロを借りるといいでしょう。	クリスタリウムの意気
あらあら……うふふ……貴方も衛兵団の子でしょう……？ケガをしているようには、見えないものねぇ……。									あらあら……うふふ……貴方も衛兵団の子でしょう……？ケガをしているようには、見えないものねぇ……。	クリスタリウムの意気
それじゃあ、はい……ドリームパウダーの効き目を抑える抗体薬、通称「王子の口づけ」をあげましょうねぇ……。									それじゃあ、はい……ドリームパウダーの効き目を抑える抗体薬、通称「王子の口づけ」をあげましょうねぇ……。	クリスタリウムの意気
その薬、とってもよく効くんだけれど、代わりに……うふふ……とっても苦くって……こんな名前なのに……ねぇ？									その薬、とってもよく効くんだけれど、代わりに……うふふ……とっても苦くって……こんな名前なのに……ねぇ？	クリスタリウムの意気
あまりの苦さに、飲みきらない悪い子もいるから……今この場で、私の前で、飲んでいただけるかしら……？									あまりの苦さに、飲みきらない悪い子もいるから……今この場で、私の前で、飲んでいただけるかしら……？	クリスタリウムの意気
さあ、「王子の口づけ」を飲んで見せて……？									さあ、「王子の口づけ」を飲んで見せて……？	クリスタリウムの意気
(-シェッサミール-)うふふふ……よく飲めましたぁ……。これでもう眠ってしまう心配はないけれど、怪我にはくれぐれも注意してね、衛兵さん……？									(-シェッサミール-)うふふふ……よく飲めましたぁ……。これでもう眠ってしまう心配はないけれど、怪我にはくれぐれも注意してね、衛兵さん……？	クリスタリウムの意気
シェッサミールの近くで、飲んでみせなければならないようだ……。									シェッサミールの近くで、飲んでみせなければならないようだ……。	クリスタリウムの意気
ちゃんと飲めて、いい子……いい子……。これで、ドリームパウダー対策はバッチリ……次の準備に進んで平気よ。									ちゃんと飲めて、いい子……いい子……。これで、ドリームパウダー対策はバッチリ……次の準備に進んで平気よ。	クリスタリウムの意気
おや？　何か用かな、ご同輩？									おや？　何か用かな、ご同輩？	クリスタリウムの意気
なるほど、オスタル厳命城までアマロを借りたいと。もちろん快く許可したいところなのだが……。									なるほど、オスタル厳命城までアマロを借りたいと。もちろん快く許可したいところなのだが……。	クリスタリウムの意気
生憎、ドリームパウダーを散布するために、騎乗可能なアマロのほとんどが、予約済みでね。すまないが、歩いてもらうしか…………									生憎、ドリームパウダーを散布するために、騎乗可能なアマロのほとんどが、予約済みでね。すまないが、歩いてもらうしか…………	クリスタリウムの意気
いや、ひとつ手がないでもないな。もちろん、君さえよければだがね。									いや、ひとつ手がないでもないな。もちろん、君さえよければだがね。	クリスタリウムの意気
テメノスルカリー牧場のゼム・ジェンマイは、何かに思い当たったようだ。									テメノスルカリー牧場のゼム・ジェンマイは、何かに思い当たったようだ。	帯の道を進め！
ゼム・ジェンマイと話す									ゼム・ジェンマイと話す	帯の道を進め！
アマロに騎乗して物見塔の衛兵のもとへ向かう									アマロに騎乗して物見塔の衛兵のもとへ向かう	帯の道を進め！
アマロに騎乗してゼリ・ヴァンシューのもとへ向かう									アマロに騎乗してゼリ・ヴァンシューのもとへ向かう	帯の道を進め！
ゼリ・ヴァンシューと話す									ゼリ・ヴァンシューと話す	帯の道を進め！
ライナと話す									ライナと話す	帯の道を進め！
ちょうど今から、ドリームパウダーの散布にあたるアマロを1体、レイクランドの拠点に届けるところなんだ。									ちょうど今から、ドリームパウダーの散布にあたるアマロを1体、レイクランドの拠点に届けるところなんだ。	帯の道を進め！
届け先は、君が目指す「オスタル厳命城」の手前にある、「ラディスカ物見塔」でね。そこまででよければ、君が乗っていくといい。									届け先は、君が目指す「オスタル厳命城」の手前にある、「ラディスカ物見塔」でね。そこまででよければ、君が乗っていくといい。	帯の道を進め！
……では、すぐにアマロの準備をして、出発しよう。									……では、すぐにアマロの準備をして、出発しよう。	帯の道を進め！
では、このアマロに乗って、北西にある「ラディスカ物見塔」を目指してくれ。訓練を受けている子だから、飛行も可能だよ。									では、このアマロに乗って、北西にある「ラディスカ物見塔」を目指してくれ。訓練を受けている子だから、飛行も可能だよ。	帯の道を進め！
「物見塔の衛兵」のそばまで行けば、あとのことは、指示してくれるはずだ。									「物見塔の衛兵」のそばまで行けば、あとのことは、指示してくれるはずだ。	帯の道を進め！
