
1F 	 Ground Floor
風吹き抜ける雲海 	 Blustery Cloudtop
風穏やかな雲海 	 Calm Cloudtop
風渦巻く雲海 	 Swirling Cloudtop
コンテイメントベイP1T6 	 Containment Bay P1T6
コンテイメントベイZ1T9 	 Containment Bay Z1T9
漂流遺跡 	 The Missing Gem
エーテルホール 	 Aetherial Gap
漂流遺跡の魔導通路 	 Mhachi Portal
シロガネ：プライベートルーム 	 Private Chambers - Shirogane
シロガネ：地下工房 	 Company Workshop - Shirogane
紅梅御殿：ロビー 	 Kobai Goten Apartment Lobby
紅梅御殿：部屋 	 Kobai Goten Apartment
ランディングポイント 	 Landing Point
ポイントII 	 Point II
ポイントIII 	 Point III
仮設拠点 	 Temporary Camp
被検世界「デルタ」 	 Deltascape
次元城 	 Dimension Castle
次元城：地下牢獄 	 The Dungeons
次元城：王の間 	 The Audience Chamber
次元城：屋上 	 The Parapet
マーケット（サファイアアベニュー国際市場） 	 Sapphire Avenue Exchange
次元の狭間 	 The Interdimensional Rift
アンズヘルム大通り 	 Anshelm March
アラミゴ貴族街 	 Noble District
アラミゴ王宮中庭 	 Palace Gardens
アラミゴ王宮深部 	 Palace Shadows
壊神門前 	 Rhalgr's Gate
アシナ仮設実験場 	 The Chamber of Knowledge
鷲獅子の間 	 The Hall of the Griffin
アラミゴ 	 Ala Mhigo
アラミゴ市街地 	 Mercantile District
アラミゴ王宮 	 Royal Palace
宝物殿 	 The Blessed Treasury
超越技術研究所 	 The Resonatorium
セイレーン海 	 The Sirensong Sea
クガネ城 	 Kugane Castle
美神の地下神殿 	 Emanation
イシュガルド：下層 	 Foundation
イシュガルド：上層 	 The Pillars
聖徒門 	 The Arc of the Worthy
エーテライト・プラザ 	 Ishgard Aetheryte Plaza
聖バルロアイアン広場 	 Saint Valeroyant's Forum
聖レネット広場 	 Saint Reinette's Forum
聖バルロアイアン通り 	 Saint Valeroyant's Way
清貧の凱旋門 	 The Arc of the Humble
ハルオーネの慈悲 	 The Fury's Mercy
雲霧街 	 The Brume
旅籠「九つの雲」 	 Cloud Nine
忘れられた騎士亭 	 The Forgotten Knight
神殿騎士団本部 	 Congregation of Our Knights Most Heavenly
ライトフェザー闘技場 	 The Lightfeather Proving Grounds
スカイスチール機工房 	 Skysteel Manufactory
チョコボ留 	 Chocobokeep
聖大厩舎 	 The Holy Stables
宝杖通り 	 The Jeweled Crozier
デュランデル伯爵邸 	 Durendaire Manor
アインハルト伯爵邸 	 Haillenarte Manor
フォルタン伯爵邸 	 Fortemps Manor
ゼーメル伯爵邸 	 Dzemael Manor
聖ガンリオル占星院 	 Athenaeum Astrologicum
イシュガルド・ランディング 	 Airship Landing
ボーレル子爵邸 	 Borel Manor
神聖裁判所 	 The Supreme Sacred Tribunal of Halonic Inquisitory Doctrine
グランド・ホプロン 	 The Hoplon
イシュガルド教皇庁 	 The Vault
聖レマノー大聖堂 	 Saint Reymanaud's Cathedral
建国十二騎士像 	 The Architects
ラストヴィジル 	 The Last Vigil
尊者の凱旋門 	 The Arc of the Venerable
エディン小広場 	 Edyn
ウェスト・コロネード 	 West Colonnade
イースト・コロネード 	 East Colonnade
神殿騎士団総長室 	 Seat of the Lord Commander
決闘裁判場 	 Ruling Chamber
